ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-11-15,9,25.021,PHI,@,WAS,W 59-28,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
2,2010,2010-11-21,10,25.027,PHI,,NYG,W 27-17,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
3,2010,2010-11-28,11,25.034,PHI,@,CHI,L 26-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
4,2010,2010-12-02,12,25.038,PHI,,HOU,W 34-24,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
5,2010,2010-12-12,13,25.048,PHI,@,DAL,W 30-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
6,2010,2010-12-19,14,25.055,PHI,@,NYG,W 38-31,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
7,2010,2010-12-28,15,25.064,PHI,,MIN,L 14-24,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
8,2010,2011-01-02,16,25.069,PHI,,DAL,L 13-14,*,0,0,,0,0,0,,0,0.0,2,0,0,0,0
9,2011,2011-09-11,1,25.321,PHI,@,STL,W 31-13,,,,,,,,,,,,,,,
10,2011,2011-09-18,2,25.328,PHI,@,ATL,L 31-35,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
11,2011,2011-09-25,3,25.335,PHI,,NYG,L 16-29,,,,,,,,,,,,,,,
12,2011,2011-10-02,4,25.342,PHI,,SFO,L 23-24,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
13,2011,2011-10-09,5,25.349,PHI,@,BUF,L 24-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
14,2011,2011-10-16,6,25.356,PHI,@,WAS,W 20-13,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
15,2011,2011-10-30,7,26.005,PHI,,DAL,W 34-7,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
16,2011,2011-11-07,8,26.013,PHI,,CHI,L 24-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
17,2011,2011-11-13,9,26.019,PHI,,ARI,L 17-21,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
18,2011,2011-11-20,10,26.026,PHI,@,NYG,W 17-10,,,,,,,,,,,,,,,
19,2011,2011-11-27,11,26.033,PHI,,NWE,L 20-38,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
20,2011,2011-12-01,12,26.037,PHI,@,SEA,L 14-31,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
21,2012,2012-09-16,2,26.327,PHI,,BAL,W 24-23,,,,,,,,,,,,,,,
22,2012,2012-09-23,3,26.334,PHI,@,ARI,L 6-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
23,2012,2012-10-07,5,26.348,PHI,@,PIT,L 14-16,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
24,2012,2012-10-14,6,26.355,PHI,,DET,L 23-26,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
25,2012,2012-10-28,7,27.003,PHI,,ATL,L 17-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
26,2012,2012-11-05,8,27.011,PHI,@,NOR,L 13-28,,,,,,,,,,,,,,,
27,2012,2012-11-11,9,27.017,PHI,,DAL,L 23-38,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
28,2012,2012-11-18,10,27.024,PHI,@,WAS,L 6-31,,,,,,,,,,,,,,,
29,2012,2012-11-26,11,27.032,PHI,,CAR,L 22-30,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
30,2012,2012-12-02,12,27.038,PHI,@,DAL,L 33-38,,,,,,,,,,,,,,,
31,2012,2012-12-09,13,27.045,PHI,@,TAM,W 23-21,*,0,0,,0,0,0,,0,0.0,5,1,0,0,0
32,2012,2012-12-13,14,27.049,PHI,,CIN,L 13-34,*,0,0,,0,0,0,,0,0.0,4,1,0,0,0
33,2012,2012-12-23,15,27.059,PHI,,WAS,L 20-27,*,0,0,,0,0,0,,0,0.0,5,0,1,4,0
34,2012,2012-12-30,16,27.066,PHI,@,NYG,L 7-42,*,0,0,,0,0,0,,0,0.0,9,1,0,0,0
35,2013,2013-09-09,1,27.319,PHI,@,WAS,W 33-27,,,,,,,,,,,,,,,
36,2013,2013-09-15,2,27.325,PHI,,SDG,L 30-33,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
37,2013,2013-09-19,3,27.329,PHI,,KAN,L 16-26,,,,,,,,,,,,,,,
38,2013,2013-09-29,4,27.339,PHI,@,DEN,L 20-52,,0,0,,0,0,0,,0,0.0,0,1,0,0,0
39,2013,2013-10-06,5,27.346,PHI,@,NYG,W 36-21,,,,,,,,,,,,,,,
40,2013,2013-10-13,6,27.353,PHI,@,TAM,W 31-20,,,,,,,,,,,,,,,
