ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.007,DEN,@,CIN,W 12-7,,,,,,,0.0%,,,,,,,,
2,2009,2009-09-20,2,23.014,DEN,,CLE,W 27-6,,,,,,,0.0%,,,,,,,,
3,2009,2009-09-27,3,23.021,DEN,@,OAK,W 23-3,,,,,,,0.0%,,,,,,,,
4,2009,2009-10-04,4,23.028,DEN,,DAL,W 17-10,,,,,,,0.0%,,,,,,,,
5,2009,2009-10-11,5,23.035,DEN,,NWE,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
6,2009,2009-10-19,6,23.043,DEN,@,SDG,W 34-23,,,,,,,0.0%,,,,,,,,
7,2009,2009-11-01,7,23.056,DEN,@,BAL,L 7-30,,,,,,,0.0%,,,,,,,,
8,2009,2009-11-15,9,23.070,DEN,@,WAS,L 17-27,,,,,,,0.0%,,,,,,,,
9,2009,2009-11-22,10,23.077,DEN,,SDG,L 3-32,,,,,,,0.0%,,,,,,,,
10,2009,2009-11-26,11,23.081,DEN,,NYG,W 26-6,,,,,,,0.0%,,,,,,,,
11,2009,2009-12-06,12,23.091,DEN,@,KAN,W 44-13,,,,,,,0.0%,,,,,,,,
12,2009,2009-12-13,13,23.098,DEN,@,IND,L 16-28,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
13,2009,2009-12-20,14,23.105,DEN,,OAK,L 19-20,,,,,,,0.0%,,,,,,,,
14,2009,2009-12-27,15,23.112,DEN,@,PHI,L 27-30,,0,0,0,,0,0.0%,,1,19,19.00,0,0.0,0,0
15,2009,2010-01-03,16,23.119,DEN,,KAN,L 24-44,,1,,,,,0.0%,,,,,,,,
16,2010,2010-09-12,1,24.006,DEN,@,JAX,L 17-24,,,,,,,0.0%,,,,,,,,
17,2010,2010-09-19,2,24.013,DEN,,SEA,W 31-14,,,,,,,0.0%,,,,,,,,
18,2010,2010-10-10,5,24.034,DEN,@,BAL,L 17-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
19,2010,2010-10-17,6,24.041,DEN,,NYJ,L 20-24,,,,,,,0.0%,,,,,,,,
20,2010,2010-10-24,7,24.048,DEN,,OAK,L 14-59,,,,,,,0.0%,,,,,,,,
21,2010,2010-10-31,8,24.055,DEN,@,SFO,L 16-24,*,,,,,,0.0%,,,,,,,,
22,2010,2010-11-14,9,24.069,DEN,,KAN,W 49-29,,,,,,,0.0%,,,,,,,,
23,2010,2010-11-22,10,24.077,DEN,@,SDG,L 14-35,,,,,,,0.0%,,,,,,,,
24,2010,2010-11-28,11,24.083,DEN,,STL,L 33-36,,,,,,,0.0%,,,,,,,,
25,2010,2010-12-05,12,24.090,DEN,@,KAN,L 6-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2010,2010-12-12,13,24.097,DEN,@,ARI,L 13-43,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
27,2010,2010-12-19,14,24.104,DEN,@,OAK,L 23-39,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,0,0
28,2010,2010-12-26,15,24.111,DEN,,HOU,W 24-23,,1,,,,,0.0%,,,,,,,,
29,2010,2011-01-02,16,24.118,DEN,,SDG,L 28-33,*,,0,0,,0,0.0%,,0,0,,0,0.0,1,2
30,2011,2011-12-18,14,25.103,WAS,@,NYG,W 23-10,,,,,,,0.0%,,,,,,,,
