ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-19,2,23.307,CHI,@,GNB,W 21-10,,,,,,,,,,,,,,
2,2004,2004-09-26,3,23.314,CHI,@,MIN,L 22-27,,,,,,,,,,,,,,
3,2004,2004-10-03,4,23.321,CHI,,PHI,L 9-19,,,,,,,,,,,,,,
4,2004,2004-10-17,5,23.335,CHI,,WAS,L 10-13,,,,,,,,,,,,,,
5,2004,2004-10-24,6,23.342,CHI,@,TAM,L 7-19,,,,,,,,,,,,,,
6,2004,2004-10-31,7,23.349,CHI,,SFO,W 23-13,,0,0,,0,0,0,,0,0,0,1.0,,
7,2004,2004-11-07,8,23.356,CHI,@,NYG,W 28-21,,,,,,,,,,,,,,
8,2004,2004-11-14,9,23.363,CHI,@,TEN,W 19-17,,,,,,,,,,,,,,
9,2004,2004-11-21,10,24.004,CHI,,IND,L 10-41,,,,,,,,,,,,,,
10,2004,2004-11-25,11,24.008,CHI,@,DAL,L 7-21,,,,,,,,,,,,,,
11,2004,2004-12-05,12,24.018,CHI,,MIN,W 24-14,,,,,,,,,,,,,,
12,2004,2004-12-12,13,24.025,CHI,@,JAX,L 3-22,,,,,,,,,,,,,,
13,2004,2004-12-19,14,24.032,CHI,,HOU,L 5-24,,,,,,,,,,,,,,
14,2004,2004-12-26,15,24.039,CHI,@,DET,L 13-19,,,,,,,,,,,,,,
15,2004,2005-01-02,16,24.046,CHI,,GNB,L 14-31,,,,,,,,,,,,,,
16,2005,2005-10-16,5,24.333,CHI,,MIN,W 28-3,,0,0,,0,0,0,,0,0,0,1.0,,
17,2005,2005-10-23,6,24.340,CHI,,BAL,W 10-6,,,,,,,,,,,,,,
18,2005,2005-10-30,7,24.347,CHI,@,DET,W 19-13,,,,,,,,,,,,,,
19,2005,2005-11-06,8,24.354,CHI,@,NOR,W 20-17,,,,,,,,,,,,,,
20,2005,2005-11-13,9,24.361,CHI,,SFO,W 17-9,,,,,,,,,,,,,,
21,2005,2005-11-27,11,25.010,CHI,@,TAM,W 13-10,,,,,,,,,,,,,,
22,2005,2005-12-04,12,25.017,CHI,,GNB,W 19-7,,,,,,,,,,,,,,
23,2005,2005-12-11,13,25.024,CHI,@,PIT,L 9-21,,1,0,0.00,0,0,0,,0,0,0,0.0,,
24,2005,2005-12-18,14,25.031,CHI,,ATL,W 16-3,,,,,,,,,,,,,,
25,2005,2005-12-25,15,25.038,CHI,@,GNB,W 24-17,,,,,,,,,,,,,,
26,2005,2006-01-01,16,25.045,CHI,@,MIN,L 10-34,*,,,,,,,,,,,,,
27,2006,2006-10-01,4,25.318,CHI,,SEA,W 37-6,,,,,,,,,,,,,,
28,2006,2006-10-08,5,25.325,CHI,,BUF,W 40-7,*,,,,,,,,,,,,,
