ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.253,TAM,,DAL,L 21-34,,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2009,2009-09-20,2,23.260,TAM,@,BUF,L 20-33,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2009,2009-09-27,3,23.267,TAM,,NYG,L 0-24,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2009,2009-10-04,4,23.274,TAM,@,WAS,L 13-16,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2009,2009-10-11,5,23.281,TAM,@,PHI,L 14-33,,7,3,18,6.00,0,42.9%,2.57,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2009,2009-10-18,6,23.288,TAM,,CAR,L 21-28,,5,3,65,21.67,0,60.0%,13.00,0,0,,0,3,142,47.33,1,0,0,,0,1,6,0.0,0,0
7,2009,2009-10-25,7,23.295,TAM,,NWE,L 7-35,,8,3,63,21.00,0,37.5%,7.88,0,0,,0,3,53,17.67,0,3,29,9.67,0,0,0,0.0,0,1
8,2009,2009-11-08,8,23.309,TAM,,GNB,W 38-28,,4,3,19,6.33,1,75.0%,4.75,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
9,2009,2009-11-15,9,23.316,TAM,@,MIA,L 23-25,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2009,2009-11-22,10,23.323,TAM,,NOR,L 7-38,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
11,2009,2009-11-29,11,23.330,TAM,@,ATL,L 17-20,,7,3,19,6.33,0,42.9%,2.71,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
