ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-09-14,1,23.015,NYG,@,CHI,L 19-34,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
2,1987,1987-09-20,2,23.021,NYG,,DAL,L 14-16,,0,0,,0,,,0,0,,0,0,0,,0,0,
3,1987,1987-10-25,6,23.056,NYG,,STL,W 30-7,,0,0,,0,,,1,18,18.00,0,0,0,,0,0,0
4,1987,1987-11-02,7,23.064,NYG,@,DAL,L 24-33,,1,8,8.00,0,,,0,0,,0,2,11,5.50,0,0,0
5,1987,1987-11-08,8,23.070,NYG,,NWE,W 17-10,,4,69,17.25,0,,,0,0,,0,0,0,,0,0,0
6,1987,1987-11-15,9,23.077,NYG,@,PHI,W 20-17,,2,60,30.00,0,,,0,0,,0,0,0,,0,0,0
7,1987,1987-11-22,10,23.084,NYG,@,NOR,L 14-23,,4,100,25.00,1,,,0,0,,0,0,0,,0,1,6
8,1987,1987-11-29,11,23.091,NYG,@,WAS,L 19-23,,1,6,6.00,0,,,0,0,,0,1,5,5.00,0,0,0
9,1987,1987-12-06,12,23.098,NYG,,PHI,W 23-20,,2,25,12.50,1,,,0,0,,0,0,0,,0,1,6
10,1987,1987-12-13,13,23.105,NYG,@,STL,L 24-27,,0,0,,0,,,0,0,,0,0,0,,0,0,
11,1987,1987-12-19,14,23.111,NYG,,GNB,W 20-10,,0,0,,0,,,0,0,,0,0,0,,0,0,
12,1987,1987-12-27,15,23.119,NYG,,NYJ,W 20-7,,0,0,,0,,,0,0,,0,0,0,,0,0,
13,1988,1988-09-05,1,24.006,NYG,,WAS,W 27-20,,0,0,,0,,,,,,,0,0,,0,,
14,1988,1988-09-11,2,24.012,NYG,,SFO,L 17-20,,0,0,,0,,,,,,,0,0,,0,,
15,1988,1988-09-18,3,24.019,NYG,@,DAL,W 12-10,,0,0,,0,,,,,,,0,0,,0,,
16,1988,1988-09-25,4,24.026,NYG,,RAM,L 31-45,,0,0,,0,,,,,,,0,0,,0,,
17,1988,1988-10-02,5,24.033,NYG,@,WAS,W 24-23,,2,44,22.00,0,,,0,0,,0,0,0,,0,0,0
18,1988,1988-10-10,6,24.041,NYG,@,PHI,L 13-24,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
19,1988,1988-10-16,7,24.047,NYG,,DET,W 30-10,,5,98,19.60,1,,,0,0,,0,0,0,,0,1,6
20,1988,1988-10-23,8,24.054,NYG,@,ATL,W 23-16,,6,104,17.33,0,,,0,0,,0,0,0,,0,0,0
21,1988,1988-10-30,9,24.061,NYG,@,DET,W 13-10,,7,82,11.71,0,,,0,0,,0,5,34,6.80,0,0,0
22,1988,1988-11-06,10,24.068,NYG,,DAL,W 29-21,,2,28,14.00,2,,,0,0,,0,0,0,,0,2,12
23,1988,1988-11-13,11,24.075,NYG,@,PHO,L 17-24,,4,42,10.50,0,,,0,0,,0,0,0,,0,0,0
24,1988,1988-11-20,12,24.082,NYG,,PHI,L 17-23,,6,71,11.83,1,,,0,0,,0,0,0,,0,1,6
25,1988,1988-11-27,13,24.089,NYG,@,NOR,W 13-12,,3,134,44.67,1,,,0,0,,0,0,0,,0,1,6
26,1988,1988-12-04,14,24.096,NYG,,PHO,W 44-7,,0,0,,0,,,,,,,0,0,,0,,
