ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2006,2006-10-01,4,24.150,DET,@,STL,L 34-41,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,2006,2006-10-08,5,24.157,DET,@,MIN,L 17-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2006,2006-10-15,6,24.164,DET,,BUF,W 20-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,2006,2006-10-29,7,24.178,GNB,,ARI,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0
5,2006,2006-11-05,8,24.185,GNB,@,BUF,L 10-24,,0,0,0,,0,0.0%,,4,62,15.50,0,5,9,1.80,0
6,2006,2006-11-12,9,24.192,GNB,@,MIN,W 23-17,,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0
7,2007,2007-09-30,4,25.149,GNB,@,MIN,W 23-16,,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0
8,2007,2007-10-07,5,25.156,GNB,,CHI,L 20-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,2007,2007-10-14,6,25.163,GNB,,WAS,W 17-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
10,2007,2007-10-29,7,25.178,GNB,@,DEN,W 19-13,,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0
11,2007,2007-11-04,8,25.184,GNB,@,KAN,W 33-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,2007,2007-12-30,16,25.240,GNB,,DET,W 34-13,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0
