ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-10-05,4,24.218,NYJ,,BOS,W 31-24,0,0,,0,0,0,,0,0,0,,0,0,0,2,31,0
2,1963,1963-10-13,5,24.226,NYJ,@,SDG,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
3,1963,1963-10-20,6,24.233,NYJ,@,OAK,L 26-49,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
4,1963,1963-10-26,7,24.239,NYJ,,DEN,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
5,1963,1963-11-10,9,24.254,NYJ,@,HOU,L 27-31,0,0,,0,0,0,,0,1,93,93.00,1,1,6,0,0,0
6,1963,1963-11-17,10,24.261,NYJ,@,DEN,W 14-9,0,0,,0,0,0,,0,1,31,31.00,0,0,0,0,0,0
7,1963,1963-12-01,11,24.275,NYJ,,KAN,W 17-0,0,0,,0,0,0,,0,1,16,16.00,0,0,0,0,0,0
8,1963,1963-12-08,12,24.282,NYJ,@,BUF,L 14-45,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
9,1963,1963-12-22,14,24.296,NYJ,@,KAN,L 0-48,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
10,1964,1964-09-12,1,25.195,NYJ,,DEN,W 30-6,0,0,,0,1,8,8.00,0,0,0,,0,0,0,1,25,0
11,1964,1964-09-27,2,25.210,NYJ,@,BOS,L 10-26,0,0,,0,1,33,33.00,0,2,4,2.00,0,0,0,1,24,0
12,1964,1964-10-03,3,25.216,NYJ,,SDG,T 17-17,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
13,1964,1964-10-10,4,25.223,NYJ,,OAK,W 35-13,0,0,,0,0,0,,0,1,9,9.00,0,1,6,1,54,1
14,1964,1964-10-17,5,25.230,NYJ,,HOU,W 24-21,0,0,,0,0,0,,0,4,60,15.00,0,0,0,1,0,0
15,1964,1964-10-31,7,25.244,NYJ,,BOS,W 35-14,0,0,,0,0,0,,0,1,4,4.00,0,0,0,3,27,0
16,1964,1964-11-08,8,25.252,NYJ,,BUF,L 7-20,0,0,,0,2,47,23.50,0,4,21,5.25,0,0,0,0,0,0
17,1964,1964-11-15,9,25.259,NYJ,@,DEN,L 16-20,0,0,,0,0,0,,0,3,54,18.00,0,0,0,0,0,0
18,1964,1964-11-22,10,25.266,NYJ,@,OAK,L 26-35,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
19,1964,1964-11-29,11,25.273,NYJ,,KAN,W 27-14,1,8,8.00,0,2,44,22.00,0,1,6,6.00,0,0,0,0,0,0
20,1964,1964-12-06,12,25.280,NYJ,@,SDG,L 3-38,0,0,,0,5,108,21.60,0,0,0,,0,0,0,0,0,0
21,1964,1964-12-20,14,25.294,NYJ,@,KAN,L 7-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
22,1965,1965-09-12,1,26.195,NYJ,@,HOU,L 21-27,0,0,,0,2,50,25.00,0,0,0,,0,0,0,1,9,0
23,1965,1965-10-03,4,26.216,NYJ,@,DEN,L 13-16,0,0,,0,0,0,,0,2,25,12.50,0,0,0,0,0,0
24,1965,1965-10-16,5,26.229,NYJ,,OAK,T 24-24,0,0,,0,0,0,,0,1,12,12.00,0,0,0,0,0,0
25,1965,1965-10-23,6,26.236,NYJ,,SDG,L 9-34,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
26,1965,1965-10-31,7,26.244,NYJ,,DEN,W 45-10,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0
27,1965,1965-11-07,8,26.251,NYJ,@,KAN,W 13-10,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0
28,1965,1965-11-14,9,26.258,NYJ,@,BOS,W 30-20,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
29,1965,1965-11-21,10,26.265,NYJ,,HOU,W 41-14,0,0,,0,0,0,,0,2,12,6.00,0,0,0,1,0,0
30,1965,1965-11-28,11,26.272,NYJ,,BOS,L 23-27,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
31,1965,1965-12-04,12,26.278,NYJ,@,SDG,L 7-38,0,0,,0,0,0,,0,2,8,4.00,0,0,0,0,0,0
32,1965,1965-12-12,13,26.286,NYJ,@,OAK,L 14-24,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
33,1965,1965-12-19,14,26.293,NYJ,,BUF,W 14-12,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
34,1966,1966-09-18,2,27.201,NYJ,,HOU,W 52-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,5,0
35,1966,1966-10-16,6,27.229,NYJ,@,HOU,L 0-24,0,0,,0,0,0,,0,4,31,7.75,0,0,0,0,0,0
36,1966,1966-10-30,8,27.243,NYJ,,BUF,L 23-33,0,0,,0,0,0,,0,1,4,4.00,0,1,6,2,54,1
37,1966,1966-12-17,14,27.291,NYJ,,BOS,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,0,2,17,0
38,1967,1967-09-24,2,28.207,NYJ,@,DEN,W 38-24,0,0,,0,0,0,,0,3,21,7.00,0,0,0,0,0,0
