ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-09-09,1,24.275,ATL,,HOU,W 47-27,,,,,,,,,,,
2,1990,1990-10-07,4,24.303,ATL,,NOR,W 28-27,,,,,,,,,,,
3,1990,1990-10-21,6,24.317,ATL,@,RAM,L 24-44,,,,,,,,,,,
4,1990,1990-10-28,7,24.324,ATL,,CIN,W 38-17,,,,,,,,,,,
5,1990,1990-11-04,8,24.331,ATL,@,PIT,L 9-21,,,,,,,,,,,
6,1990,1990-11-11,9,24.338,ATL,@,CHI,L 24-30,,,,,,,,,,,
7,1990,1990-11-18,10,24.345,ATL,,PHI,L 23-24,,,,,,,,,,,
8,1990,1990-11-25,11,24.352,ATL,@,NOR,L 7-10,,,,,,,,,,,
9,1990,1990-12-02,12,24.359,ATL,@,TAM,L 17-23,,,,,,,,,,,
10,1990,1990-12-09,13,25.001,ATL,,PHO,L 13-24,,,,,,,,,,,
11,1990,1990-12-16,14,25.008,ATL,@,CLE,L 10-13,,,,,,,,,,,
12,1990,1990-12-23,15,25.015,ATL,,RAM,W 20-13,,,,,,,,,,,
13,1990,1990-12-30,16,25.022,ATL,,DAL,W 26-7,,,,,,,,,,,
14,1991,1991-09-01,1,25.267,KAN,,ATL,W 14-3,,,,,,,,,,,
15,1991,1991-09-08,2,25.274,KAN,,NOR,L 10-17,,,,,,,,,,,
16,1991,1991-09-16,3,25.282,KAN,@,HOU,L 7-17,,,,,,,,,,,
17,1991,1991-09-22,4,25.288,KAN,,SEA,W 20-13,,,,,,,,,,,
18,1991,1991-09-29,5,25.295,KAN,@,SDG,W 14-13,,,,,,,,,,,
19,1991,1991-10-07,6,25.303,KAN,,BUF,W 33-6,,,,,,,,,,,
20,1991,1991-10-13,7,25.309,KAN,,MIA,W 42-7,,,,,,,,,,,
21,1991,1991-10-20,8,25.316,KAN,@,DEN,L 16-19,,,,,,,,,,,
22,1991,1991-10-28,9,25.324,KAN,,RAI,W 24-21,,,,,,,,,,,
23,1991,1991-11-10,10,25.337,KAN,@,RAM,W 27-20,,,,,,,,,,,
24,1991,1991-11-17,11,25.344,KAN,,DEN,L 20-24,,,,,,,,,,,
25,1991,1991-11-24,12,25.351,KAN,@,CLE,L 15-20,,,,,,,,,,,
26,1991,1991-12-01,13,25.358,KAN,@,SEA,W 19-6,,,,,,,,,,,
27,1991,1991-12-14,15,26.006,KAN,@,SFO,L 14-28,,,,,,,,,,,
28,1992,1992-09-06,1,26.273,NYJ,@,ATL,L 17-20,1,1,20,20.00,0,100.0%,20.00,0,0,,0
29,1992,1992-09-13,2,26.280,NYJ,@,PIT,L 10-27,,0,0,,0,0.0%,,,,,
30,1992,1992-09-20,3,26.287,NYJ,,SFO,L 14-31,1,0,0,,0,0.0%,0.00,,,,
31,1992,1992-09-27,4,26.294,NYJ,@,RAM,L 10-18,,0,0,,0,0.0%,,,,,
32,1992,1992-10-04,5,26.301,NYJ,,NWE,W 30-21,1,0,0,,0,0.0%,0.00,,,,
33,1992,1992-10-11,6,26.308,NYJ,@,IND,L 3-6,,0,0,,0,0.0%,,,,,
34,1993,1993-10-03,4,27.299,NYJ,,PHI,L 30-35,,0,0,,0,0.0%,,0,0,,0
35,1993,1993-10-10,5,27.306,NYJ,@,RAI,L 20-24,,0,0,,0,0.0%,,0,0,,0
36,1993,1993-10-24,6,27.320,NYJ,,BUF,L 10-19,,0,0,,0,0.0%,,0,0,,0
37,1993,1993-10-31,7,27.327,NYJ,@,NYG,W 10-6,,0,0,,0,0.0%,,0,0,,0
38,1993,1993-11-07,8,27.334,NYJ,,MIA,W 27-10,,0,0,,0,0.0%,,0,0,,0
39,1993,1993-11-14,9,27.341,NYJ,@,IND,W 31-17,,0,0,,0,0.0%,,1,0,0.00,0
40,1993,1993-11-21,10,27.348,NYJ,,CIN,W 17-12,1,1,11,11.00,0,100.0%,11.00,0,0,,0
41,1993,1993-11-28,11,27.355,NYJ,@,NWE,W 6-0,,0,0,,0,0.0%,,0,0,,0
42,1993,1993-12-05,12,27.362,NYJ,,IND,L 6-9,2,1,3,3.00,0,50.0%,1.50,0,0,,0
43,1993,1993-12-11,13,28.003,NYJ,@,WAS,W 3-0,,0,0,,0,0.0%,,0,0,,0
44,1993,1993-12-18,14,28.010,NYJ,,DAL,L 7-28,,0,0,,0,0.0%,,0,0,,0
45,1993,1993-12-26,15,28.018,NYJ,@,BUF,L 14-16,,0,0,,0,0.0%,,0,0,,0
46,1993,1994-01-02,16,28.025,NYJ,@,HOU,L 0-24,,0,0,,0,0.0%,,0,0,,0
