ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,22.245,CHI,,MIA,W 34-7,,0,0,,0,,,0,0,,0,0,0,,0,0,
2,1988,1988-09-11,2,22.252,CHI,@,IND,W 17-13,,3,36,12.00,0,,,0,0,,0,0,0,,0,0,0
3,1988,1988-09-18,3,22.259,CHI,,MIN,L 7-31,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0
4,1988,1988-09-25,4,22.266,CHI,@,GNB,W 24-6,,0,0,,0,,,0,0,,0,0,0,,0,0,
5,1988,1988-10-02,5,22.273,CHI,,BUF,W 24-3,,0,0,,0,,,1,3,3.00,0,0,0,,0,0,0
6,1988,1988-10-09,6,22.280,CHI,@,DET,W 24-7,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
7,1988,1988-10-16,7,22.287,CHI,,DAL,W 17-7,,1,36,36.00,0,,,0,0,,0,0,0,,0,0,0
8,1988,1988-10-24,8,22.295,CHI,,SFO,W 10-9,,0,0,,0,,,0,0,,0,0,0,,0,0,
9,1988,1988-10-30,9,22.301,CHI,@,NWE,L 7-30,,0,0,,0,,,0,0,,0,3,17,5.67,0,0,0
10,1988,1988-11-06,10,22.308,CHI,,TAM,W 28-10,,2,29,14.50,0,,,0,0,,0,0,0,,0,0,0
11,1988,1988-11-13,11,22.315,CHI,@,WAS,W 34-14,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
12,1988,1988-11-20,12,22.322,CHI,@,TAM,W 27-15,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0
13,1988,1988-11-27,13,22.329,CHI,,GNB,W 16-0,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0
14,1988,1988-12-05,14,22.337,CHI,@,RAM,L 3-23,,0,0,,0,,,0,0,,0,0,0,,0,0,
15,1988,1988-12-11,15,22.343,CHI,,DET,W 13-12,,2,28,14.00,0,,,0,0,,0,0,0,,0,0,0
16,1988,1988-12-19,16,22.351,CHI,@,MIN,L 27-28,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0
17,1989,1989-09-10,1,23.250,CHI,,CIN,W 17-14,,0,0,,0,,,,,,,,,,,,
18,1989,1989-10-02,4,23.272,CHI,,PHI,W 27-13,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
19,1989,1989-10-08,5,23.278,CHI,@,TAM,L 35-42,,0,0,,0,,,,,,,,,,,,
20,1989,1989-10-15,6,23.285,CHI,,HOU,L 28-33,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
21,1989,1989-10-23,7,23.293,CHI,@,CLE,L 7-27,,3,37,12.33,1,,,0,0,,0,0,0,,0,1,6
22,1989,1989-10-29,8,23.299,CHI,,RAM,W 20-10,,2,49,24.50,0,,,0,0,,0,0,0,,0,0,0
23,1989,1989-11-05,9,23.306,CHI,@,GNB,L 13-14,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0
24,1989,1989-11-12,10,23.313,CHI,@,PIT,W 20-0,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0
25,1989,1989-11-19,11,23.320,CHI,,TAM,L 31-32,,2,78,39.00,2,,,0,0,,0,0,0,,0,2,12
26,1989,1989-11-26,12,23.327,CHI,@,WAS,L 14-38,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
27,1989,1989-12-03,13,23.334,CHI,@,MIN,L 16-27,,3,79,26.33,0,,,0,0,,0,0,0,,0,0,0
28,1989,1989-12-10,14,23.341,CHI,,DET,L 17-27,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0
29,1989,1989-12-17,15,23.348,CHI,,GNB,L 28-40,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0
30,1989,1989-12-24,16,23.355,CHI,@,SFO,L 0-26,,3,27,9.00,0,,,0,0,,0,0,0,,0,0,0
31,1990,1990-09-09,1,24.249,CHI,,SEA,W 17-0,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0
32,1990,1990-09-16,2,24.256,CHI,@,GNB,W 31-13,,2,21,10.50,0,,,0,0,,0,0,0,,0,0,0
33,1990,1990-09-23,3,24.263,CHI,,MIN,W 19-16,,0,0,,0,,,,,,,,,,,,
34,1990,1990-10-14,6,24.284,CHI,,RAM,W 38-9,,0,0,,0,,,,,,,,,,,,
35,1990,1990-10-28,7,24.298,CHI,@,PHO,W 31-21,,0,0,,0,,,,,,,,,,,,
36,1990,1990-11-04,8,24.305,CHI,@,TAM,W 26-6,,3,59,19.67,0,,,0,0,,0,0,0,,0,0,0
37,1990,1990-11-11,9,24.312,CHI,,ATL,W 30-24,,5,105,21.00,1,,,0,0,,0,0,0,,0,1,6
38,1990,1990-11-18,10,24.319,CHI,@,DEN,W 16-13,,2,20,10.00,0,,,0,0,,0,0,0,,0,0,0
39,1990,1990-11-25,11,24.326,CHI,@,MIN,L 13-41,,6,76,12.67,0,,,0,0,,0,0,0,,0,0,0
40,1990,1990-12-02,12,24.333,CHI,,DET,W 23-17,,3,27,9.00,0,,,0,0,,0,0,0,,0,0,0
41,1990,1990-12-09,13,24.340,CHI,@,WAS,L 9-10,,7,96,13.71,0,,,0,0,,0,0,0,,0,0,0
42,1990,1990-12-16,14,24.347,CHI,@,DET,L 21-38,,2,19,9.50,1,,,0,0,,0,0,0,,0,1,6
43,1990,1990-12-23,15,24.354,CHI,,TAM,W 27-14,,6,88,14.67,1,,,0,0,,0,0,0,,0,1,6
44,1990,1990-12-29,16,24.360,CHI,,KAN,L 10-21,,2,50,25.00,0,,,0,0,,0,0,0,,0,0,0
45,1991,1991-09-01,1,25.241,CHI,,MIN,W 10-6,,3,32,10.67,0,,,0,0,,0,0,0,,0,0,0
46,1991,1991-09-08,2,25.248,CHI,@,TAM,W 21-20,,3,70,23.33,1,,,0,0,,0,0,0,,0,1,6
47,1991,1991-09-15,3,25.255,CHI,,NYG,W 20-17,,2,88,44.00,1,,,0,0,,0,0,0,,0,1,6
48,1991,1991-09-23,4,25.263,CHI,,NYJ,W 19-13,,9,96,10.67,0,,,0,0,,0,0,0,,0,0,0
49,1991,1991-09-29,5,25.269,CHI,@,BUF,L 20-35,,6,65,10.83,0,,,0,0,,0,0,0,,0,0,0
50,1991,1991-10-06,6,25.276,CHI,,WAS,L 7-20,,3,29,9.67,0,,,0,0,,0,0,0,,0,0,0
51,1991,1991-10-17,7,25.287,CHI,@,GNB,W 10-0,,0,0,,0,,,,,,,,,,,,
52,1991,1991-10-27,8,25.297,CHI,@,NOR,W 20-17,,1,27,27.00,0,,,0,0,,0,0,0,,0,0,0
53,1991,1991-11-03,9,25.304,CHI,,DET,W 20-10,,6,98,16.33,2,,,0,0,,0,0,0,,0,2,12
54,1991,1991-11-11,10,25.312,CHI,@,MIN,W 34-17,,3,31,10.33,0,,,0,0,,0,0,0,,0,0,0
55,1991,1991-11-17,11,25.318,CHI,@,IND,W 31-17,,3,50,16.67,0,,,0,0,,0,0,0,,0,0,0
