ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-09,1,29.028,DEN,@,BOS,W 13-10,1,1,1.00,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,0
2,1960,1960-09-18,2,29.037,DEN,@,BUF,W 27-21,4,8,2.00,0,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0,0,0
3,1960,1960-09-23,3,29.042,DEN,@,NYT,L 24-28,5,16,3.20,1,1,20,20.00,0,1,19,19.00,0,2,9,4.50,0,1,6,0,0,0
4,1960,1960-10-02,4,29.051,DEN,,OAK,W 31-14,5,14,2.80,0,3,38,12.67,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
5,1960,1960-10-16,5,29.065,DEN,,LAC,L 19-23,0,0,,0,1,21,21.00,0,3,84,28.00,0,0,0,,0,0,0,0,0,0
6,1960,1960-10-23,6,29.072,DEN,,BOS,W 31-24,1,-6,-6.00,0,1,9,9.00,0,2,34,17.00,0,2,19,9.50,0,0,0,2,44,0
7,1960,1960-10-30,7,29.079,DEN,,DTX,L 14-17,0,0,,0,1,55,55.00,1,0,0,,0,0,0,,0,1,6,0,0,0
8,1960,1960-11-13,9,29.093,DEN,@,DTX,L 7-34,0,0,,0,0,0,,0,1,15,15.00,0,2,6,3.00,0,0,0,0,0,0
9,1960,1960-11-20,10,29.100,DEN,@,HOU,L 10-20,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
10,1960,1960-12-04,12,29.114,DEN,,NYT,L 27-30,0,0,,0,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0,0,0
11,1960,1960-12-10,13,29.120,DEN,@,LAC,L 33-41,0,0,,0,0,0,,0,0,0,,0,1,18,18.00,0,0,0,1,19,0
12,1961,1961-09-24,3,30.043,DEN,@,NYT,L 28-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
13,1961,1961-10-29,8,30.078,DEN,@,SDG,L 0-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0
14,1961,1961-11-12,10,30.092,DEN,,SDG,L 16-19,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
15,1961,1961-11-26,12,30.106,DEN,@,HOU,L 14-45,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,1,34,0
16,1961,1961-12-03,13,30.113,DEN,,BOS,L 24-28,0,0,,0,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0,0,0
17,1961,1961-12-10,14,30.120,DEN,@,DTX,L 21-49,,,,,,,,,,,,,,,,,,,0,8,0
