ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,23.037,NYG,@,TAM,W 17-13,,1,6,1,8,1
2,1999,1999-09-19,2,23.044,NYG,,WAS,L 21-50,,,,,,
3,1999,1999-09-26,3,23.051,NYG,@,NWE,L 14-16,,,,,,
4,1999,1999-10-03,4,23.058,NYG,,PHI,W 16-15,,,,,,
5,1999,1999-10-10,5,23.065,NYG,@,ARI,L 3-14,,,,,,
6,1999,1999-10-18,6,23.073,NYG,,DAL,W 13-10,,,,,,
7,1999,1999-10-24,7,23.079,NYG,,NOR,W 31-3,,,,,,
8,1999,1999-10-31,8,23.086,NYG,@,PHI,W 23-17,,,,,,
9,1999,1999-11-14,9,23.100,NYG,,IND,L 19-27,,,,,,
10,2000,2000-10-29,8,24.084,NYG,,PHI,W 24-7,,,,,,
