ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,25.321,STL,,ARI,W 27-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
2,2013,2013-09-15,2,25.328,STL,@,ATL,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
3,2013,2013-09-22,3,25.335,STL,@,DAL,L 7-31,,,,,,,0.0%,,,,,,,,,,,,
4,2013,2013-09-26,4,25.339,STL,,SFO,L 11-35,,,,,,,0.0%,,,,,,,,,,,,
5,2013,2013-10-06,5,25.349,STL,,JAX,W 34-20,,0,,,,,0.0%,,,,,,,,,,,,
6,2013,2013-10-13,6,25.356,STL,@,HOU,W 38-13,,,,,,,0.0%,,,,,,,,,,,,
7,2013,2013-10-20,7,25.363,STL,@,CAR,L 15-30,,,,,,,0.0%,,,,,,,,,,,,
8,2013,2013-10-28,8,26.006,STL,,SEA,L 9-14,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0.0,0,0
9,2013,2013-11-03,9,26.012,STL,,TEN,L 21-28,,,,,,,0.0%,,,,,,,,,,,,
10,2013,2013-11-10,10,26.019,STL,@,IND,W 38-8,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
11,2013,2013-11-24,11,26.033,STL,,CHI,W 42-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
12,2013,2013-12-01,12,26.040,STL,@,SFO,L 13-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
13,2013,2013-12-08,13,26.047,STL,@,ARI,L 10-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
14,2013,2013-12-15,14,26.054,STL,,NOR,W 27-16,,,,,,,0.0%,,,,,,,,,,,,
15,2013,2013-12-22,15,26.061,STL,,TAM,W 23-13,,,,,,,0.0%,,,,,,,,,,,,
16,2013,2013-12-29,16,26.068,STL,@,SEA,L 9-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
17,2014,2014-09-07,1,26.320,STL,,MIN,L 6-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
18,2014,2014-09-14,2,26.327,STL,@,TAM,W 19-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
19,2014,2014-09-21,3,26.334,STL,,DAL,L 31-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
20,2014,2014-10-05,4,26.348,STL,@,PHI,L 28-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
21,2014,2014-10-19,6,26.362,STL,,SEA,W 28-26,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0.0,1,0
22,2014,2014-10-26,7,27.004,STL,@,KAN,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
23,2014,2014-11-02,8,27.011,STL,@,SFO,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
24,2014,2014-11-09,9,27.018,STL,@,ARI,L 14-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
25,2014,2014-11-16,10,27.025,STL,,DEN,W 22-7,,,,,,,0.0%,,,,,,,,,,,,
26,2014,2014-11-23,11,27.032,STL,@,SDG,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
27,2014,2014-11-30,12,27.039,STL,,OAK,W 52-0,,,,,,,0.0%,,,,,,,,,,,,
28,2014,2014-12-07,13,27.046,STL,@,WAS,W 24-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
29,2014,2014-12-11,14,27.050,STL,,ARI,L 6-12,,,,,,,0.0%,,,,,,,,,,,,
30,2014,2014-12-21,15,27.060,STL,,NYG,L 27-37,,,,,,,0.0%,,,,,,,,,,,,
31,2014,2014-12-28,16,27.067,STL,@,SEA,L 6-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
32,2015,2015-09-13,1,27.326,STL,,SEA,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
33,2015,2015-09-27,3,27.340,STL,,PIT,L 6-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
34,2015,2015-10-11,5,27.354,STL,@,GNB,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
35,2015,2015-10-25,6,28.003,STL,,CLE,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
36,2015,2015-11-01,7,28.010,STL,,SFO,W 27-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
37,2015,2015-11-15,9,28.024,STL,,CHI,L 13-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
38,2015,2015-11-22,10,28.031,STL,@,BAL,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
39,2015,2015-11-29,11,28.038,STL,@,CIN,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
40,2015,2015-12-06,12,28.045,STL,,ARI,L 3-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
41,2015,2015-12-13,13,28.052,STL,,DET,W 21-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
42,2015,2015-12-17,14,28.056,STL,,TAM,W 31-23,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0.0,0,0
43,2015,2015-12-27,15,28.066,STL,@,SEA,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
44,2015,2016-01-03,16,28.073,STL,@,SFO,L 16-19,,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0,0.0,0,0
45,2016,2016-09-12,1,28.326,LAR,@,SFO,L 0-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
46,2016,2016-09-18,2,28.332,LAR,,SEA,W 9-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
