ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,22.005,CLE,,CIN,W 27-14,,,,,,,,,,,
2,1993,1993-09-13,2,22.013,CLE,,SFO,W 23-13,,,,,,,,,,,
3,1993,1993-09-19,3,22.019,CLE,@,RAI,W 19-16,,,,,,,,,,,
4,1993,1993-09-26,4,22.026,CLE,@,IND,L 10-23,,,,,,,,,,,
5,1993,1993-10-10,5,22.040,CLE,,MIA,L 14-24,,,,,,,,,,,
6,1993,1993-10-17,6,22.047,CLE,@,CIN,W 28-17,,,,,,,,,,,
7,1993,1993-10-24,7,22.054,CLE,,PIT,W 28-23,,,,,,,,,,,
8,1993,1993-11-07,8,22.068,CLE,,DEN,L 14-29,,,,,,,,,,,
9,1993,1993-11-14,9,22.075,CLE,@,SEA,L 5-22,,,,,,,,,,,
10,1993,1993-11-21,10,22.082,CLE,,HOU,L 20-27,,,,,,,,,,,
11,1993,1993-11-28,11,22.089,CLE,@,ATL,L 14-17,,,,,,,,,,,
12,1993,1993-12-05,12,22.096,CLE,,NOR,W 17-13,,,,,,,,,,,
13,1993,1993-12-12,13,22.103,CLE,@,HOU,L 17-19,,,,,,,,,,,
14,1993,1993-12-19,14,22.110,CLE,,NWE,L 17-20,,,,,,,,,,,
15,1993,1994-01-02,16,22.124,CLE,@,PIT,L 9-16,,,,,,,,,,,
16,1994,1994-09-04,1,23.004,CLE,@,CIN,W 28-20,,0,0,,0,,,,,,
17,1994,1994-09-11,2,23.011,CLE,,PIT,L 10-17,,0,0,,0,,,,,,
18,1994,1994-09-18,3,23.018,CLE,,ARI,W 32-0,,0,0,,0,,,,,,
19,1994,1994-09-25,4,23.025,CLE,@,IND,W 21-14,,0,0,,0,,,,,,
20,1994,1994-10-02,5,23.032,CLE,,NYJ,W 27-7,,0,0,,0,,,,,,
21,1994,1994-10-13,6,23.043,CLE,@,HOU,W 11-8,,0,0,,0,,,,,,
22,1994,1994-10-23,7,23.053,CLE,,CIN,W 37-13,,0,0,,0,,,,,,
23,1994,1994-10-30,8,23.060,CLE,@,DEN,L 14-26,,0,0,,0,,,,,,
24,1994,1994-11-06,9,23.067,CLE,,NWE,W 13-6,,0,0,,0,0,0,0.0,1,0,0
25,1994,1994-11-13,10,23.074,CLE,@,PHI,W 26-7,,0,0,,0,,,,,,
26,1994,1994-11-20,11,23.081,CLE,@,KAN,L 13-20,,0,0,,0,,,,,,
27,1994,1994-11-27,12,23.088,CLE,,HOU,W 34-10,,0,0,,0,,,,,,
28,1994,1994-12-04,13,23.095,CLE,,NYG,L 13-16,,1,2,2.00,0,0,0,0.0,0,0,0
29,1994,1994-12-10,14,23.101,CLE,@,DAL,W 19-14,,0,0,,0,,,,,,
30,1994,1994-12-18,15,23.109,CLE,@,PIT,L 7-17,,0,0,,0,,,,,,
31,1994,1994-12-24,16,23.115,CLE,,SEA,W 35-9,,0,0,,0,,,,,,
32,1995,1995-09-03,1,24.003,CLE,@,NWE,L 14-17,,,,,,,,,,,
33,1995,1995-09-10,2,24.010,CLE,,TAM,W 22-6,,,,,,,,,,,
34,1995,1995-09-17,3,24.017,CLE,@,HOU,W 14-7,,0,0,,0,0,0,0.0,1,0,0
35,1995,1995-09-24,4,24.024,CLE,,KAN,W 35-17,,0,0,,0,1,6,0.0,1,24,1
36,1995,1995-10-02,5,24.032,CLE,,BUF,L 19-22,,,,,,,,,,,
37,1995,1995-10-08,6,24.038,CLE,@,DET,L 20-38,,,,,,,,,,,
38,1995,1995-10-22,7,24.052,CLE,,JAX,L 15-23,,,,,,,,,,,
39,1995,1995-10-29,8,24.059,CLE,@,CIN,W 29-26,,,,,,,,,,,
40,1995,1995-11-05,9,24.066,CLE,,HOU,L 10-37,,,,,,,,,,,
41,1995,1995-11-13,10,24.074,CLE,@,PIT,L 3-20,,,,,,,,,,,
42,1995,1995-11-19,11,24.080,CLE,,GNB,L 20-31,,,,,,,,,,,
43,1995,1995-11-26,12,24.087,CLE,,PIT,L 17-20,,,,,,,,,,,
44,1995,1995-12-03,13,24.094,CLE,@,SDG,L 13-31,,,,,,,,,,,
45,1995,1995-12-09,14,24.100,CLE,@,MIN,L 11-27,,,,,,,,,,,
46,1995,1995-12-17,15,24.108,CLE,,CIN,W 26-10,,,,,,,,,,,
