ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1960,1960-09-23,1,22.005,STL,@,RAM,W 43-21,1,14,14.00,0,0,0,,0
2,1960,1960-10-02,2,22.014,STL,,NYG,L 14-35,1,51,51.00,0,0,0,,0
3,1960,1960-10-09,3,22.021,STL,@,PHI,L 27-31,3,31,10.33,0,0,0,,0
4,1960,1960-10-16,4,22.028,STL,@,PIT,L 14-27,1,17,17.00,0,0,0,,0
5,1960,1960-10-23,5,22.035,STL,,DAL,W 12-10,1,36,36.00,0,0,0,,0
6,1960,1960-10-30,6,22.042,STL,@,NYG,W 20-13,1,22,22.00,0,0,0,,0
7,1960,1960-11-06,7,22.049,STL,,WAS,W 44-7,1,41,41.00,0,0,0,,0
8,1960,1960-11-13,8,22.056,STL,@,CLE,L 27-28,1,21,21.00,0,0,0,,0
9,1960,1960-11-27,10,22.070,STL,,CLE,T 17-17,2,18,9.00,0,0,0,,0
10,1960,1960-12-18,12,22.091,STL,,PIT,W 38-7,1,9,9.00,0,0,0,,0
11,1961,1961-09-17,1,22.364,STL,@,NYG,W 21-10,4,64,16.00,0,0,0,,0
12,1961,1961-09-24,2,23.006,STL,@,CLE,L 17-20,0,0,,0,2,10,5.00,0
13,1961,1961-10-01,3,23.013,STL,@,PHI,W 30-27,3,43,14.33,0,2,20,10.00,0
14,1962,1962-11-18,10,24.061,STL,@,CLE,L 14-38,1,10,10.00,0,0,0,,0
15,1964,1964-10-04,4,26.016,DET,,NYG,W 26-3,1,15,15.00,0,0,0,,0
