ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,24.305,BAL,@,KAN,L 0-14,,,
2,1979,1979-09-09,2,24.312,BAL,,TAM,L 26-29,,,
3,1979,1979-09-16,3,24.319,BAL,@,CLE,L 10-13,,,
4,1979,1979-09-23,4,24.326,BAL,@,PIT,L 13-17,,,
5,1979,1979-09-30,5,24.333,BAL,,BUF,L 13-31,,,
6,1979,1979-10-07,6,24.340,BAL,,NYJ,W 10-8,,,
7,1979,1979-10-14,7,24.347,BAL,,HOU,L 16-28,,,
8,1979,1979-10-21,8,24.354,BAL,@,BUF,W 14-13,,,
9,1979,1979-10-28,9,24.361,BAL,,NWE,W 31-26,,,
10,1979,1979-11-04,10,25.003,BAL,,CIN,W 38-28,,,
11,1979,1979-11-11,11,25.010,BAL,@,MIA,L 0-19,,,
12,1979,1979-11-18,12,25.017,BAL,@,NWE,L 21-50,,,
13,1979,1979-11-25,13,25.024,BAL,,MIA,L 24-28,,,
14,1979,1979-12-02,14,25.031,BAL,@,NYJ,L 17-30,,,
15,1979,1979-12-09,15,25.038,BAL,,KAN,L 7-10,,,
16,1979,1979-12-16,16,25.045,BAL,@,NYG,W 31-7,,,
17,1980,1980-09-07,1,25.311,BAL,@,NYJ,W 17-14,1,13,0
18,1980,1980-09-14,2,25.318,BAL,,PIT,L 17-20,,,
19,1980,1980-10-12,6,25.346,BAL,@,BUF,W 17-12,,,
20,1980,1980-10-19,7,25.353,BAL,,NWE,L 21-37,,,
21,1980,1980-10-26,8,25.360,BAL,,STL,L 10-17,,,
22,1980,1980-11-02,9,26.001,BAL,@,KAN,W 31-24,,,
23,1980,1980-11-09,10,26.008,BAL,,CLE,L 27-28,,,
24,1980,1980-11-16,11,26.015,BAL,@,DET,W 10-9,,,
25,1980,1980-11-23,12,26.022,BAL,@,NWE,L 21-47,,,
26,1980,1980-11-30,13,26.029,BAL,,BUF,W 28-24,,,
27,1980,1980-12-07,14,26.036,BAL,@,CIN,L 33-34,,,
28,1980,1980-12-14,15,26.043,BAL,,MIA,L 14-24,,,
29,1980,1980-12-21,16,26.050,BAL,,KAN,L 28-38,,,
30,1981,1981-09-06,1,26.309,BAL,@,NWE,W 29-28,,,
31,1981,1981-09-13,2,26.316,BAL,,BUF,L 3-35,,,
32,1981,1981-09-20,3,26.323,BAL,@,DEN,L 10-28,,,
33,1981,1981-09-27,4,26.330,BAL,,MIA,L 28-31,,,
34,1981,1981-10-04,5,26.337,BAL,@,BUF,L 17-23,,,
35,1981,1981-10-11,6,26.344,BAL,,CIN,L 19-41,,,
36,1981,1981-10-18,7,26.351,BAL,,SDG,L 14-43,,,
