ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-21,3,22.310,DET,,MIN,L 13-23,,1,5,5.00,0,,0,0,0.0,,,0,0,0
2,2003,2003-11-02,8,22.352,DET,,OAK,W 23-13,,,,,,,,,,,,,,
3,2003,2003-11-16,10,23.001,DET,@,SEA,L 14-35,,,,,,,,,,,,,,
4,2003,2003-11-23,11,23.008,DET,@,MIN,L 14-24,,,,,,,,,,,,,,
5,2003,2003-11-27,12,23.012,DET,,GNB,W 22-14,,,,,,,,,,,,,,
6,2003,2003-12-07,13,23.022,DET,,SDG,L 7-14,,,,,,,,,,,,,,
7,2003,2003-12-14,14,23.029,DET,@,KAN,L 17-45,,,,,,,,,,,,,,
8,2003,2003-12-21,15,23.036,DET,@,CAR,L 14-20,,,,,,,,,,,,,,
9,2003,2003-12-28,16,23.043,DET,,STL,W 30-20,,,,,,,,,,,,,,
10,2004,2004-09-12,1,23.302,DET,@,CHI,W 20-16,*,,,,,,,,,,,,,
11,2004,2004-09-19,2,23.309,DET,,HOU,W 28-16,*,,,,,,,,,,,,,
12,2004,2004-09-26,3,23.316,DET,,PHI,L 13-30,*,,,,,,,,,,,,,
13,2004,2004-10-10,4,23.330,DET,@,ATL,W 17-10,*,,,,,,,,,,,,,
14,2004,2004-10-17,5,23.337,DET,,GNB,L 10-38,*,,,,,,,,,,,,,
15,2004,2004-10-24,6,23.344,DET,@,NYG,W 28-13,*,0,0,,0,,0,0,1.0,,,0,0,0
16,2004,2004-10-31,7,23.351,DET,@,DAL,L 21-31,*,,,,,,,,,,,,,
17,2004,2004-11-07,8,23.358,DET,,WAS,L 10-17,*,,,,,,,,,,,,,
18,2004,2004-11-14,9,23.365,DET,@,JAX,L 17-23,*,,,,,,,,,,,,,
19,2004,2004-11-21,10,24.006,DET,@,MIN,L 19-22,*,,,,,,,,,,,,,
20,2004,2004-11-25,11,24.010,DET,,IND,L 9-41,*,,,,,,,,,,,,,
21,2004,2004-12-05,12,24.020,DET,,ARI,W 26-12,*,,,,,,,,,,,,,
22,2004,2004-12-12,13,24.027,DET,@,GNB,L 13-16,*,,,,,,,,,,,,,
23,2004,2004-12-19,14,24.034,DET,,MIN,L 27-28,*,0,0,,0,,0,0,1.0,,,0,0,0
24,2004,2004-12-26,15,24.041,DET,,CHI,W 19-13,*,0,0,,0,,0,0,1.0,,,0,0,0
25,2004,2005-01-02,16,24.048,DET,@,TEN,L 19-24,*,,,,,,,,,,,,,
26,2005,2005-09-11,1,24.300,DET,,GNB,W 17-3,*,,,,,,,,,,,,,
27,2005,2005-09-18,2,24.307,DET,@,CHI,L 6-38,*,,,,,,,,,,,,,
28,2005,2005-10-02,3,24.321,DET,@,TAM,L 13-17,*,,,,,,,,,,,,,
29,2005,2005-10-09,4,24.328,DET,,BAL,W 35-17,*,,,,,,,,,,,,,
