ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,22.235,IND,@,NYJ,W 45-24,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,,0,0,0.0,,
2,2001,2001-09-30,3,22.256,IND,@,NWE,L 13-44,,4,21,5.25,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,,
3,2001,2001-10-14,4,22.270,IND,,OAK,L 18-23,,0,0,,0,0,0,0,,0,0.0%,,3,74,24.67,0,,0,0,0.0,,
4,2001,2001-10-21,5,22.277,IND,,NWE,L 17-38,,2,35,17.50,0,0,0,0,,0,0.0%,,6,123,20.50,0,,0,0,0.0,,
5,2001,2001-10-25,6,22.281,IND,@,KAN,W 35-28,,4,87,21.75,1,0,0,0,,0,0.0%,,3,110,36.67,1,,2,12,0.0,,
6,2001,2001-11-04,7,22.291,IND,@,BUF,W 30-14,*,34,100,2.94,1,6,4,45,11.25,0,66.7%,7.50,0,0,,0,,1,6,0.0,,
7,2001,2001-11-11,8,22.298,IND,,MIA,L 24-27,*,14,42,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
8,2001,2001-11-18,9,22.305,IND,@,NOR,L 20-34,*,18,67,3.72,1,3,3,8,2.67,0,100.0%,2.67,0,0,,0,,1,6,0.0,,
9,2001,2001-11-25,10,22.312,IND,,SFO,L 21-40,*,27,104,3.85,2,9,6,43,7.17,0,66.7%,4.78,0,0,,0,,2,12,0.0,,
10,2001,2001-12-02,11,22.319,IND,@,BAL,L 27-39,*,16,42,2.63,0,8,6,25,4.17,0,75.0%,3.13,0,0,,0,,0,0,0.0,,
11,2001,2001-12-10,12,22.327,IND,@,MIA,L 6-41,*,17,79,4.65,0,7,4,19,4.75,0,57.1%,2.71,0,0,,0,,0,0,0.0,,
12,2001,2001-12-16,13,22.333,IND,,ATL,W 41-27,*,29,177,6.10,2,5,3,11,3.67,0,60.0%,2.20,0,0,,0,,2,12,0.0,,
13,2001,2001-12-23,14,22.340,IND,,NYJ,L 28-29,*,17,126,7.41,1,4,3,26,8.67,0,75.0%,6.50,0,0,,0,,1,6,0.0,,
14,2001,2001-12-30,15,22.347,IND,@,STL,L 17-42,*,20,83,4.15,1,6,2,9,4.50,0,33.3%,1.50,0,0,,0,,1,6,0.0,,
15,2001,2002-01-06,16,22.354,IND,,DEN,W 29-10,*,31,141,4.55,0,5,2,30,15.00,0,40.0%,6.00,0,0,,0,,0,0,0.0,,
16,2003,2003-09-28,4,24.254,IND,@,NOR,W 55-21,,6,36,6.00,0,2,2,16,8.00,1,100.0%,8.00,0,0,,0,,1,6,0.0,,
17,2003,2003-10-06,5,24.262,IND,@,TAM,W 38-35,,3,-2,-0.67,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,,
18,2003,2003-10-26,7,24.282,IND,,HOU,W 30-21,,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
19,2003,2003-11-02,8,24.289,IND,@,MIA,W 23-17,,5,22,4.40,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,,0,0,0.0,,
20,2003,2003-11-16,10,24.303,IND,,NYJ,W 38-31,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
21,2003,2003-11-23,11,24.310,IND,@,BUF,W 17-14,,,,,,,,,,,0.0%,,,,,,,,,,,
22,2003,2003-11-30,12,24.317,IND,,NWE,L 34-38,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
