ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1977,1977-09-18,1,23.043,NYG,,WAS,W 20-17,*,7,14,50.00,123,1,1,74.4,0,0,8.79,7.00,0,0,,0
2,1977,1977-09-25,2,23.050,NYG,@,DAL,L 21-41,*,1,3,33.33,4,0,1,2.8,0,0,1.33,-13.67,0,0,,0
3,1977,1977-10-02,3,23.057,NYG,@,ATL,L 3-17,*,6,18,33.33,75,0,2,7.6,0,0,4.17,-0.83,0,0,,0
4,1977,1977-10-31,7,23.086,NYG,@,STL,L 0-28,,5,10,50.00,64,0,1,30.8,0,0,6.40,1.90,0,0,,0
5,1977,1977-11-13,9,23.099,NYG,@,TAM,W 10-0,,0,0,,0,0,0,,0,0,,,3,-4,-1.33,0
6,1977,1977-11-20,10,23.106,NYG,,CLE,L 7-21,,12,25,48.00,150,1,3,40.8,0,0,6.00,1.40,0,0,,0
7,1978,1978-09-02,1,24.027,NYG,@,TAM,W 19-13,*,3,10,30.00,27,0,0,39.6,0,0,2.70,2.70,0,0,,0
8,1978,1978-09-24,4,24.049,NYG,,SFO,W 27-10,,0,0,,0,0,,,,,,,0,0,,0
9,1978,1978-10-01,5,24.056,NYG,@,ATL,L 20-23,,,,,,,,,,,,,,,,
10,1978,1978-10-08,6,24.063,NYG,@,DAL,L 3-24,,3,13,23.08,27,0,1,7.5,0,0,2.08,-1.38,0,0,,0
11,1978,1978-10-15,7,24.070,NYG,,TAM,W 17-14,,2,2,100.00,18,0,0,104.2,0,0,9.00,9.00,1,-3,-3.00,0
12,1978,1978-10-29,9,24.084,NYG,@,NOR,L 17-28,,4,10,40.00,38,0,0,51.2,0,0,3.80,3.80,0,0,,0
13,1978,1978-11-05,10,24.091,NYG,@,STL,L 10-20,*,0,5,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
14,1979,1979-10-21,8,25.076,DET,@,NOR,L 7-17,*,2,9,22.22,16,0,2,0.0,0,0,1.78,-8.22,1,0,0.00,0
15,1979,1979-12-16,16,25.132,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,,,
16,1982,1983-01-02,9,28.149,TAM,,CHI,W 26-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
17,1983,1983-09-04,1,29.029,TAM,,DET,L 0-11,*,14,21,66.67,120,0,0,81.4,3,24,5.71,5.71,0,0,,0
18,1983,1983-09-11,2,29.036,TAM,@,CHI,L 10-17,*,22,42,52.38,277,0,1,63.3,2,15,6.60,5.52,3,3,1.00,0
19,1983,1983-10-02,5,29.057,TAM,@,GNB,L 14-55,,8,19,42.11,89,0,0,56.7,0,0,4.68,4.68,0,0,,0
20,1983,1983-10-23,8,29.078,TAM,,NOR,L 21-24,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
21,1983,1983-11-20,12,29.106,TAM,,CHI,L 0-27,*,3,13,23.08,49,0,1,10.7,2,13,3.77,0.31,2,0,0.00,0
