ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,23.296,TEN,@,CIN,W 23-14,,,,,,
2,1998,1998-09-13,2,23.303,TEN,,SDG,L 7-13,,,,,,
3,1998,1998-09-20,3,23.310,TEN,@,NWE,L 16-27,,,,,,
4,1998,1998-09-27,4,23.317,TEN,,JAX,L 22-27,,,,,,
5,1998,1998-10-18,6,23.338,TEN,,CIN,W 44-14,,,,,,
6,1998,1998-10-25,7,23.345,TEN,,CHI,L 20-23,,,,,,
7,1998,1998-11-01,8,23.352,TEN,@,PIT,W 41-31,,,,,,
8,1998,1998-11-08,9,23.359,TEN,@,TAM,W 31-22,,,,,,
9,1998,1998-11-15,10,24.001,TEN,,PIT,W 23-14,,,,,,
10,1998,1998-11-22,11,24.008,TEN,,NYJ,L 3-24,,,,,,
11,1998,1998-11-29,12,24.015,TEN,@,SEA,L 18-20,,,,,,
12,1998,1998-12-13,14,24.029,TEN,@,JAX,W 16-13,,,,,,
13,1998,1998-12-20,15,24.036,TEN,@,GNB,L 22-30,,,,,,
14,1998,1998-12-26,16,24.042,TEN,,MIN,L 16-26,,,,,,
15,1999,1999-09-12,1,24.302,TEN,,CIN,W 36-35,,,,,,
16,1999,1999-09-19,2,24.309,TEN,,CLE,W 26-9,,,,,,
17,1999,1999-09-26,3,24.316,TEN,@,JAX,W 20-19,,,,,,
18,1999,1999-10-03,4,24.323,TEN,@,SFO,L 22-24,,,,,,
19,1999,1999-10-10,5,24.330,TEN,,BAL,W 14-11,,,,,,
20,1999,1999-10-17,6,24.337,TEN,@,NOR,W 24-21,*,,,,,
21,1999,1999-10-31,7,24.351,TEN,,STL,W 24-21,,,,,,
22,1999,1999-11-07,8,24.358,TEN,@,MIA,L 0-17,,,,,,
23,1999,1999-11-14,9,25.000,TEN,@,CIN,W 24-14,,,,,,
24,1999,1999-11-21,10,25.007,TEN,,PIT,W 16-10,,,,,,
25,1999,1999-11-28,11,25.014,TEN,@,CLE,W 33-21,,,,,,
26,1999,1999-12-05,12,25.021,TEN,@,BAL,L 14-41,,,,,,
27,1999,1999-12-09,13,25.025,TEN,,OAK,W 21-14,,,,,,
28,1999,1999-12-19,14,25.035,TEN,,ATL,W 30-17,,,,,,
29,1999,1999-12-26,15,25.042,TEN,,JAX,W 41-14,,,,,,
30,1999,2000-01-02,16,25.049,TEN,@,PIT,W 47-36,,,,,,
31,2000,2000-09-03,1,25.294,TEN,@,BUF,L 13-16,,,,,,
32,2000,2000-09-10,2,25.301,TEN,,KAN,W 17-14,,,,,,
33,2000,2000-09-24,3,25.315,TEN,@,PIT,W 23-20,,,,,,
34,2000,2000-10-01,4,25.322,TEN,,NYG,W 28-14,,,,,,
35,2000,2000-10-08,5,25.329,TEN,@,CIN,W 23-14,,,,,,
36,2000,2000-10-16,6,25.337,TEN,,JAX,W 27-13,,,,,,
37,2000,2000-10-22,7,25.343,TEN,@,BAL,W 14-6,,,,,,
38,2000,2000-10-30,8,25.351,TEN,@,WAS,W 27-21,,,,,,
39,2000,2000-11-05,9,25.357,TEN,,PIT,W 9-7,,,,,,
40,2000,2000-11-12,10,25.364,TEN,,BAL,L 23-24,,1,6,1,87,1
41,2000,2000-11-19,11,26.005,TEN,,CLE,W 24-10,,,,,,
42,2000,2000-11-26,12,26.012,TEN,@,JAX,L 13-16,,,,,,
43,2000,2000-12-03,13,26.019,TEN,@,PHI,W 15-13,,,,,,
44,2000,2000-12-10,14,26.026,TEN,,CIN,W 35-3,,,,,,
45,2000,2000-12-17,15,26.033,TEN,@,CLE,W 24-0,,,,,,
46,2000,2000-12-25,16,26.041,TEN,,DAL,W 31-0,,,,,,
47,2001,2001-09-09,1,26.299,CAR,@,MIN,W 24-13,,,,,,
48,2001,2001-09-23,2,26.313,CAR,@,ATL,L 16-24,,,,,,
49,2001,2001-10-21,5,26.341,TEN,@,DET,W 27-24,,,,,,
50,2001,2001-10-29,6,26.349,TEN,@,PIT,L 7-34,*,,,,,
51,2001,2001-11-04,7,26.355,TEN,,JAX,W 28-24,*,,,,,
52,2001,2001-11-12,8,26.363,TEN,,BAL,L 10-16,*,,,,,
53,2001,2001-11-18,9,27.004,TEN,@,CIN,W 20-7,*,,,,,
54,2001,2001-11-25,10,27.011,TEN,,PIT,L 24-34,*,,,,,
55,2001,2001-12-02,11,27.018,TEN,@,CLE,W 31-15,*,,,,,
56,2001,2001-12-09,12,27.025,TEN,@,MIN,L 24-42,*,,,,,
57,2001,2001-12-16,13,27.032,TEN,,GNB,W 26-20,*,,,,,
58,2001,2001-12-22,14,27.038,TEN,@,OAK,W 13-10,*,,,,,
59,2001,2001-12-30,15,27.046,TEN,,CLE,L 38-41,*,,,,,
60,2001,2002-01-06,16,27.053,TEN,,CIN,L 21-23,*,,,,,
