ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.244,TEN,@,PIT,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,6,132,22.00,0,0,0,0.0,,
2,2005,2005-09-18,2,22.251,TEN,,BAL,W 25-10,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,2,81,40.50,0,0,0,0.0,,
3,2005,2005-10-16,6,22.279,TEN,,CIN,L 23-31,,1,1,2,2.00,0,100.0%,2.00,2,16,8.00,0,6,117,19.50,0,0,0,0.0,,
4,2005,2005-10-23,7,22.286,TEN,@,ARI,L 10-20,,3,1,31,31.00,0,33.3%,10.33,0,0,,0,2,57,28.50,0,0,0,0.0,,
5,2005,2005-10-30,8,22.293,TEN,,OAK,L 25-34,*,12,7,83,11.86,1,58.3%,6.92,0,0,,0,2,45,22.50,0,1,6,0.0,,
6,2005,2005-11-06,9,22.300,TEN,@,CLE,L 14-20,*,6,1,29,29.00,0,16.7%,4.83,0,0,,0,0,0,,0,0,0,0.0,,
7,2005,2005-11-20,10,22.314,TEN,,JAX,L 28-31,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,,
8,2005,2005-11-27,11,22.321,TEN,,SFO,W 33-22,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-12-04,12,22.328,TEN,@,IND,L 3-35,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
10,2005,2005-12-11,13,22.335,TEN,,HOU,W 13-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
11,2005,2005-12-18,14,22.342,TEN,,SEA,L 24-28,*,4,3,54,18.00,0,75.0%,13.50,0,0,,0,0,0,,0,0,0,0.0,,
12,2005,2005-12-24,15,22.348,TEN,@,MIA,L 10-24,*,7,3,30,10.00,0,42.9%,4.29,0,0,,0,1,13,13.00,0,0,0,0.0,,
13,2005,2006-01-01,16,22.356,TEN,@,JAX,L 13-40,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,3,50,16.67,0,0,0,0.0,,
14,2006,2006-10-08,5,23.271,TEN,@,IND,L 13-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
15,2006,2006-10-15,6,23.278,TEN,@,WAS,W 25-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
16,2006,2006-10-29,7,23.292,TEN,,HOU,W 28-22,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,,
17,2006,2006-11-05,8,23.299,TEN,@,JAX,L 7-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
18,2006,2006-11-12,9,23.306,TEN,,BAL,L 26-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
19,2006,2006-11-19,10,23.313,TEN,@,PHI,W 31-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
20,2006,2006-11-26,11,23.320,TEN,,NYG,W 24-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
21,2006,2006-12-03,12,23.327,TEN,,IND,W 20-17,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,,
22,2006,2006-12-10,13,23.334,TEN,@,HOU,W 26-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
23,2006,2006-12-17,14,23.341,TEN,,JAX,W 24-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
24,2006,2006-12-24,15,23.348,TEN,@,BUF,W 30-29,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,,
25,2006,2006-12-31,16,23.355,TEN,,NWE,L 23-40,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
26,2008,2008-09-07,1,25.241,IND,,CHI,L 13-29,,0,0,0,,0,0.0%,,0,0,,0,5,101,20.20,0,0,0,0.0,0,0
27,2008,2008-11-09,9,25.304,NOR,@,ATL,L 20-34,,0,0,0,,0,0.0%,,0,0,,0,5,127,25.40,0,0,0,0.0,0,0
28,2008,2008-11-16,10,25.311,NOR,@,KAN,W 30-20,,0,0,0,,0,0.0%,,0,0,,0,4,112,28.00,0,0,0,0.0,0,0
29,2008,2008-11-24,11,25.319,NOR,,GNB,W 51-29,,0,0,0,,0,0.0%,,0,0,,0,3,103,34.33,0,0,0,0.0,0,0
30,2008,2008-11-30,12,25.325,NOR,@,TAM,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,4,71,17.75,0,0,0,0.0,0,0
31,2008,2008-12-07,13,25.332,NOR,,ATL,W 29-25,,0,0,0,,0,0.0%,,0,0,,0,3,59,19.67,0,0,0,0.0,0,0
32,2009,2009-09-20,2,26.253,NOR,@,PHI,W 48-22,,0,0,0,,0,0.0%,,0,0,,0,3,72,24.00,0,0,0,0.0,0,0
