ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,22.330,IND,@,BAL,W 24-7,,,,,,,,,,,,,
2,2005,2005-09-18,2,22.337,IND,,JAX,W 10-3,,,,,,,,,,,,,
3,2005,2005-09-25,3,22.344,IND,,CLE,W 13-6,,,,,,,,,,,,,
4,2005,2005-10-02,4,22.351,IND,@,TEN,W 31-10,,,,,,,,,,,,,
5,2005,2005-10-09,5,22.358,IND,@,SFO,W 28-3,,,,,,,,,,,,,
6,2005,2005-10-17,6,23.001,IND,,STL,W 45-28,,,,,,,,,,,,,
7,2005,2005-10-23,7,23.007,IND,@,HOU,W 38-20,,,,,,,,,,,,,
8,2005,2005-11-13,9,23.028,IND,,HOU,W 31-17,,,,,,,,,,,,,
9,2005,2005-11-20,10,23.035,IND,@,CIN,W 45-37,,,,,,,,,,,,,
10,2005,2005-11-28,11,23.043,IND,,PIT,W 26-7,,,,,,,,,,,,,
11,2005,2005-12-04,12,23.049,IND,,TEN,W 35-3,,,,,,,,,,,,,
12,2005,2005-12-11,13,23.056,IND,@,JAX,W 26-18,,,,,,,,,,,,,
13,2005,2005-12-18,14,23.063,IND,,SDG,L 17-26,,,,,,,,,,,,,
14,2005,2005-12-24,15,23.069,IND,@,SEA,L 13-28,,,,,,,,,,,,,
15,2005,2006-01-01,16,23.077,IND,,ARI,W 17-13,,,,,,,,,,,,,
16,2006,2006-09-10,1,23.329,IND,@,NYG,W 26-21,,,,,,,,,,,,,
17,2006,2006-09-17,2,23.336,IND,,HOU,W 43-24,,,,,,,,,,,,,
18,2006,2006-09-24,3,23.343,IND,,JAX,W 21-14,,,,,,,,,,,,,
19,2006,2006-10-01,4,23.350,IND,@,NYJ,W 31-28,,,,,,,,,,,,,
20,2006,2006-10-08,5,23.357,IND,,TEN,W 14-13,,,,,,,,,,,,,
21,2006,2006-10-22,6,24.006,IND,,WAS,W 36-22,,,,,,,,,,,,,
22,2006,2006-10-29,7,24.013,IND,@,DEN,W 34-31,,,,,,,,,,,,,
23,2006,2006-12-03,12,24.048,IND,@,TEN,L 17-20,,,,,,,,,,,,,
24,2006,2006-12-10,13,24.055,IND,@,JAX,L 17-44,,0,0,,0,0,0,0.0,,,1,0,0
25,2006,2006-12-18,14,24.063,IND,,CIN,W 34-16,*,,,,,,,,,,,,
26,2006,2006-12-24,15,24.069,IND,@,HOU,L 24-27,,,,,,,,,,,,,
27,2006,2006-12-31,16,24.076,IND,,MIA,W 27-22,,,,,,,,,,,,,
28,2007,2007-09-06,1,24.325,IND,,NOR,W 41-10,,0,0,,0,1,6,0.0,,,1,83,1
29,2007,2007-09-16,2,24.335,IND,@,TEN,W 22-20,,,,,,,,,,,,,
30,2007,2007-09-23,3,24.342,IND,@,HOU,W 30-24,,,,,,,,,,,,,
31,2007,2007-09-30,4,24.349,IND,,DEN,W 38-20,,,,,,,,,,,,,
32,2007,2007-10-07,5,24.356,IND,,TAM,W 33-14,*,,,,,,,,,,,,
33,2007,2007-10-22,6,25.006,IND,@,JAX,W 29-7,,,,,,,,,,,,,
34,2007,2007-11-04,8,25.019,IND,,NWE,L 20-24,,,,,,,,,,,,,
35,2007,2007-12-02,12,25.047,IND,,JAX,W 28-25,,,,,,,,,,,,,
36,2007,2007-12-09,13,25.054,IND,@,BAL,W 44-20,,,,,,,,,,,,,
37,2007,2007-12-16,14,25.061,IND,@,OAK,W 21-14,*,,,,,,,,,,,,
38,2007,2007-12-23,15,25.068,IND,,HOU,W 38-15,*,0,0,,0,0,0,0.0,,,1,6,0
39,2007,2007-12-30,16,25.075,IND,,TEN,L 10-16,*,,,,,,,,,,,,
40,2008,2008-09-07,1,25.327,IND,,CHI,L 13-29,,,,,,,,,,,,,
41,2008,2008-09-14,2,25.334,IND,@,MIN,W 18-15,,0,0,,0,0,0,0.0,0,1,0,0,0
42,2008,2008-09-21,3,25.341,IND,,JAX,L 21-23,,0,0,,0,0,0,0.0,3,0,0,0,0
43,2008,2008-10-05,4,25.355,IND,@,HOU,W 31-27,,,,,,,,,,,,,
44,2008,2008-10-12,5,25.362,IND,,BAL,W 31-3,,0,0,,0,0,0,0.0,0,0,0,0,0
45,2008,2008-10-19,6,26.003,IND,@,GNB,L 14-34,,0,0,,0,0,0,0.0,0,0,0,0,0
