ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1978,1978-09-03,1,22.060,GNB,@,DET,W 13-7,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1978,1978-09-10,2,22.067,GNB,,NOR,W 28-17,,3,107,35.67,3,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18
3,1978,1978-09-17,3,22.074,GNB,,OAK,L 3-28,,4,56,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
4,1978,1978-09-24,4,22.081,GNB,@,SDG,W 24-3,,3,52,17.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1978,1978-10-01,5,22.088,GNB,,DET,W 35-14,,2,14,7.00,0,,,1,15,15.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
6,1978,1978-10-08,6,22.095,GNB,,CHI,W 24-14,,2,65,32.50,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
7,1978,1978-10-15,7,22.102,GNB,,SEA,W 45-28,,5,98,19.60,1,,,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,1,6
8,1978,1978-10-22,8,22.109,GNB,@,MIN,L 7-21,,4,38,9.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1978,1978-10-29,9,22.116,GNB,,TAM,W 9-7,,3,41,13.67,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
10,1978,1978-11-05,10,22.123,GNB,@,PHI,L 3-10,,2,27,13.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1978,1978-11-12,11,22.130,GNB,,DAL,L 14-42,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1978,1978-11-19,12,22.137,GNB,@,DEN,L 3-16,,3,47,15.67,0,,,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1978,1978-11-26,13,22.144,GNB,,MIN,T 10-10,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1978,1978-12-03,14,22.151,GNB,@,TAM,W 17-7,,3,39,13.00,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
15,1978,1978-12-10,15,22.158,GNB,@,CHI,L 0-14,,4,96,24.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
16,1978,1978-12-17,16,22.165,GNB,@,RAM,L 14-31,,5,92,18.40,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1979,1979-09-02,1,23.059,GNB,@,CHI,L 3-6,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1979,1979-09-09,2,23.066,GNB,,NOR,W 28-19,,2,64,32.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1979,1979-09-16,3,23.073,GNB,,TAM,L 10-21,,7,78,11.14,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
20,1979,1979-09-23,4,23.080,GNB,@,MIN,L 21-27,,2,37,18.50,1,,,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
21,1979,1979-10-01,5,23.088,GNB,,NWE,W 27-14,,3,67,22.33,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
22,1979,1979-10-07,6,23.094,GNB,@,ATL,L 7-25,,3,44,14.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1979,1979-10-14,7,23.101,GNB,,DET,W 24-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1979,1979-10-21,8,23.108,GNB,@,TAM,L 3-21,,4,80,20.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
25,1979,1979-10-28,9,23.115,GNB,@,MIA,L 7-27,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1979,1979-11-04,10,23.122,GNB,,NYJ,L 22-27,,6,114,19.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
27,1979,1979-11-11,11,23.129,GNB,,MIN,W 19-7,,5,99,19.80,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
28,1979,1979-11-18,12,23.136,GNB,@,BUF,L 12-19,,4,112,28.00,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
29,1979,1979-11-25,13,23.143,GNB,,PHI,L 10-21,,5,68,13.60,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
30,1979,1979-12-02,14,23.150,GNB,@,WAS,L 21-38,,2,36,18.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1979,1979-12-09,15,23.157,GNB,,CHI,L 14-15,,6,112,18.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1979,1979-12-15,16,23.163,GNB,@,DET,W 18-13,,3,48,16.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1980,1980-09-07,1,24.064,GNB,,CHI,W 12-6,,5,77,15.40,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
34,1980,1980-09-14,2,24.071,GNB,,DET,L 7-29,,4,73,18.25,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
35,1980,1980-09-21,3,24.078,GNB,@,RAM,L 21-51,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1980,1980-09-28,4,24.085,GNB,,DAL,L 7-28,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1980,1980-10-05,5,24.092,GNB,,CIN,W 14-9,,8,114,14.25,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
38,1980,1980-10-12,6,24.099,GNB,@,TAM,T 14-14,,2,31,15.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
39,1980,1980-10-19,7,24.106,GNB,@,CLE,L 21-26,,8,136,17.00,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
40,1980,1980-10-26,8,24.113,GNB,,MIN,W 16-3,,2,33,16.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
41,1980,1980-11-02,9,24.120,GNB,@,PIT,L 20-22,,4,83,20.75,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
42,1980,1980-11-09,10,24.127,GNB,,SFO,W 23-16,,8,146,18.25,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
43,1980,1980-11-16,11,24.134,GNB,@,NYG,L 21-27,,8,175,21.88,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
44,1980,1980-11-23,12,24.141,GNB,@,MIN,W 25-13,,5,93,18.60,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
45,1980,1980-11-30,13,24.148,GNB,,TAM,L 17-20,,2,22,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
46,1980,1980-12-07,14,24.155,GNB,@,CHI,L 7-61,,6,111,18.50,1,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
47,1980,1980-12-14,15,24.162,GNB,,HOU,L 3-22,,1,27,27.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
48,1980,1980-12-21,16,24.169,GNB,@,DET,L 3-24,,3,51,17.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
49,1981,1981-09-06,1,25.063,GNB,@,CHI,W 16-9,,5,84,16.80,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
50,1981,1981-09-13,2,25.070,GNB,,ATL,L 17-31,,8,179,22.38,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
51,1981,1981-09-20,3,25.077,GNB,@,RAM,L 23-35,,5,73,14.60,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
52,1981,1981-09-27,4,25.084,GNB,,MIN,L 13-30,,8,101,12.63,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
53,1981,1981-10-04,5,25.091,GNB,@,NYG,W 27-14,,5,75,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
54,1981,1981-10-11,6,25.098,GNB,,TAM,L 10-21,,4,86,21.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
55,1981,1981-10-18,7,25.105,GNB,,SFO,L 3-13,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
56,1981,1981-10-25,8,25.112,GNB,@,DET,L 27-31,,2,98,49.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
