ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,24.098,BAL,@,TAM,W 27-0,,,,,,
2,2006,2006-09-17,2,24.105,BAL,,OAK,W 28-6,,0,0,1,54,0
3,2006,2006-09-24,3,24.112,BAL,@,CLE,W 15-14,,,,,,
4,2006,2006-10-01,4,24.119,BAL,,SDG,W 16-13,,,,,,
5,2006,2006-10-09,5,24.127,BAL,@,DEN,L 3-13,,,,,,
6,2006,2006-10-15,6,24.133,BAL,,CAR,L 21-23,,,,,,
7,2006,2006-10-29,7,24.147,BAL,@,NOR,W 35-22,,1,6,1,12,1
8,2006,2006-11-05,8,24.154,BAL,,CIN,W 26-20,,,,,,
9,2006,2006-11-12,9,24.161,BAL,@,TEN,W 27-26,,,,,,
10,2006,2006-11-19,10,24.168,BAL,,ATL,W 24-10,,,,,,
11,2006,2006-11-26,11,24.175,BAL,,PIT,W 27-0,,,,,,
12,2006,2006-11-30,12,24.179,BAL,@,CIN,L 7-13,,,,,,
13,2006,2006-12-17,14,24.196,BAL,,CLE,W 27-17,,,,,,
14,2006,2006-12-24,15,24.203,BAL,@,PIT,W 31-7,,,,,,
15,2006,2006-12-31,16,24.210,BAL,,BUF,W 19-7,,,,,,
16,2007,2007-09-16,2,25.104,BAL,,NYJ,W 20-13,,,,,,
17,2007,2007-09-23,3,25.111,BAL,,ARI,W 26-23,,,,,,
18,2007,2007-09-30,4,25.118,BAL,@,CLE,L 13-27,,,,,,
19,2007,2007-10-07,5,25.125,BAL,@,SFO,W 9-7,,,,,,
20,2007,2007-10-14,6,25.132,BAL,,STL,W 22-3,,,,,,
21,2007,2007-10-21,7,25.139,BAL,@,BUF,L 14-19,,,,,,
22,2007,2007-11-05,8,25.154,BAL,@,PIT,L 7-38,,,,,,
23,2007,2007-11-11,9,25.160,BAL,,CIN,L 7-21,,,,,,
24,2007,2007-11-18,10,25.167,BAL,,CLE,L 30-33,,,,,,
25,2007,2007-11-25,11,25.174,BAL,@,SDG,L 14-32,,,,,,
26,2007,2007-12-03,12,25.182,BAL,,NWE,L 24-27,,,,,,
27,2007,2007-12-09,13,25.188,BAL,,IND,L 20-44,,,,,,
28,2007,2007-12-16,14,25.195,BAL,@,MIA,L 16-22,,,,,,
29,2007,2007-12-23,15,25.202,BAL,@,SEA,L 6-27,,,,,,
30,2007,2007-12-30,16,25.209,BAL,,PIT,W 27-21,,,,,,
