ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1970,1970-09-20,1,23.168,BOS,,MIA,W 27-14,1,2,2.00,0,0,0,,0,0,0
2,1970,1970-09-27,2,23.175,BOS,,NYJ,L 21-31,,,,,,,,,,
3,1970,1970-10-04,3,23.182,BOS,,BAL,L 6-14,,,,,,,,,,
4,1970,1970-10-11,4,23.189,BOS,@,KAN,L 10-23,4,11,2.75,0,0,0,,0,0,0
5,1970,1970-10-18,5,23.196,BOS,,NYG,L 0-16,,,,,,,,,,
6,1971,1971-11-28,11,24.237,SDG,@,CIN,L 0-31,,,,,,,,,,
7,1971,1971-12-05,12,24.244,SDG,,MIN,W 30-14,,,,,,,,,,
8,1971,1971-12-12,13,24.251,SDG,,DEN,W 45-17,2,15,7.50,0,0,0,,0,0,0
9,1971,1971-12-19,14,24.258,SDG,@,HOU,L 33-49,,,,,,,,,,
10,1972,1972-11-05,8,25.214,ATL,@,RAM,L 7-20,1,6,6.00,0,0,0,,0,0,0
11,1972,1972-11-12,9,25.221,ATL,,NOR,W 36-20,6,29,4.83,0,1,14,14.00,0,0,0
12,1972,1972-11-20,10,25.229,ATL,@,WAS,L 13-24,1,-1,-1.00,0,0,0,,0,0,0
13,1972,1972-11-26,11,25.235,ATL,,DEN,W 23-20,,,,,,,,,,
14,1972,1972-12-03,12,25.242,ATL,,HOU,W 20-10,,,,,,,,,,
15,1972,1972-12-10,13,25.249,ATL,@,SFO,L 0-20,,,,,,,,,,
16,1972,1972-12-17,14,25.256,ATL,,KAN,L 14-17,,,,,,,,,,
17,1973,1973-09-16,1,26.164,ATL,@,NOR,W 62-7,5,25,5.00,1,2,17,8.50,1,2,12
18,1973,1973-09-23,2,26.171,ATL,@,RAM,L 0-31,,,,,,,,,,
19,1973,1973-10-01,3,26.179,ATL,@,DET,L 6-31,,,,,,,,,,
20,1973,1973-10-07,4,26.185,ATL,,SFO,L 9-13,,,,,,,,,,
21,1973,1973-10-14,5,26.192,ATL,,CHI,W 46-6,1,13,13.00,0,1,13,13.00,0,0,0
22,1973,1973-10-21,6,26.199,ATL,@,SDG,W 41-0,5,29,5.80,2,1,13,13.00,0,2,12
23,1973,1973-10-28,7,26.206,ATL,@,SFO,W 17-3,3,9,3.00,0,0,0,,0,0,0
24,1973,1973-11-04,8,26.213,ATL,,RAM,W 15-13,7,22,3.14,0,4,44,11.00,0,0,0
25,1973,1973-11-11,9,26.220,ATL,@,PHI,W 44-27,12,71,5.92,2,2,0,0.00,0,2,12
26,1973,1973-11-19,10,26.228,ATL,,MIN,W 20-14,12,61,5.08,0,1,39,39.00,1,1,6
27,1973,1973-11-25,11,26.234,ATL,@,NYJ,W 28-20,19,76,4.00,2,1,6,6.00,0,2,12
28,1973,1973-12-02,12,26.241,ATL,,BUF,L 6-17,13,61,4.69,0,3,28,9.33,0,0,0
29,1973,1973-12-09,13,26.248,ATL,,STL,L 10-32,7,22,3.14,0,3,25,8.33,0,0,0
30,1973,1973-12-16,14,26.255,ATL,,NOR,W 14-10,12,45,3.75,2,1,7,7.00,0,2,12
31,1974,1974-09-15,1,27.163,ATL,,DAL,L 0-24,12,36,3.00,0,2,10,5.00,0,0,0
32,1974,1974-09-22,2,27.170,ATL,,SFO,L 10-16,17,58,3.41,0,3,3,1.00,0,0,0
33,1974,1974-10-06,4,27.184,ATL,@,NYG,W 14-7,1,3,3.00,0,0,0,,0,0,0
34,1974,1974-10-13,5,27.191,ATL,,CHI,W 13-10,11,31,2.82,0,1,3,3.00,0,0,0
35,1974,1974-10-20,6,27.198,ATL,,NOR,L 3-13,0,0,,0,2,8,4.00,0,0,0
36,1974,1974-10-28,7,27.206,ATL,@,PIT,L 17-24,,,,,,,,,,
37,1974,1974-11-10,9,27.219,ATL,@,RAM,L 0-21,3,11,3.67,0,1,10,10.00,0,0,0
38,1974,1974-11-17,10,27.226,ATL,,BAL,L 7-17,1,0,0.00,0,1,9,9.00,0,0,0
39,1974,1974-12-01,12,27.240,ATL,,RAM,L 7-30,,,,,,,,,,
40,1974,1974-12-07,13,27.246,ATL,@,MIN,L 10-23,,,,,,,,,,
41,1974,1974-12-15,14,27.254,ATL,,GNB,W 10-3,1,0,0.00,0,0,0,,0,0,0
42,1976,1976-10-24,7,29.202,BUF,,NWE,L 22-26,6,15,2.50,0,2,11,5.50,0,0,0
43,1976,1976-10-31,8,29.209,BUF,,NYJ,L 14-19,4,11,2.75,0,0,0,,0,0,0
44,1976,1976-11-07,9,29.216,BUF,@,NWE,L 10-20,13,32,2.46,0,1,15,15.00,0,0,0
45,1976,1976-11-21,11,29.230,BUF,,SDG,L 13-34,,,,,,,,,,
46,1976,1976-11-25,12,29.234,BUF,@,DET,L 14-27,,,,,,,,,,
47,1976,1976-12-05,13,29.244,BUF,@,MIA,L 27-45,1,-2,-2.00,0,0,0,,0,0,0
48,1976,1976-12-12,14,29.251,BUF,@,BAL,L 20-58,,,,,,,,,,
