ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-19,1,23.333,NOR,,RAM,W 24-20,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
2,1971,1971-09-26,2,23.340,NOR,,SFO,L 20-38,0,0,,0,2,3,66.7,,2,0.0,0,2,0,0,,0
3,1971,1971-12-19,14,24.059,NYG,,PHI,L 28-41,,,,,,,,,,,,,,,,
4,1972,1972-09-24,2,24.339,HOU,@,MIA,L 13-34,0,0,,0,1,2,50.0,,,,0,1,,,,
5,1972,1972-10-01,3,24.346,HOU,,NYJ,W 26-20,0,0,,0,2,2,100.0,4,4,100.0,0,14,2,81,40.50,0
6,1972,1972-10-09,4,24.354,HOU,,OAK,L 0-34,0,0,,0,,,,,2,0.0,0,0,0,0,,0
7,1972,1972-10-15,5,24.360,HOU,@,PIT,L 7-24,0,0,,0,1,1,100.0,,,,0,1,,,,
8,1972,1972-10-22,6,25.001,HOU,,CLE,L 17-23,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
9,1972,1972-10-29,7,25.008,HOU,@,CIN,L 7-30,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
10,1972,1972-11-05,8,25.015,HOU,@,CLE,L 0-20,,,,,,,,,,,,,,,,
11,1972,1972-11-12,9,25.022,HOU,,PHI,L 17-18,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
12,1972,1972-11-19,10,25.029,HOU,,GNB,L 10-23,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
13,1972,1972-11-26,11,25.036,HOU,@,SDG,L 20-34,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
14,1972,1972-12-03,12,25.043,HOU,@,ATL,L 10-20,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
15,1972,1972-12-10,13,25.050,HOU,,PIT,L 3-9,0,0,,0,,,,1,3,33.3,0,3,1,24,24.00,0
16,1972,1972-12-17,14,25.057,HOU,,CIN,L 17-61,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
17,1973,1973-09-16,1,25.330,HOU,@,NYG,L 14-34,0,0,,0,2,2,100.0,,,,0,2,,,,
18,1973,1973-09-23,2,25.337,HOU,@,CIN,L 10-24,0,0,,0,1,1,100.0,1,3,33.3,0,4,2,81,40.50,0
19,1973,1973-09-30,3,25.344,HOU,,PIT,L 7-36,0,0,,0,1,1,100.0,,,,0,1,,,,
20,1973,1973-10-07,4,25.351,HOU,,RAM,L 26-31,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
21,1973,1973-10-14,5,25.358,HOU,,DEN,L 20-48,0,0,,0,2,2,100.0,2,2,100.0,0,8,1,41,41.00,0
22,1973,1973-10-21,6,26.000,HOU,@,CLE,L 13-42,0,0,,0,1,1,100.0,2,2,100.0,0,7,9,285,31.67,0
