ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-11,2,23.022,NWE,@,NYJ,L 19-20,,1,,,,,0.0%,,,,,
2,2000,2000-09-17,3,23.028,NWE,,MIN,L 13-21,,0,0,0,,0,0.0%,,1,32,32.00,0
3,2000,2000-09-24,4,23.035,NWE,@,MIA,L 3-10,,0,0,0,,0,0.0%,,1,13,13.00,0
4,2000,2000-10-08,6,23.049,NWE,,IND,W 24-16,,,,,,,0.0%,,,,,
5,2000,2000-10-22,8,23.063,NWE,@,IND,L 23-30,,2,,,,,0.0%,,,,,
6,2000,2000-11-05,9,23.077,NWE,,BUF,L 13-16,,1,,,,,0.0%,,,,,
7,2000,2000-11-12,10,23.084,NWE,@,CLE,L 11-19,,,,,,,0.0%,,,,,
8,2000,2000-11-19,11,23.091,NWE,,CIN,W 16-13,,1,,,,,0.0%,,,,,
9,2000,2000-11-23,12,23.095,NWE,@,DET,L 9-34,*,6,2,12,6.00,0,33.3%,2.00,0,0,,0
10,2000,2000-12-04,13,23.106,NWE,,KAN,W 30-24,,,,,,,0.0%,,,,,
11,2000,2000-12-17,15,23.119,NWE,@,BUF,W 13-10,,0,,,,,0.0%,,,,,
12,2000,2000-12-24,16,23.126,NWE,,MIA,L 24-27,,,,,,,0.0%,,,,,
