ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-23,2,22.063,BAL,@,MIN,W 34-7,0,0,,0,0,0,,0,2,39,19.50,0,1,20,20.00,0,0,0,0,0,,0
2,1962,1962-09-30,3,22.070,BAL,,DET,L 20-29,0,0,,0,0,0,,0,3,90,30.00,0,1,43,43.00,0,0,0,0,0,,0
3,1962,1962-10-07,4,22.077,BAL,,SFO,L 13-21,0,0,,0,1,17,17.00,0,1,23,23.00,0,0,0,,0,0,0,0,0,,0
4,1962,1962-10-14,5,22.084,BAL,@,CLE,W 36-14,0,0,,0,0,0,,0,1,27,27.00,0,1,3,3.00,0,0,0,0,0,,0
5,1962,1962-10-21,6,22.091,BAL,@,CHI,L 15-35,0,37,,0,0,0,,0,3,70,23.33,0,1,3,3.00,0,0,0,0,0,,0
6,1962,1962-10-28,7,22.098,BAL,,GNB,L 6-17,0,0,,0,0,0,,0,1,23,23.00,0,2,15,7.50,0,0,0,0,0,,0
7,1962,1962-11-11,9,22.112,BAL,@,RAM,W 14-2,0,0,,0,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,,0
8,1962,1962-11-18,10,22.119,BAL,@,GNB,L 13-17,0,0,,0,0,0,,0,2,48,24.00,0,0,0,,0,0,0,0,0,,0
9,1962,1962-11-25,11,22.126,BAL,,CHI,L 0-57,0,0,,0,0,0,,0,5,119,23.80,0,1,2,2.00,0,0,0,0,0,,0
10,1962,1962-12-02,12,22.133,BAL,@,DET,L 14-21,0,0,,0,0,0,,0,0,27,,0,1,4,4.00,0,0,0,0,0,,0
11,1962,1962-12-08,13,22.139,BAL,,WAS,W 34-21,0,0,,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,,0
12,1962,1962-12-16,14,22.147,BAL,,MIN,W 42-17,1,74,74.00,1,0,0,,0,2,38,19.00,0,0,0,,0,1,6,0,0,,0
13,1963,1963-09-08,1,23.048,NYJ,@,BOS,L 14-38,10,103,10.30,1,0,0,,0,2,45,22.50,0,0,0,,0,1,6,0,0,,0
14,1963,1963-09-22,2,23.062,NYJ,,HOU,W 24-17,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
15,1963,1963-09-28,3,23.068,NYJ,,OAK,W 10-7,2,60,30.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
16,1963,1963-10-05,4,23.075,NYJ,,BOS,W 31-24,7,94,13.43,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
17,1963,1963-10-13,5,23.083,NYJ,@,SDG,L 20-24,3,68,22.67,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
18,1963,1963-10-20,6,23.090,NYJ,@,OAK,L 26-49,4,63,15.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
19,1963,1963-10-26,7,23.096,NYJ,,DEN,T 35-35,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
20,1963,1963-11-02,8,23.103,NYJ,,SDG,L 7-53,5,70,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
21,1963,1963-11-10,9,23.111,NYJ,@,HOU,L 27-31,8,210,26.25,1,0,0,,0,1,13,13.00,0,0,0,,0,1,6,0,0,,0
22,1963,1963-11-17,10,23.118,NYJ,@,DEN,W 14-9,8,85,10.63,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
23,1963,1963-12-01,11,23.132,NYJ,,KAN,W 17-0,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
24,1963,1963-12-08,12,23.139,NYJ,@,BUF,L 14-45,5,71,14.20,0,0,0,,0,5,133,26.60,0,0,0,,0,0,0,0,0,,0
25,1963,1963-12-14,13,23.145,NYJ,,BUF,L 10-19,5,48,9.60,0,0,0,,0,3,49,16.33,0,0,0,,0,0,0,0,0,,0
26,1963,1963-12-22,14,23.153,NYJ,@,KAN,L 0-48,4,52,13.00,0,0,0,,0,3,59,19.67,0,0,0,,0,0,0,0,0,,0
27,1964,1964-09-27,2,24.067,NYJ,@,BOS,L 10-26,10,87,8.70,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
28,1964,1964-10-03,3,24.073,NYJ,,SDG,T 17-17,2,34,17.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
29,1964,1964-10-10,4,24.080,NYJ,,OAK,W 35-13,2,72,36.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
30,1964,1964-10-17,5,24.087,NYJ,,HOU,W 24-21,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
31,1964,1964-10-24,6,24.094,NYJ,@,BUF,L 24-34,5,74,14.80,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
32,1964,1964-10-31,7,24.101,NYJ,,BOS,W 35-14,11,143,13.00,2,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,,0
33,1964,1964-11-08,8,24.109,NYJ,,BUF,L 7-20,5,165,33.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
34,1964,1964-11-15,9,24.116,NYJ,@,DEN,L 16-20,4,109,27.25,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
35,1964,1964-11-22,10,24.123,NYJ,@,OAK,L 26-35,3,52,17.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
36,1964,1964-11-29,11,24.130,NYJ,,KAN,W 27-14,3,35,11.67,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
37,1964,1964-12-06,12,24.137,NYJ,@,SDG,L 3-38,4,26,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
38,1964,1964-12-13,13,24.144,NYJ,@,HOU,L 17-33,5,120,24.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
39,1964,1964-12-20,14,24.151,NYJ,@,KAN,L 7-24,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
40,1965,1965-09-18,2,25.058,NYJ,,KAN,L 10-14,5,41,8.20,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
