ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,21.302,WAS,,HOU,L 27-29,,,,,,,,,,,,,,,,,,,,,
2,1979,1979-09-09,2,21.309,WAS,@,DET,W 27-24,,,,,,,,,,,,,,,,,,,,,
3,1979,1979-09-17,3,21.317,WAS,,NYG,W 27-0,,,,,,,,,,,,,,,,,,,,,
4,1979,1979-09-23,4,21.323,WAS,@,STL,W 17-7,,,,,,,,,,,,,,,,,,,,,
5,1979,1979-09-30,5,21.330,WAS,@,ATL,W 16-7,,,,,,,,,,,,,,,,,,,,,
6,1979,1979-10-07,6,21.337,WAS,@,PHI,L 17-28,,,,,,,,,,,,,,,,,,,,,
7,1979,1979-10-14,7,21.344,WAS,@,CLE,W 13-9,,,,,,,,,,,,,,,,,,,,,
8,1979,1979-10-21,8,21.351,WAS,,PHI,W 17-7,,,,,,,,,,,,,,,,,,,,,
9,1979,1979-10-28,9,21.358,WAS,,NOR,L 10-14,,,,,,,,,,,,,,,,,,,,,
10,1979,1979-11-04,10,22.000,WAS,@,PIT,L 7-38,,,,,,,,,,,,,,,,,,,,,
11,1979,1979-11-11,11,22.007,WAS,,STL,W 30-28,,,,,,,,,,,,,,,,,,,,,
12,1979,1979-11-18,12,22.014,WAS,,DAL,W 34-20,,,,,,,,,,,,,,,,,,,,,
13,1979,1979-11-25,13,22.021,WAS,@,NYG,L 6-14,,,,,,,,,,,,,,,,,,,,,
14,1979,1979-12-02,14,22.028,WAS,,GNB,W 38-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,13,0
15,1979,1979-12-09,15,22.035,WAS,,CIN,W 28-14,,,,,,,,,,,,,,,,,,,,,
16,1979,1979-12-16,16,22.042,WAS,@,DAL,L 34-35,,,,,,,,,,,,,,,,,,,,,
17,1980,1980-09-08,1,22.309,WAS,,DAL,L 3-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,17,0
18,1980,1980-09-14,2,22.315,WAS,@,NYG,W 23-21,,,,,,,,,,,,,,,,,,,,,
19,1980,1980-09-21,3,22.322,WAS,@,OAK,L 21-24,,,,,,,,,,,,,,,,,,,,,
20,1980,1980-09-28,4,22.329,WAS,,SEA,L 0-14,,,,,,,,,,,,,,,,,,,,,
21,1980,1980-10-05,5,22.336,WAS,@,PHI,L 14-24,,,,,,,,,,,,,,,,,,,,,
22,1980,1980-10-13,6,22.344,WAS,@,DEN,L 17-20,,,,,,,,,,,,,,,,,,,,,
23,1980,1980-10-19,7,22.350,WAS,,STL,W 23-0,,,,,,,,,,,,,,,,,,,,,
24,1980,1980-10-26,8,22.357,WAS,,NOR,W 22-14,0,0,,0,,1,12,12.00,0,,,0,0,,0,0,0,0.0,0,0,0
25,1980,1980-11-02,9,22.364,WAS,,MIN,L 14-39,,,,,,,,,,,,,,,,,,,,,
26,1980,1980-11-09,10,23.005,WAS,@,CHI,L 21-35,,,,,,,,,,,,,,,,,,,,,
27,1980,1980-11-16,11,23.012,WAS,,PHI,L 0-24,,,,,,,,,,,,,,,,,,,,,
28,1980,1980-11-23,12,23.019,WAS,@,DAL,L 10-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,34,0
29,1980,1980-11-30,13,23.026,WAS,@,ATL,L 6-10,,,,,,,,,,,,,,,,,,,,,
