ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
30,1980,1980-12-07,14,23.033,WAS,,SDG,W 40-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,41,0
31,1980,1980-12-13,15,23.039,WAS,,NYG,W 16-13,,,,,,,,,,,,,,,,,,,,,
32,1980,1980-12-21,16,23.047,WAS,@,STL,W 31-7,,,,,,,,,,,,,,,,,,,,,
33,1981,1981-09-06,1,23.306,WAS,,DAL,L 10-26,,,,,,,,,,,,,,,,,,,,,
34,1981,1981-09-13,2,23.313,WAS,,NYG,L 7-17,,,,,,,,,,,,,,,,,,,,,
35,1981,1981-10-18,7,23.348,WAS,@,MIA,L 10-13,,,,,,,,,,,,,,,,,,,,,
36,1981,1981-10-25,8,23.355,WAS,,NWE,W 24-22,,,,,,,,,,,,,,,,,,,,,
37,1981,1981-11-01,9,23.362,WAS,,STL,W 42-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,0,0
38,1981,1981-11-08,10,24.004,WAS,,DET,W 33-31,,,,,,,,,,,,,,,,,,,,,
39,1981,1981-11-15,11,24.011,WAS,@,NYG,W 30-27,,,,,,,,,,,,,,,,,,,,,
40,1981,1981-11-22,12,24.018,WAS,@,DAL,L 10-24,,,,,,,,,,,,,,,,,,,,,
41,1981,1981-11-29,13,24.025,WAS,@,BUF,L 14-21,,,,,,,,,,,,,,,,,,,,,
42,1981,1981-12-06,14,24.032,WAS,,PHI,W 15-13,0,0,,0,,0,0,,0,,,0,0,,0,1,6,0.0,1,52,1
43,1981,1981-12-13,15,24.039,WAS,,BAL,W 38-14,,,,,,,,,,,,,,,,,,,,,
44,1981,1981-12-20,16,24.046,WAS,@,RAM,W 30-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,0,0
45,1982,1982-09-12,1,24.312,WAS,@,PHI,W 37-34,,,,,,,,,,,,,,,,,,,,,
46,1982,1982-09-19,2,24.319,WAS,@,TAM,W 21-13,,,,,,,,,,,,,,,,,,,,,
47,1982,1982-11-21,3,25.017,WAS,@,NYG,W 27-17,,,,,,,,,,,,,,,,,,,,,
48,1982,1982-12-05,5,25.031,WAS,,DAL,L 10-24,,,,,,,,,,,,,,,,,,,,,
49,1982,1982-12-12,6,25.038,WAS,@,STL,W 12-7,,,,,,,,,,,,,,,,,,,,,
50,1982,1982-12-19,7,25.045,WAS,,NYG,W 15-14,,,,,,,,,,,,,,,,,,,,,
51,1982,1982-12-26,8,25.052,WAS,@,NOR,W 27-10,,,,,,,,,,,,,,,,,,,,,
52,1982,1983-01-02,9,25.059,WAS,,STL,W 28-0,,,,,,,,,,,,,,,,,,,,,
53,1983,1983-10-17,7,25.347,WAS,@,GNB,L 47-48,,,,,,,,,,,,,,,,,,,,,
54,1983,1983-10-23,8,25.353,WAS,,DET,W 38-17,,,,,,,,,,,,,,,,,,,,,
55,1983,1983-10-31,9,25.361,WAS,@,SDG,W 27-24,,,,,,,,,,,,,,,,,,,,,
56,1983,1983-11-06,10,26.002,WAS,,STL,W 45-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
57,1983,1983-11-13,11,26.009,WAS,@,NYG,W 33-17,,,,,,,,,,,,,,,,,,,,,
58,1983,1983-11-20,12,26.016,WAS,@,RAM,W 42-20,,,,,,,,,,,,,,,,,,,,,
59,1983,1983-11-27,13,26.023,WAS,,PHI,W 28-24,,,,,,,,,,,,,,,,,,,,,
60,1983,1983-12-04,14,26.030,WAS,,ATL,W 37-21,,,,,,,,,,,,,,,,,,,,,
61,1983,1983-12-11,15,26.037,WAS,@,DAL,W 31-10,,,,,,,,,,,,,,,,,,,,,
62,1983,1983-12-17,16,26.043,WAS,,NYG,W 31-22,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
63,1984,1984-09-02,1,26.303,WAS,,MIA,L 17-35,,,,,,,,,,,,0,0,,0,,,,,,
64,1984,1984-09-10,2,26.311,WAS,@,SFO,L 31-37,,,,,,,,,,,,0,0,,0,,,,,,
65,1984,1984-09-16,3,26.317,WAS,,NYG,W 30-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,2.0,0,0,0
66,1984,1984-09-23,4,26.324,WAS,@,NWE,W 26-10,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
67,1984,1984-09-30,5,26.331,WAS,,PHI,W 20-0,,,,,,,,,,,,0,0,,0,,,,,,
68,1984,1984-10-07,6,26.338,WAS,@,IND,W 35-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,2.0,0,0,0
69,1984,1984-10-14,7,26.345,WAS,,DAL,W 34-14,0,0,,0,,0,0,,0,,,0,0,,0,1,6,1.0,1,49,1
70,1984,1984-10-21,8,26.352,WAS,@,STL,L 24-26,,,,,,,,,,,,0,0,,0,,,,,,
71,1984,1984-10-28,9,26.359,WAS,@,NYG,L 13-37,0,0,,0,,0,0,,0,,,0,0,,0,0,0,2.5,0,0,0
72,1984,1984-11-05,10,27.001,WAS,,ATL,W 27-14,,,,,,,,,,,,0,0,,0,,,,,,
73,1984,1984-11-11,11,27.007,WAS,,DET,W 28-14,,,,,,,,,,,,0,27,,0,,,,,,
74,1984,1984-11-18,12,27.014,WAS,@,PHI,L 10-16,,,,,,,,,,,,0,0,,0,,,,,,
75,1984,1984-11-25,13,27.021,WAS,,BUF,W 41-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
76,1984,1984-11-29,14,27.025,WAS,@,MIN,W 31-17,,,,,,,,,,,,0,0,,0,,,,,,
77,1984,1984-12-09,15,27.035,WAS,@,DAL,W 30-28,,,,,,,,,,,,0,0,,0,,,,,,
78,1984,1984-12-16,16,27.042,WAS,,STL,W 29-27,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
79,1985,1985-09-09,1,27.309,WAS,@,DAL,L 14-44,,,,,,,,,,,,,,,,,,,,,
80,1985,1985-09-15,2,27.315,WAS,,HOU,W 16-13,,,,,,,,,,,,,,,,,,,,,
81,1985,1985-09-22,3,27.322,WAS,,PHI,L 6-19,,,,,,,,,,,,,,,,,,,,,
82,1985,1985-11-10,10,28.006,WAS,,DAL,L 7-13,,,,,,,,,,,,,,,,,,,,,
83,1985,1985-11-18,11,28.014,WAS,,NYG,W 23-21,,,,,,,,,,,,,,,,,,,,,
84,1985,1985-11-24,12,28.020,WAS,@,PIT,W 30-23,,,,,,,,,,,,,,,,,,,,,
85,1985,1985-12-01,13,28.027,WAS,,SFO,L 8-35,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
86,1985,1985-12-08,14,28.034,WAS,@,PHI,W 17-12,,,,,,,,,,,,,,,,,,,,,
87,1985,1985-12-15,15,28.041,WAS,,CIN,W 27-24,,,,,,,,,,,,,,,,,,,,,
88,1985,1985-12-21,16,28.047,WAS,@,STL,W 27-16,,,,,,,,,,,,,,,,,,,,,
89,1986,1986-09-07,1,28.307,WAS,,PHI,W 41-14,,,,,,,,,,,,,,,,,,,,,
90,1986,1986-09-14,2,28.314,WAS,,RAI,W 10-6,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
91,1986,1986-09-21,3,28.321,WAS,@,SDG,W 30-27,,,,,,,,,,,,,,,,,,,,,
92,1986,1986-10-05,5,28.335,WAS,@,NOR,W 14-6,,,,,,,,,,,,,,,,,,,,,
93,1986,1986-11-09,10,29.005,WAS,@,GNB,W 16-7,,,,,,,,,,,,,,,,,,,,,
94,1986,1986-11-17,11,29.013,WAS,,SFO,W 14-6,,,,,,,,,,,,,,,,,,,,,
95,1986,1986-11-23,12,29.019,WAS,,DAL,W 41-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
96,1986,1986-11-30,13,29.026,WAS,@,STL,W 20-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
97,1986,1986-12-07,14,29.033,WAS,,NYG,L 14-24,,,,,,,,,,,,,,,,,,,,,
98,1986,1986-12-13,15,29.039,WAS,@,DEN,L 30-31,,,,,,,,,,,,,,,,,,,,,
99,1986,1986-12-21,16,29.047,WAS,@,PHI,W 21-14,,,,,,,,,,,,,,,,,,,,,
100,1987,1987-09-13,1,29.313,WAS,,PHI,W 34-24,,,,,,,,,,,,,,,,,,,,,
101,1987,1987-09-20,2,29.320,WAS,@,ATL,L 20-21,,,,,,,,,,,,,,,,,,,,,
102,1987,1987-10-25,6,29.355,WAS,,NYJ,W 17-16,0,0,,0,,0,0,,0,,,0,0,,0,0,0,2.0,0,0,0
103,1987,1987-11-01,7,29.362,WAS,@,BUF,W 27-7,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,28,0
104,1987,1987-11-08,8,30.004,WAS,@,PHI,L 27-31,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,25,0
105,1987,1987-11-15,9,30.011,WAS,,DET,W 20-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
106,1987,1987-11-23,10,30.019,WAS,,RAM,L 26-30,,,,,,,,,,,,,,,,,,,,,
107,1987,1987-11-29,11,30.025,WAS,,NYG,W 23-19,,,,,,,,,,,,,,,,,,,,,
108,1987,1987-12-06,12,30.032,WAS,@,STL,W 34-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
109,1987,1987-12-13,13,30.039,WAS,,DAL,W 24-20,,,,,,,,,,,,,,,,,,,,,
110,1987,1987-12-20,14,30.046,WAS,@,MIA,L 21-23,,,,,,,,,,,,,,,,,,,,,
111,1987,1987-12-26,15,30.052,WAS,@,MIN,W 27-24,,,,,,,,,,,,,,,,,,,,,
112,1988,1988-09-05,1,30.306,WAS,@,NYG,L 20-27,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
113,1988,1988-09-11,2,30.312,WAS,,PIT,W 30-29,,,,,,,,,,,,,,,,,,,,,
114,1988,1988-09-18,3,30.319,WAS,,PHI,W 17-10,,,,,,,,,,,,,,,,,,,,,
115,1988,1988-09-25,4,30.326,WAS,@,PHO,L 21-30,,,,,,,,,,,,,,,,,,,,,
116,1988,1988-10-02,5,30.333,WAS,,NYG,L 23-24,,,,,,,,,,,,,,,,,,,,,
117,1988,1988-10-09,6,30.340,WAS,@,DAL,W 35-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,11,0
118,1988,1988-10-16,7,30.347,WAS,,PHO,W 33-17,,,,,,,,,,,,,,,,,,,,,
119,1988,1988-10-23,8,30.354,WAS,@,GNB,W 20-17,,,,,,,,,,,,,,,,,,,,,
120,1988,1988-10-30,9,30.361,WAS,@,HOU,L 17-41,,,,,,,,,,,,,,,,,,,,,
121,1988,1988-11-06,10,31.002,WAS,,NOR,W 27-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
122,1988,1988-11-13,11,31.009,WAS,,CHI,L 14-34,,,,,,,,,,,,,,,,,,,,,
123,1988,1988-12-11,15,31.037,WAS,,DAL,L 17-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
124,1988,1988-12-17,16,31.043,WAS,@,CIN,L 17-20,,,,,,,,,,,,,,,,,,,,,
125,1989,1989-09-11,1,31.311,WAS,,NYG,L 24-27,0,0,,0,,0,0,,0,,,0,0,,0,1,6,1.0,1,24,1
126,1989,1989-09-17,2,31.317,WAS,,PHI,L 37-42,0,0,,0,,,,,,,,,,,,,,,,,
127,1989,1989-09-24,3,31.324,WAS,@,DAL,W 30-7,0,0,,0,,,,,,,,,,,,,,,,,
128,1989,1989-10-01,4,31.331,WAS,@,NOR,W 16-14,0,0,,0,,,,,,,,,,,,,,,,,
129,1989,1989-10-08,5,31.338,WAS,,PHO,W 30-28,0,0,,0,,,,,,,,,,,,,,,,,
130,1989,1989-10-15,6,31.345,WAS,@,NYG,L 17-20,0,0,,0,,,,,,,,,,,,,,,,,
131,1989,1989-10-22,7,31.352,WAS,,TAM,W 32-28,0,0,,0,,,,,,,,,,,,,,,,,
132,1989,1989-11-05,9,32.001,WAS,,DAL,L 3-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.5,0,0,0
133,1989,1989-11-12,10,32.008,WAS,@,PHI,W 10-3,0,0,,0,,,,,,,,,,,,,,,,,
134,1989,1989-11-20,11,32.016,WAS,,DEN,L 10-14,1,-1,-1.00,0,,0,0,,0,,,0,0,,0,0,0,0.0,0,0,0
135,1989,1989-11-26,12,32.022,WAS,,CHI,W 38-14,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,1,0,0
136,1989,1989-12-03,13,32.029,WAS,@,PHO,W 29-10,0,0,,0,,,,,,,,,,,,,,,,,
137,1989,1989-12-10,14,32.036,WAS,,SDG,W 26-21,0,0,,0,,,,,,,,,,,,,,,,,
138,1989,1989-12-17,15,32.043,WAS,@,ATL,W 31-30,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.5,0,0,0
139,1989,1989-12-23,16,32.049,WAS,@,SEA,W 29-0,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
140,1990,1990-09-09,1,32.309,WAS,,PHO,W 31-0,,,,,,,,,,,,,,,,,,,,,
141,1990,1990-09-16,2,32.316,WAS,@,SFO,L 13-26,,,,,,,,,,,,,,,,,,,,,
142,1990,1990-09-30,4,32.330,WAS,@,PHO,W 38-10,,,,,,,,,,,,,,,,,,,,,
143,1990,1990-10-14,5,32.344,WAS,,NYG,L 20-24,,,,,,,,,,,,,,,,,,,,,
144,1990,1990-10-21,6,32.351,WAS,,PHI,W 13-7,,,,,,,,,,,,,,,,,,,,,
145,1990,1990-10-28,7,32.358,WAS,@,NYG,L 10-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
146,1990,1990-11-04,8,33.000,WAS,@,DET,W 41-38,,,,,,,,,,,,,,,,,,,,,
147,1990,1990-11-12,9,33.008,WAS,@,PHI,L 14-28,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
148,1990,1990-11-18,10,33.014,WAS,,NOR,W 31-17,,,,,,,,,,,,,,,,,,,,,
149,1990,1990-11-22,11,33.018,WAS,@,DAL,L 17-27,,,,,,,,,,,,,,,,,,,,,
150,1990,1990-12-02,12,33.028,WAS,,MIA,W 42-20,,,,,,,,,,,,,,,,,,,,,
151,1990,1990-12-09,13,33.035,WAS,,CHI,W 10-9,,,,,,,,,,,,,,,,,,,,,
152,1990,1990-12-15,14,33.041,WAS,@,NWE,W 25-10,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,0,0
153,1990,1990-12-22,15,33.048,WAS,@,IND,L 28-35,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
154,1990,1990-12-30,16,33.056,WAS,,BUF,W 29-14,,,,,,,,,,,,,,,,,,,,,
155,1991,1991-09-01,1,33.301,WAS,,DET,W 45-0,,,,,,,,,,,,,,,,,,,,,
156,1991,1991-09-09,2,33.309,WAS,@,DAL,W 33-31,,,,,,,,,,,,,,,,,,,,,
157,1991,1991-09-15,3,33.315,WAS,,PHO,W 34-0,,,,,,,,,,,,,,,,,,,,,
158,1991,1991-09-22,4,33.322,WAS,@,CIN,W 34-27,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
159,1991,1991-09-30,5,33.330,WAS,,PHI,W 23-0,,,,,,,,,,,,,,,,,,,,,
160,1991,1991-10-06,6,33.336,WAS,@,CHI,W 20-7,,,,,,,,,,,,,,,,,,,,,
161,1991,1991-10-13,7,33.343,WAS,,CLE,W 42-17,,,,,,,,,,,,,,,,,,,,,
162,1991,1991-10-27,8,33.357,WAS,@,NYG,W 17-13,,,,,,,,,,,,,,,,,,,,,
163,1991,1991-11-03,9,33.364,WAS,,HOU,W 16-13,,,,,,,,,,,,,,,,,,,,,
164,1991,1991-11-10,10,34.006,WAS,,ATL,W 56-17,,,,,,,,,,,,,,,,,,,,,
165,1991,1991-11-17,11,34.013,WAS,@,PIT,W 41-14,,,,,,,,,,,,,,,,,,,,,
166,1991,1991-11-24,12,34.020,WAS,,DAL,L 21-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
167,1991,1991-12-01,13,34.027,WAS,@,RAM,W 27-6,0,0,,0,,0,0,,0,,,0,0,,0,0,0,1.5,0,0,0
168,1991,1991-12-08,14,34.034,WAS,@,PHO,W 20-14,,,,,,,,,,,,,,,,,,,,,
169,1991,1991-12-15,15,34.041,WAS,,NYG,W 34-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,0.0,1,0,0
170,1991,1991-12-22,16,34.048,WAS,@,PHI,L 22-24,,,,,,,,,,,,,,,,,,,,,
171,1992,1992-09-07,1,34.308,WAS,@,DAL,L 10-23,,,,,,,,,,0.0%,,,,,,,,,,,
172,1992,1992-09-13,2,34.314,WAS,,ATL,W 24-17,,,,,,,,,,0.0%,,,,,,,,,,,
173,1992,1992-09-20,3,34.321,WAS,,DET,W 13-10,,,,,,,,,,0.0%,,,,,,,,,,,
174,1992,1992-10-04,4,34.335,WAS,@,PHO,L 24-27,,,,,,,,,,0.0%,,,,,,,,,,,
175,1992,1992-10-12,5,34.343,WAS,,DEN,W 34-3,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
176,1992,1992-10-18,6,34.349,WAS,,PHI,W 16-12,,,,,,,,,,0.0%,,,,,,,,,,,
177,1992,1992-10-25,7,34.356,WAS,@,MIN,W 15-13,,,,,,,,,,0.0%,,,,,,,,,,,
178,1992,1992-11-01,8,34.363,WAS,,NYG,L 7-24,,,,,,,,,,0.0%,,,,,,,,,,,
179,1992,1992-11-15,10,35.011,WAS,@,KAN,L 16-35,,,,,,,,,,0.0%,,,,,,,,,,,
180,1992,1992-11-23,11,35.019,WAS,@,NOR,L 3-20,,,,,,,,,,0.0%,,,,,,,,,,,
181,1992,1992-11-29,12,35.025,WAS,,PHO,W 41-3,,,,,,,,,,0.0%,,,,,,,,,,,
182,1992,1992-12-06,13,35.032,WAS,@,NYG,W 28-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
183,1992,1992-12-13,14,35.039,WAS,,DAL,W 20-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
184,1992,1992-12-20,15,35.046,WAS,@,PHI,L 13-17,,,,,,,,,,0.0%,,,,,,,,,,,
185,1992,1992-12-26,16,35.052,WAS,,RAI,L 20-21,,,,,,,,,,0.0%,,,,,,,,,,,
186,1993,1993-09-06,1,35.306,WAS,,DAL,W 35-16,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
187,1993,1993-09-12,2,35.312,WAS,,PHO,L 10-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
188,1993,1993-09-19,3,35.319,WAS,@,PHI,L 31-34,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
189,1993,1993-10-04,4,35.334,WAS,@,MIA,L 10-17,,,,,,,,,,0.0%,,,,,,,,,,,
190,1993,1993-10-10,5,35.340,WAS,,NYG,L 7-41,,,,,,,,,,0.0%,,,,,,,,,,,
191,1993,1993-10-17,6,35.347,WAS,@,PHO,L 6-36,,,,,,,,,,0.0%,,,,,,,,,,,
192,1993,1993-11-01,7,35.362,WAS,@,BUF,L 10-24,,,,,,,,,,0.0%,,,,,,,,,,,
193,1993,1993-11-07,8,36.003,WAS,,IND,W 30-24,,,,,,,,,,0.0%,,,,,,,,,,,
194,1993,1993-11-14,9,36.010,WAS,@,NYG,L 6-20,,,,,,,,,,0.0%,,,,,,,,,,,
195,1993,1993-12-05,12,36.031,WAS,@,TAM,W 23-17,,,,,,,,,,0.0%,,,,,,,,,,,
196,1993,1993-12-11,13,36.037,WAS,,NYJ,L 0-3,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
197,1993,1993-12-19,14,36.045,WAS,,ATL,W 30-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,1,13,0
198,1993,1993-12-26,15,36.052,WAS,@,DAL,L 3-38,,,,,,,,,,0.0%,,,,,,,,,,,
199,1993,1993-12-31,16,36.057,WAS,,MIN,L 9-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,14,0
200,1994,1994-09-04,1,36.304,WAS,,SEA,L 7-28,,,,,,,,,,0.0%,,,,,,,,,,,
201,1994,1994-09-11,2,36.311,WAS,@,NOR,W 38-24,,,,,,,,,,0.0%,,,,,,,,,,,
202,1994,1994-09-18,3,36.318,WAS,@,NYG,L 23-31,,,,,,,,,,0.0%,,,,,,,,,,,
203,1994,1994-09-25,4,36.325,WAS,,ATL,L 20-27,,,,,,,,,,0.0%,,,,,,,,,,,
204,1994,1994-10-02,5,36.332,WAS,,DAL,L 7-34,,,,,,,,,,0.0%,,,,,,,,,,,
205,1994,1994-10-09,6,36.339,WAS,@,PHI,L 17-21,,,,,,,,,,0.0%,,,,,,,,,,,
206,1994,1994-10-16,7,36.346,WAS,,ARI,L 16-19,,,,,,,,,,0.0%,,,,,,,,,,,
207,1994,1994-10-23,8,36.353,WAS,@,IND,W 41-27,,,,,,,,,,0.0%,,,,,,,,,,,
208,1994,1994-10-30,9,36.360,WAS,,PHI,L 29-31,,,,,,,,,,0.0%,,,,,,,,,,,
209,1994,1994-11-06,10,37.002,WAS,,SFO,L 22-37,,,,,,,,,,0.0%,,,,,,,,,,,
210,1994,1994-11-20,11,37.016,WAS,@,DAL,L 7-31,,,,,,,,,,0.0%,,,,,,,,,,,
211,1994,1994-11-27,12,37.023,WAS,,NYG,L 19-21,,,,,,,,,,0.0%,,,,,,,,,,,
212,1994,1994-12-04,13,37.030,WAS,@,TAM,L 21-26,,,,,,,,,,0.0%,,,,,,,,,,,
213,1994,1994-12-11,14,37.037,WAS,@,ARI,L 15-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,0,0
214,1994,1994-12-18,15,37.044,WAS,,TAM,L 14-17,,,,,,,,,,0.0%,,,,,,,,,,,
215,1994,1994-12-24,16,37.050,WAS,@,RAM,W 24-21,,,,,,,,,,0.0%,,,,,,,,,,,
