ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.264,DEN,,PIT,W 31-19,,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2012,2012-09-17,2,23.272,DEN,@,ATL,L 21-27,,2,47,23.50,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-09-23,3,23.278,DEN,,HOU,L 25-31,,3,66,22.00,0,0,0,,0,0,0,0.0,0,0
4,2012,2012-09-30,4,23.285,DEN,,OAK,W 37-6,,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-10-07,5,23.292,DEN,@,NWE,L 21-31,,3,61,20.33,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-10-15,6,23.300,DEN,@,SDG,W 35-24,,4,68,17.00,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-10-28,7,23.313,DEN,,NOR,W 34-14,,1,12,12.00,0,0,0,,0,0,0,0.0,0,0
8,2012,2012-11-04,8,23.320,DEN,@,CIN,W 31-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2012,2012-11-11,9,23.327,DEN,@,CAR,W 36-14,,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2012,2012-11-18,10,23.334,DEN,,SDG,W 30-23,,,,,,,,,,,,,,
11,2012,2012-11-25,11,23.341,DEN,@,KAN,W 17-9,,,,,,,,,,,,,,
12,2012,2012-12-02,12,23.348,DEN,,TAM,W 31-23,,,,,,,,,,,,,,
13,2012,2012-12-06,13,23.352,DEN,@,OAK,W 26-13,,,,,,,,,,,,,,
14,2012,2012-12-16,14,23.362,DEN,@,BAL,W 34-17,,0,0,,0,0,0,,0,0,0,0.0,1,0
15,2012,2012-12-23,15,24.003,DEN,,CLE,W 34-12,,0,0,,0,0,0,,0,0,0,0.0,3,0
16,2012,2012-12-30,16,24.010,DEN,,KAN,W 38-3,,,,,,,,,,,,,,
17,2013,2013-09-05,1,24.259,DEN,,BAL,W 49-27,,,,,,,,,,,,,,
18,2013,2013-09-15,2,24.269,DEN,@,NYG,W 41-23,,,,,,,,,,,,,,
19,2013,2013-09-23,3,24.277,DEN,,OAK,W 37-21,,,,,,,,,,,,,,
20,2013,2013-09-29,4,24.283,DEN,,PHI,W 52-20,,,,,,,,,,,,,,
21,2013,2013-10-06,5,24.290,DEN,@,DAL,W 51-48,,0,0,,0,0,0,,0,0,0,0.0,2,0
22,2013,2013-10-13,6,24.297,DEN,,JAX,W 35-19,,,,,,,,,,,,,,
23,2013,2013-10-20,7,24.304,DEN,@,IND,L 33-39,,,,,,,,,,,,,,
24,2013,2013-10-27,8,24.311,DEN,,WAS,W 45-21,,,,,,,,,,,,,,
25,2013,2013-11-10,9,24.325,DEN,@,SDG,W 28-20,,,,,,,,,,,,,,
26,2013,2013-11-17,10,24.332,DEN,,KAN,W 27-17,,0,0,,0,0,0,,0,0,0,0.0,1,0
27,2013,2013-11-24,11,24.339,DEN,@,NWE,L 31-34,,,,,,,,,,,,,,
28,2013,2013-12-01,12,24.346,DEN,@,KAN,W 35-28,,0,0,,0,0,0,,0,0,0,0.0,1,0
