ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2014,2014-10-26,8,22.257,JAX,,MIA,L 13-27,,,,,,,,
2,2014,2014-11-02,9,22.264,JAX,@,CIN,L 23-33,,0,0,,0,0.5,0,1
3,2014,2014-11-09,10,22.271,JAX,,DAL,L 17-31,,,,,,,,
4,2014,2014-11-23,11,22.285,JAX,@,IND,L 3-23,,0,0,,0,1.0,1,0
5,2014,2014-12-07,13,22.299,JAX,,HOU,L 13-27,,0,0,,0,0.5,0,1
6,2014,2014-12-14,14,22.306,JAX,@,BAL,L 12-20,,,,,,,,
7,2014,2014-12-18,15,22.310,JAX,,TEN,W 21-13,,0,0,,0,1.0,2,0
8,2015,2015-09-13,1,23.214,JAX,,CAR,L 9-20,,0,0,,0,0.0,4,0
9,2015,2015-09-20,2,23.221,JAX,,MIA,W 23-20,,0,0,,0,0.0,1,1
10,2015,2015-09-27,3,23.228,JAX,@,NWE,L 17-51,,0,0,,0,0.5,0,1
11,2015,2015-11-29,11,23.291,JAX,,SDG,L 25-31,,0,0,,0,0.0,1,0
12,2015,2015-12-13,13,23.305,JAX,,IND,W 51-16,,0,0,,0,0.0,2,0
13,2015,2015-12-20,14,23.312,JAX,,ATL,L 17-23,,0,0,,0,0.0,0,0
14,2016,2016-10-02,4,24.234,JAX,,IND,W 30-27,,0,0,,0,1.0,2,0
15,2016,2016-10-27,7,24.259,JAX,@,TEN,L 22-36,,0,0,,0,0.0,2,0
16,2016,2016-11-06,8,24.269,JAX,@,KAN,L 14-19,,0,0,,0,0.0,0,0
17,2016,2016-12-04,12,24.297,JAX,,DEN,L 10-20,,1,0,0.00,0,0.0,0,0
18,2016,2016-12-11,13,24.304,JAX,,MIN,L 16-25,,0,0,,0,0.0,0,0
19,2016,2016-12-24,15,24.317,JAX,,TEN,W 38-17,,0,0,,0,0.0,0,0
20,2017,2017-09-10,1,25.211,CIN,,BAL,L 0-20,,0,0,,0,0.0,1,0
21,2017,2017-09-14,2,25.215,CIN,,HOU,L 9-13,,0,0,,0,1.0,3,3
22,2017,2017-09-24,3,25.225,CIN,@,GNB,L 24-27,,0,0,,0,0.5,2,1
23,2017,2017-10-01,4,25.232,CIN,@,CLE,W 31-7,,0,0,,0,0.0,1,0
24,2017,2017-10-08,5,25.239,CIN,,BUF,W 20-16,,0,0,,0,0.0,0,0
25,2017,2017-10-22,6,25.253,CIN,@,PIT,L 14-29,,0,0,,0,0.0,0,0
26,2017,2017-10-29,7,25.260,CIN,,IND,W 24-23,,0,0,,0,0.0,2,1
27,2017,2017-11-05,8,25.267,CIN,@,JAX,L 7-23,,0,0,,0,0.0,2,0
28,2017,2017-11-12,9,25.274,CIN,@,TEN,L 20-24,,0,0,,0,1.0,2,0
29,2017,2017-11-19,10,25.281,CIN,@,DEN,W 20-17,,0,0,,0,0.0,1,0
30,2017,2017-11-26,11,25.288,CIN,,CLE,W 30-16,,0,0,,0,0.5,1,2
31,2017,2017-12-04,12,25.296,CIN,,PIT,L 20-23,,0,0,,0,0.0,1,0
32,2017,2017-12-10,13,25.302,CIN,,CHI,L 7-33,,0,0,,0,0.0,0,0
33,2017,2017-12-17,14,25.309,CIN,@,MIN,L 7-34,,0,0,,0,0.0,1,1
34,2017,2017-12-24,15,25.316,CIN,,DET,W 26-17,,0,0,,0,0.0,0,1
35,2017,2017-12-31,16,25.323,CIN,@,BAL,W 31-27,,0,0,,0,0.0,0,0
36,2018,2018-09-09,1,26.210,CLE,,PIT,T 21-21,,0,0,,0,0.0,1,2
37,2018,2018-09-16,2,26.217,CLE,@,NOR,L 18-21,*,0,0,,0,0.0,2,2
38,2018,2018-09-20,3,26.221,CLE,,NYJ,W 21-17,*,0,0,,0,0.0,3,0
