ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1984,1984-09-02,1,21.129,SFO,@,DET,W 30-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
2,1984,1984-09-10,2,21.137,SFO,,WAS,W 37-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,47,23.50,0,0,0
3,1984,1984-09-16,3,21.143,SFO,,NOR,W 30-20,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,,,,1,24,24.00,0,0,0
4,1984,1984-09-23,4,21.150,SFO,@,PHI,W 21-9,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,,,,2,67,33.50,0,0,0
5,1984,1984-09-30,5,21.157,SFO,,ATL,W 14-5,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
6,1984,1984-10-08,6,21.165,SFO,@,NYG,W 31-10,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
7,1984,1984-10-14,7,21.171,SFO,,PIT,L 17-20,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,85,28.33,0,0,0
8,1984,1984-10-21,8,21.178,SFO,@,HOU,W 34-21,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,25,25.00,0,0,0
9,1984,1984-10-28,9,21.185,SFO,@,RAM,W 33-0,5,25,5.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,13,13.00,0,0,0
10,1984,1984-11-04,10,21.192,SFO,,CIN,W 23-17,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
11,1984,1984-11-11,11,21.199,SFO,@,CLE,W 41-7,5,29,5.80,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
12,1984,1984-11-18,12,21.206,SFO,,TAM,W 24-17,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,35,35.00,0,0,0
13,1984,1984-11-25,13,21.213,SFO,@,NOR,W 35-3,5,26,5.20,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
14,1984,1984-12-02,14,21.220,SFO,@,ATL,W 35-17,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0
15,1984,1984-12-08,15,21.226,SFO,,MIN,W 51-7,11,56,5.09,1,1,2,2.00,0,0,0,,0,0,0,,0,,,,1,43,43.00,0,1,6
16,1984,1984-12-14,16,21.232,SFO,,RAM,W 19-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,
17,1985,1985-09-08,1,22.135,SFO,@,MIN,L 21-28,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,,,,5,123,24.60,0,0,0
18,1985,1985-09-15,2,22.142,SFO,,ATL,W 35-16,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,,,,2,28,14.00,0,0,0
19,1985,1985-09-22,3,22.149,SFO,@,RAI,W 34-10,0,0,,0,1,15,15.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
20,1985,1985-09-29,4,22.156,SFO,,NOR,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,38,19.00,0,0,0
21,1985,1985-10-06,5,22.163,SFO,@,ATL,W 38-17,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
22,1985,1985-10-13,6,22.170,SFO,,CHI,L 10-26,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0,,,,2,50,25.00,0,0,0
23,1985,1985-10-27,8,22.184,SFO,@,RAM,W 28-14,1,4,4.00,0,2,46,23.00,0,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0
24,1985,1985-11-03,9,22.191,SFO,,PHI,W 24-13,1,1,1.00,0,1,6,6.00,0,0,0,,0,0,0,,0,,,,3,71,23.67,0,0,0
25,1985,1985-11-11,10,22.199,SFO,@,DEN,L 16-17,7,21,3.00,0,3,12,4.00,0,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0
26,1985,1985-11-17,11,22.205,SFO,,KAN,W 31-3,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,,0,,,,2,51,25.50,0,0,0
27,1985,1985-11-25,12,22.213,SFO,,SEA,W 19-6,1,3,3.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
28,1985,1985-12-01,13,22.219,SFO,@,WAS,W 35-8,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,,,,1,16,16.00,0,0,0
29,1985,1985-12-09,14,22.227,SFO,,RAM,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,2,32,16.00,0,0,0
30,1985,1985-12-15,15,22.233,SFO,@,NOR,W 31-19,8,40,5.00,0,3,31,10.33,0,0,0,,0,0,0,,0,,,,2,40,20.00,0,0,0
31,1985,1985-12-22,16,22.240,SFO,,DAL,W 31-16,6,24,4.00,0,2,5,2.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
32,1986,1986-09-07,1,23.134,SFO,@,TAM,W 31-7,1,4,4.00,0,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1986,1986-09-14,2,23.141,SFO,@,RAM,L 13-16,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,,,,,0,2,,0,0,0
34,1986,1986-09-21,3,23.148,SFO,,NOR,W 26-17,13,43,3.31,1,3,25,8.33,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
35,1986,1986-09-28,4,23.155,SFO,@,MIA,W 31-16,7,21,3.00,0,1,11,11.00,0,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0
36,1986,1986-10-05,5,23.162,SFO,,IND,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,1,27,27.00,0,0,0
37,1986,1986-11-09,10,23.197,SFO,,STL,W 43-17,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0
38,1986,1986-11-17,11,23.205,SFO,@,WAS,L 6-14,0,0,,0,0,0,,0,,,,,,,,,,,,0,0,,0,0,
39,1986,1986-11-23,12,23.211,SFO,,ATL,W 20-0,3,10,3.33,0,3,36,12.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
