ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.017,CHI,,DAL,L 17-20,,,,,,,
2,1973,1973-09-23,2,22.024,CHI,,MIN,L 13-22,,,,,,,
3,1973,1973-09-30,3,22.031,CHI,@,DEN,W 33-14,,,,,,,
4,1973,1973-10-07,4,22.038,CHI,@,NOR,L 16-21,,,,,,,
5,1973,1973-10-14,5,22.045,CHI,@,ATL,L 6-46,,,,,,,
6,1973,1973-10-21,6,22.052,CHI,,NWE,L 10-13,,,,,,,
7,1973,1973-10-28,7,22.059,CHI,,HOU,W 35-14,,,,,,,
8,1973,1973-11-04,8,22.066,CHI,@,GNB,W 31-17,,,,,,,
9,1973,1973-11-12,9,22.074,CHI,@,KAN,L 7-19,,,,,,,
10,1973,1973-11-18,10,22.080,CHI,,DET,L 7-30,,,,,,,
11,1973,1973-11-25,11,22.087,CHI,@,MIN,L 13-31,,,,,,,
12,1973,1973-12-02,12,22.094,CHI,,RAM,L 0-26,,,,,,,
13,1973,1973-12-09,13,22.101,CHI,@,DET,L 7-40,,,,,,,
14,1973,1973-12-16,14,22.108,CHI,,GNB,L 0-21,,,,,,,
15,1974,1974-09-15,1,23.016,CHI,,DET,W 17-9,,,,,,,
16,1974,1974-09-22,2,23.023,CHI,,NYJ,L 21-23,,,,,,,
17,1974,1974-09-29,3,23.030,CHI,@,MIN,L 7-11,1,2,2.00,0,0,0,0
18,1974,1974-10-06,4,23.037,CHI,,NOR,W 24-10,,,,,,,
19,1974,1974-10-13,5,23.044,CHI,@,ATL,L 10-13,,,,,,,
20,1974,1974-10-21,6,23.052,CHI,,GNB,W 10-9,,,,,,,
21,1974,1974-10-27,7,23.058,CHI,@,BUF,L 6-16,,,,,,,
22,1974,1974-11-03,8,23.065,CHI,,MIN,L 0-17,,,,,,,
23,1974,1974-11-10,9,23.072,CHI,@,GNB,L 3-20,,,,,,,
24,1974,1974-11-17,10,23.079,CHI,,SFO,L 0-34,,,,,,,
25,1974,1974-11-24,11,23.086,CHI,@,DET,L 17-34,,,,,,,
26,1974,1974-12-01,12,23.093,CHI,,NYG,W 16-13,,,,,,,
27,1974,1974-12-08,13,23.100,CHI,@,SDG,L 21-28,,,,,,,
28,1974,1974-12-15,14,23.107,CHI,@,WAS,L 0-42,,,,,,,
29,1975,1975-09-21,1,24.022,CHI,,BAL,L 7-35,,,,,,,
30,1975,1975-09-28,2,24.029,CHI,,PHI,W 15-13,,,,,,,
31,1976,1976-09-12,1,25.013,CHI,,DET,W 10-3,,,,,,,
32,1976,1976-09-19,2,25.020,CHI,@,SFO,W 19-12,,,,,,,
33,1976,1976-09-26,3,25.027,CHI,,ATL,L 0-10,,,,,,,
34,1976,1976-10-03,4,25.034,CHI,,WAS,W 33-7,,,,,,,
