ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2011,2011-09-11,1,25.266,ARI,,CAR,W 28-21,,1,0,0,,0,0.0%,0.00
2,2011,2011-09-18,2,25.273,ARI,@,WAS,L 21-22,,,,,,,0.0%,
3,2011,2011-09-25,3,25.280,ARI,@,SEA,L 10-13,,,,,,,0.0%,
4,2011,2011-10-02,4,25.287,ARI,,NYG,L 27-31,,,,,,,0.0%,
5,2011,2011-10-09,5,25.294,ARI,@,MIN,L 10-34,,2,0,0,,0,0.0%,0.00
6,2011,2011-10-23,6,25.308,ARI,,PIT,L 20-32,,2,2,27,13.50,0,100.0%,13.50
7,2011,2011-11-06,8,25.322,ARI,,STL,W 19-13,,0,0,0,,0,0.0%,
8,2011,2011-11-13,9,25.329,ARI,@,PHI,W 21-17,,,,,,,0.0%,
9,2011,2011-11-20,10,25.336,ARI,@,SFO,L 7-23,,2,1,9,9.00,0,50.0%,4.50
10,2011,2011-11-27,11,25.343,ARI,@,STL,W 23-20,,,,,,,0.0%,
11,2011,2011-12-04,12,25.350,ARI,,DAL,W 19-13,,,,,,,0.0%,
12,2011,2011-12-11,13,25.357,ARI,,SFO,W 21-19,,1,0,0,,0,0.0%,0.00
