ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2002,2002-10-13,5,23.257,BAL,@,IND,L 20-22,,3,50,16.67,0,0,0,,0,0,0
2,2002,2002-10-20,6,23.264,BAL,,JAX,W 17-10,,0,0,,0,1,17,17.00,0,0,0
3,2002,2002-10-27,7,23.271,BAL,,PIT,L 18-31,,4,75,18.75,0,0,0,,0,0,0
4,2002,2002-11-03,8,23.278,BAL,@,ATL,L 17-20,,4,71,17.75,0,0,0,,0,0,0
5,2002,2002-11-10,9,23.285,BAL,,CIN,W 38-27,,3,98,32.67,0,3,103,34.33,1,1,6
6,2002,2002-11-17,10,23.292,BAL,@,MIA,L 7-26,,5,113,22.60,0,3,63,21.00,0,0,0
7,2002,2002-11-24,11,23.299,BAL,,TEN,W 13-12,,5,95,19.00,0,0,0,,0,0,0
8,2002,2002-12-01,12,23.306,BAL,@,CIN,W 27-23,,2,32,16.00,0,1,7,7.00,0,0,0
9,2002,2002-12-08,13,23.313,BAL,,NOR,L 25-37,,2,48,24.00,0,1,3,3.00,0,0,0
10,2002,2002-12-15,14,23.320,BAL,@,HOU,W 23-19,,3,95,31.67,0,1,28,28.00,0,0,0
11,2002,2002-12-22,15,23.327,BAL,,CLE,L 13-14,,3,24,8.00,0,3,11,3.67,0,0,0
12,2002,2002-12-29,16,23.334,BAL,@,PIT,L 31-34,,0,0,,0,2,9,4.50,0,0,0
13,2003,2003-09-07,1,24.221,BAL,@,PIT,L 15-34,,0,0,,0,4,22,5.50,0,0,0
14,2003,2003-09-14,2,24.228,BAL,,CLE,W 33-13,,2,40,20.00,0,5,54,10.80,0,0,0
15,2003,2003-09-21,3,24.235,BAL,@,SDG,W 24-10,,1,27,27.00,0,2,-6,-3.00,0,0,0
16,2003,2003-09-28,4,24.242,BAL,,KAN,L 10-17,,1,19,19.00,0,2,25,12.50,0,0,0
17,2003,2003-10-12,5,24.256,BAL,@,ARI,W 26-18,,0,0,,0,1,0,0.00,0,0,0
18,2003,2003-10-19,6,24.263,BAL,@,CIN,L 26-34,,0,0,,0,3,24,8.00,0,0,0
19,2003,2003-10-26,7,24.270,BAL,,DEN,W 26-6,,,,,,,,,,,
20,2003,2003-11-02,8,24.277,BAL,,JAX,W 24-17,,3,101,33.67,0,5,31,6.20,0,0,0
21,2003,2003-11-09,9,24.284,BAL,@,STL,L 22-33,,6,123,20.50,0,5,75,15.00,0,0,0
22,2003,2003-11-16,10,24.291,BAL,@,MIA,L 6-9,,1,73,73.00,0,0,0,,0,0,0
23,2003,2003-11-23,11,24.298,BAL,,SEA,W 44-41,,6,124,20.67,0,3,11,3.67,0,0,0
24,2003,2003-11-30,12,24.305,BAL,,SFO,W 44-6,,2,100,50.00,0,2,22,11.00,0,0,0
25,2003,2003-12-07,13,24.312,BAL,,CIN,W 31-13,,2,28,14.00,0,3,13,4.33,0,0,0
26,2003,2003-12-14,14,24.319,BAL,@,OAK,L 12-20,,1,19,19.00,0,4,36,9.00,0,0,0
27,2003,2003-12-21,15,24.326,BAL,@,CLE,W 35-0,,1,7,7.00,0,2,19,9.50,0,0,0
28,2003,2003-12-28,16,24.333,BAL,,PIT,W 13-10,,3,55,18.33,0,4,25,6.25,0,0,0
29,2004,2004-09-11,1,25.226,MIA,,TEN,L 7-17,,3,77,25.67,0,2,11,5.50,0,0,0
30,2004,2004-09-19,2,25.234,MIA,@,CIN,L 13-16,,2,49,24.50,0,7,78,11.14,0,0,0
