ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1958,1958-09-28,1,23.093,PIT,@,SFO,L 20-23,1,4,4.00,0,0,0,,0
2,1958,1958-10-05,2,23.100,PIT,,CLE,L 12-45,1,5,5.00,0,0,0,,0
3,1958,1958-10-12,3,23.107,PIT,,PHI,W 24-3,1,2,2.00,0,0,0,,0
4,1958,1958-10-19,4,23.114,PIT,@,CLE,L 10-27,1,-5,-5.00,0,0,0,,0
5,1959,1959-09-26,1,24.091,PIT,,CLE,W 17-7,8,15,1.88,0,0,0,,0
6,1959,1959-10-04,2,24.099,PIT,,WAS,L 17-23,3,19,6.33,1,1,19,19.00,0
7,1959,1959-10-11,3,24.106,PIT,@,PHI,L 24-28,4,6,1.50,0,3,28,9.33,0
8,1959,1959-10-18,4,24.113,PIT,@,WAS,W 27-6,10,51,5.10,2,2,25,12.50,0
9,1959,1959-10-25,5,24.120,PIT,,NYG,L 16-21,10,15,1.50,0,1,-6,-6.00,0
10,1959,1959-11-01,6,24.127,PIT,@,CRD,L 24-45,3,6,2.00,0,0,0,,0
11,1959,1959-11-08,7,24.134,PIT,,DET,T 10-10,0,0,,0,2,34,17.00,0
12,1959,1959-11-15,8,24.141,PIT,@,NYG,W 14-9,1,2,2.00,0,1,1,1.00,0
13,1959,1959-11-29,10,24.155,PIT,,PHI,W 31-0,13,52,4.00,0,0,0,,0
14,1959,1959-12-06,11,24.162,PIT,@,CHI,L 21-27,12,28,2.33,1,1,2,2.00,0
15,1959,1959-12-13,12,24.169,PIT,,CRD,W 35-20,11,32,2.91,0,2,-3,-1.50,0
16,1960,1960-09-24,1,25.089,PIT,@,DAL,W 35-28,3,11,3.67,0,0,0,,0
17,1960,1960-10-02,2,25.097,PIT,@,CLE,L 20-28,4,8,2.00,0,0,0,,0
18,1960,1960-10-09,3,25.104,PIT,,NYG,L 17-19,5,29,5.80,0,0,0,,0
19,1960,1960-10-23,5,25.118,PIT,@,WAS,T 27-27,1,18,18.00,0,0,0,,0
20,1960,1960-10-30,6,25.125,PIT,,GNB,L 13-19,4,33,8.25,0,1,8,8.00,0
