ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,24.118,SEA,@,BUF,L 10-34,,4,4,52,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,24.125,SEA,,SFO,L 30-33,*,8,6,78,13.00,0,75.0%,9.75,0,0,,0,,0,0,0.0,2,0
3,2008,2008-09-21,3,24.132,SEA,,STL,W 37-13,*,3,2,38,19.00,0,66.7%,12.67,0,0,,0,,0,0,0.0,0,0
4,2008,2008-10-05,4,24.146,SEA,@,NYG,L 6-44,*,,,,,,0.0%,,,,,,,,,,,
5,2008,2008-10-12,5,24.153,SEA,,GNB,L 17-27,*,6,4,22,5.50,1,66.7%,3.67,0,0,,0,,1,6,0.0,1,0
6,2008,2008-10-19,6,24.160,SEA,@,TAM,L 10-20,*,6,3,11,3.67,1,50.0%,1.83,0,0,,0,,1,6,0.0,0,0
7,2008,2008-10-26,7,24.167,SEA,@,SFO,W 34-13,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,24.174,SEA,,PHI,L 7-26,,5,2,30,15.00,0,40.0%,6.00,0,0,,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,24.181,SEA,@,MIA,L 19-21,*,9,5,54,10.80,0,55.6%,6.00,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,24.188,SEA,,ARI,L 20-26,*,5,3,39,13.00,0,60.0%,7.80,0,0,,0,,0,0,0.0,1,0
11,2008,2008-11-23,11,24.195,SEA,,WAS,L 17-20,,3,2,14,7.00,1,66.7%,4.67,0,0,,0,,1,6,0.0,0,0
12,2008,2008-11-27,12,24.199,SEA,@,DAL,L 9-34,,7,6,105,17.50,0,85.7%,15.00,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,24.209,SEA,,NWE,L 21-24,*,9,8,69,8.63,1,88.9%,7.67,0,0,,0,,1,6,0.0,0,0
14,2008,2008-12-14,14,24.216,SEA,@,STL,W 23-20,,6,5,76,15.20,0,83.3%,12.67,0,0,,0,,0,0,0.0,0,0
15,2008,2008-12-21,15,24.223,SEA,,NYJ,W 13-3,*,2,2,12,6.00,1,100.0%,6.00,0,0,,0,,1,6,0.0,1,0
16,2008,2008-12-28,16,24.230,SEA,@,ARI,L 21-34,,5,2,14,7.00,0,40.0%,2.80,0,0,,0,,0,0,0.0,1,0
17,2009,2009-09-13,1,25.124,SEA,,STL,W 28-0,*,8,6,95,15.83,2,75.0%,11.88,0,0,,0,,2,12,0.0,0,0
18,2009,2009-09-20,2,25.131,SEA,@,SFO,L 10-23,*,8,6,46,7.67,0,75.0%,5.75,0,0,,0,,0,0,0.0,0,0
19,2009,2009-09-27,3,25.138,SEA,,CHI,L 19-25,*,10,3,28,9.33,0,30.0%,2.80,0,0,,0,,0,0,0.0,1,0
20,2009,2009-10-04,4,25.145,SEA,@,IND,L 17-34,*,6,5,39,7.80,0,83.3%,6.50,0,0,,0,,0,0,0.0,0,0
21,2009,2009-10-11,5,25.152,SEA,,JAX,W 41-0,*,3,2,31,15.50,0,66.7%,10.33,0,0,,0,,0,0,0.0,0,0
22,2009,2009-10-18,6,25.159,SEA,,ARI,L 3-27,*,6,2,55,27.50,0,33.3%,9.17,0,0,,0,,0,0,0.0,0,0
23,2009,2009-11-01,7,25.173,SEA,@,DAL,L 17-38,*,7,3,36,12.00,0,42.9%,5.14,0,0,,0,,0,0,0.0,0,0
24,2009,2009-11-08,8,25.180,SEA,,DET,W 32-20,*,9,6,42,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,0,0
25,2009,2009-11-15,9,25.187,SEA,@,ARI,L 20-31,*,2,1,31,31.00,1,50.0%,15.50,0,0,,0,,1,6,0.0,1,0
26,2009,2009-11-22,10,25.194,SEA,@,MIN,L 9-35,*,4,,,,,0.0%,,,,,,,,,,,
27,2009,2009-11-29,11,25.201,SEA,@,STL,W 27-17,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,0,0
28,2009,2009-12-06,12,25.208,SEA,,SFO,W 20-17,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0
29,2009,2009-12-13,13,25.215,SEA,@,HOU,L 7-34,*,3,3,24,8.00,1,100.0%,8.00,0,0,,0,,1,6,0.0,0,0
