ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2015,2015-09-13,1,22.132,BUF,,IND,W 27-14,,6,55,9.17,1,0,0,0,,0,0.0%,,1,6
2,2015,2015-09-20,2,22.139,BUF,,NWE,L 32-40,,6,21,3.50,1,3,2,16,8.00,0,66.7%,5.33,1,6
3,2015,2015-09-27,3,22.146,BUF,@,MIA,W 41-14,,12,110,9.17,1,0,0,0,,0,0.0%,,1,6
4,2015,2015-10-04,4,22.153,BUF,,NYG,L 10-24,*,18,40,2.22,0,4,3,30,10.00,1,75.0%,7.50,1,6
5,2015,2015-11-08,8,22.188,BUF,,MIA,W 33-17,,9,110,12.22,2,0,0,0,,0,0.0%,,2,12
6,2015,2015-11-12,9,22.192,BUF,@,NYJ,W 22-17,,7,24,3.43,0,1,1,26,26.00,1,100.0%,26.00,1,6
7,2015,2015-11-23,10,22.203,BUF,@,NWE,L 13-20,*,6,11,1.83,0,0,0,0,,0,0.0%,,0,0
8,2015,2015-11-29,11,22.209,BUF,@,KAN,L 22-30,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0
9,2015,2015-12-20,14,22.230,BUF,@,WAS,L 25-35,,4,41,10.25,0,1,0,0,,0,0.0%,0.00,0,0
10,2015,2015-12-27,15,22.237,BUF,,DAL,W 16-6,,17,76,4.47,1,2,2,21,10.50,0,100.0%,10.50,1,6
11,2015,2016-01-03,16,22.244,BUF,,NYJ,W 22-17,*,6,24,4.00,1,3,3,3,1.00,0,100.0%,1.00,1,6
