ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,21.225,DET,@,CHI,L 14-19,*,14,20,1.43,2,6,5,16,3.20,0,83.3%,2.67,0,0,,0,0,0,,0,,,,2,12,0.0,0,0
2,2010,2010-09-19,2,21.232,DET,,PHI,L 32-35,*,17,78,4.59,2,14,9,154,17.11,1,64.3%,11.00,0,0,,0,0,0,,0,,,,3,18,0.0,0,0
3,2010,2010-09-26,3,21.239,DET,@,MIN,L 10-24,*,7,26,3.71,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
4,2010,2010-10-03,4,21.246,DET,@,GNB,L 26-28,*,12,50,4.17,0,7,5,34,6.80,0,71.4%,4.86,0,0,,0,0,0,,0,,,,0,0,0.0,1,0
5,2010,2010-10-10,5,21.253,DET,,STL,W 44-6,*,17,59,3.47,0,4,4,37,9.25,0,100.0%,9.25,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0.0,0,0
6,2010,2010-10-17,6,21.260,DET,@,NYG,L 20-28,*,12,16,1.33,0,6,6,31,5.17,0,100.0%,5.17,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
7,2010,2010-10-31,7,21.274,DET,,WAS,W 37-25,*,12,48,4.00,0,8,5,31,6.20,0,62.5%,3.88,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
8,2010,2010-11-07,8,21.281,DET,,NYJ,L 20-23,*,16,48,3.00,0,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
9,2010,2010-11-14,9,21.288,DET,@,BUF,L 12-14,*,17,35,2.06,0,5,4,4,1.00,0,80.0%,0.80,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
10,2010,2010-11-21,10,21.295,DET,@,DAL,L 19-35,,3,2,0.67,0,5,4,15,3.75,0,80.0%,3.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
11,2010,2010-11-25,11,21.299,DET,,NWE,L 24-45,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,
12,2010,2010-12-05,12,21.309,DET,,CHI,L 20-24,,9,65,7.22,0,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
13,2010,2010-12-12,13,21.316,DET,,GNB,W 7-3,,13,38,2.92,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
14,2010,2010-12-19,14,21.323,DET,@,TAM,W 23-20,,6,12,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
15,2010,2010-12-26,15,21.330,DET,@,MIA,W 34-27,,6,24,4.00,0,1,1,53,53.00,1,100.0%,53.00,0,0,,0,0,0,,0,,,,1,6,0.0,0,0
16,2010,2011-01-02,16,21.337,DET,,MIN,W 20-13,,10,34,3.40,0,7,6,23,3.83,0,85.7%,3.29,0,0,,0,0,0,,0,,,,0,0,0.0,0,0
17,2011,2011-09-11,1,22.224,DET,@,TAM,W 27-20,*,21,72,3.43,0,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
18,2011,2011-09-18,2,22.231,DET,,KAN,W 48-3,*,16,57,3.56,1,8,6,66,11.00,1,75.0%,8.25,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
19,2011,2011-09-25,3,22.238,DET,@,MIN,W 26-23,*,12,14,1.17,0,7,5,74,14.80,0,71.4%,10.57,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
20,2011,2011-10-02,4,22.245,DET,@,DAL,W 34-30,*,11,47,4.27,0,8,2,23,11.50,0,25.0%,2.88,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
21,2011,2011-10-10,5,22.253,DET,,CHI,W 24-13,*,12,163,13.58,1,4,4,9,2.25,0,100.0%,2.25,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
22,2011,2011-10-16,6,22.259,DET,,SFO,L 19-25,*,12,37,3.08,0,8,6,73,12.17,0,75.0%,9.13,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
