ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-02,1,23.182,SFO,@,MIN,L 22-28,0,0,,0,4,186,46.50,0
2,1979,1979-09-09,2,23.189,SFO,,DAL,L 13-21,0,0,,0,5,183,36.60,0
3,1979,1979-09-16,3,23.196,SFO,@,RAM,L 24-27,0,0,,0,7,274,39.14,0
4,1979,1979-09-23,4,23.203,SFO,,NOR,L 21-30,0,0,,0,4,154,38.50,0
5,1979,1979-09-30,5,23.210,SFO,@,SDG,L 9-31,0,0,,0,5,179,35.80,0
6,1979,1979-10-07,6,23.217,SFO,,SEA,L 24-35,0,0,,0,4,140,35.00,0
7,1979,1979-10-14,7,23.224,SFO,@,NYG,L 16-32,1,0,0.00,0,4,125,31.25,0
8,1979,1979-10-21,8,23.231,SFO,,ATL,W 20-15,0,0,,0,4,148,37.00,1
9,1979,1979-10-28,9,23.238,SFO,,CHI,L 27-28,0,0,,0,2,75,37.50,0
10,1979,1979-11-04,10,23.245,SFO,@,OAK,L 10-23,0,0,,0,3,88,29.33,0
11,1979,1979-11-11,11,23.252,SFO,@,NOR,L 20-31,0,0,,0,1,38,38.00,0
12,1979,1979-11-18,12,23.259,SFO,,DEN,L 28-38,1,0,0.00,0,6,271,45.17,0
13,1979,1979-11-25,13,23.266,SFO,,RAM,L 20-26,0,0,,0,6,216,36.00,0
14,1979,1979-12-02,14,23.273,SFO,@,STL,L 10-13,1,0,0.00,0,6,186,31.00,0
15,1979,1979-12-09,15,23.280,SFO,,TAM,W 23-7,0,0,,0,6,232,38.67,0
16,1979,1979-12-16,16,23.287,SFO,@,ATL,L 21-31,0,0,,0,4,131,32.75,0
