ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2002,2002-10-06,5,23.081,ARI,@,CAR,W 16-13,*,23,61,2.65,0,5,3,36,12.00,0,60.0%,7.20,0,0,,0
2,2002,2002-10-20,6,23.095,ARI,,DAL,W 9-6,,,,,,,,,,,0.0%,,,,,
3,2002,2002-11-10,9,23.116,ARI,,SEA,L 6-27,,0,0,,0,0,0,0,,0,0.0%,,6,113,18.83,0
4,2002,2002-11-17,10,23.123,ARI,@,PHI,L 14-38,,0,0,,0,0,0,0,,0,0.0%,,4,81,20.25,0
5,2002,2002-11-24,11,23.130,ARI,,OAK,L 20-41,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0
6,2002,2002-12-01,12,23.137,ARI,@,KAN,L 0-49,,,,,,1,,,,,0.0%,,,,,
7,2002,2002-12-08,13,23.144,ARI,,DET,W 23-20,,0,0,,0,1,0,0,,0,0.0%,0.00,2,33,16.50,0
8,2002,2002-12-15,14,23.151,ARI,@,STL,L 28-30,,,,,,,,,,,0.0%,,,,,
9,2002,2002-12-21,15,23.157,ARI,,SFO,L 14-17,,,,,,0,,,,,0.0%,,,,,
10,2002,2002-12-29,16,23.165,ARI,@,DEN,L 7-37,,,,,,,,,,,0.0%,,,,,
11,2003,2003-09-07,1,24.052,ARI,@,DET,L 24-42,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0
12,2003,2003-09-14,2,24.059,ARI,,SEA,L 0-38,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0
13,2003,2003-09-21,3,24.066,ARI,,GNB,W 20-13,,,,,,,,,,,0.0%,,,,,
14,2003,2003-09-28,4,24.073,ARI,@,STL,L 13-37,,,,,,,,,,,0.0%,,,,,
15,2003,2003-10-05,5,24.080,ARI,@,DAL,L 7-24,,1,-3,-3.00,0,0,0,0,,0,0.0%,,1,15,15.00,0
16,2003,2003-10-12,6,24.087,ARI,,BAL,L 18-26,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0
17,2003,2003-10-26,7,24.101,ARI,,SFO,W 16-13,,4,27,6.75,0,0,0,0,,0,0.0%,,0,0,,0
18,2003,2003-11-02,8,24.108,ARI,,CIN,W 17-14,,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,,0
19,2003,2003-11-09,9,24.115,ARI,@,PIT,L 15-28,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
20,2003,2003-11-16,10,24.122,ARI,@,CLE,L 6-44,,0,0,,0,6,2,10,5.00,0,33.3%,1.67,0,0,,0
21,2003,2003-11-23,11,24.129,ARI,,STL,L 27-30,,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,,0
22,2003,2003-11-30,12,24.136,ARI,@,CHI,L 3-28,,1,7,7.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0
23,2003,2003-12-07,13,24.143,ARI,@,SFO,L 14-50,,2,4,2.00,0,2,0,0,,0,0.0%,0.00,0,0,,0
24,2003,2003-12-14,14,24.150,ARI,,CAR,L 17-20,,,,,,0,,,,,0.0%,,,,,
25,2003,2003-12-21,15,24.157,ARI,@,SEA,L 10-28,,1,5,5.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0
26,2003,2003-12-28,16,24.164,ARI,,MIN,W 18-17,,,,,,,,,,,0.0%,,,,,
27,2004,2004-12-05,12,25.141,ARI,@,DET,L 12-26,,,,,,,,,,,0.0%,,,,,
28,2004,2004-12-19,14,25.155,ARI,,STL,W 31-7,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0
29,2004,2004-12-26,15,25.162,ARI,@,SEA,L 21-24,,,,,,,,,,,0.0%,,,,,
30,2004,2005-01-02,16,25.169,ARI,,TAM,W 12-7,,,,,,,,,,,0.0%,,,,,
31,2005,2005-12-04,12,26.140,ARI,@,SFO,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,1,7,7.00,0
32,2005,2005-12-11,13,26.147,ARI,,WAS,L 13-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
33,2005,2005-12-18,14,26.154,ARI,@,HOU,L 19-30,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
34,2005,2005-12-24,15,26.160,ARI,,PHI,W 27-21,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0
35,2005,2006-01-01,16,26.168,ARI,@,IND,L 13-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
