ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1983,1983-09-04,1,22.056,NYG,,RAM,L 6-16,0,0,,0
2,1983,1983-09-11,2,22.063,NYG,@,ATL,W 16-13,0,0,,0
3,1983,1983-09-18,3,22.070,NYG,@,DAL,L 13-28,0,0,,0
4,1983,1983-09-26,4,22.078,NYG,,GNB,W 27-3,0,0,,0
5,1983,1983-10-02,5,22.084,NYG,,SDG,L 34-41,0,0,,0
6,1983,1983-10-09,6,22.091,NYG,,PHI,L 13-17,0,0,,0
7,1983,1983-10-16,7,22.098,NYG,@,KAN,L 17-38,0,0,,0
8,1983,1983-10-24,8,22.106,NYG,@,STL,T 20-20,2,29,14.50,0
9,1983,1983-10-30,9,22.112,NYG,,DAL,L 20-38,0,0,,0
10,1983,1983-11-07,10,22.120,NYG,@,DET,L 9-15,0,0,,0
11,1983,1983-11-13,11,22.126,NYG,,WAS,L 17-33,3,47,15.67,0
12,1983,1983-11-20,12,22.133,NYG,@,PHI,W 23-0,3,23,7.67,0
13,1983,1983-11-27,13,22.140,NYG,@,RAI,L 12-27,2,14,7.00,0
14,1983,1983-12-04,14,22.147,NYG,,STL,L 6-10,1,9,9.00,0
15,1983,1983-12-11,15,22.154,NYG,,SEA,L 12-17,3,39,13.00,0
16,1983,1983-12-17,16,22.160,NYG,@,WAS,L 22-31,3,45,15.00,0
17,1987,1987-10-04,3,26.086,NOR,,RAM,W 37-10,2,9,4.50,0
18,1987,1987-10-11,4,26.093,NOR,@,STL,L 19-24,2,14,7.00,0
19,1987,1987-10-18,5,26.100,NOR,@,CHI,W 19-17,2,12,6.00,0
