ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-10-05,5,22.356,PHI,,STL,W 34-28,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
2,2014,2014-10-12,6,22.363,PHI,,NYG,W 27-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
3,2014,2014-10-26,7,23.012,PHI,@,ARI,L 20-24,,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,0.0,0,0
4,2014,2014-11-02,8,23.019,PHI,@,HOU,W 31-21,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0,0.0,0,0
5,2014,2014-11-10,9,23.027,PHI,,CAR,W 45-21,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
6,2014,2014-11-16,10,23.033,PHI,@,GNB,L 20-53,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1
7,2014,2014-11-23,11,23.040,PHI,,TEN,W 43-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,107,107.00,1,0,6,0.0,0,0
8,2014,2014-11-27,12,23.044,PHI,@,DAL,W 33-10,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
9,2014,2014-12-07,13,23.054,PHI,,SEA,L 14-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,93,31.00,0,0,0,0.0,0,0
10,2014,2014-12-14,14,23.061,PHI,,DAL,L 27-38,,2,1,44,44.00,0,50.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,54,18.00,0,0,0,0.0,1,0
11,2014,2014-12-20,15,23.067,PHI,@,WAS,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,0,0,0.0,1,0
12,2014,2014-12-28,16,23.075,PHI,@,NYG,W 34-26,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,29,29.00,0,0,0,0.0,0,1
13,2015,2015-09-14,1,23.335,PHI,@,ATL,L 24-26,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
14,2015,2015-09-20,2,23.341,PHI,,DAL,L 10-20,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,0.0,0,0
15,2015,2015-10-04,4,23.355,PHI,@,WAS,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
16,2015,2015-10-11,5,23.362,PHI,,NOR,W 39-17,,5,4,78,19.50,1,80.0%,15.60,0,0,,0,0,0,,0,0,0,,0,0,,,1,40,40.00,0,1,6,0.0,0,0
17,2015,2015-10-19,6,24.005,PHI,,NYG,W 27-7,*,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,0.0,0,0
18,2015,2015-10-25,7,24.011,PHI,@,CAR,L 16-27,*,5,2,5,2.50,0,40.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
19,2015,2015-11-08,8,24.025,PHI,@,DAL,W 33-27,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
20,2015,2015-11-15,9,24.032,PHI,,MIA,L 19-20,*,4,3,23,7.67,1,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,31,31.00,0,1,6,0.0,0,0
21,2015,2015-11-22,10,24.039,PHI,,TAM,L 17-45,,1,1,39,39.00,1,100.0%,39.00,0,0,,0,0,0,,0,0,0,,0,0,,,4,96,24.00,0,1,6,0.0,0,0
22,2015,2015-11-26,11,24.043,PHI,@,DET,L 14-45,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
23,2015,2015-12-06,12,24.053,PHI,@,NWE,W 35-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,0,0,0.0,0,0
24,2015,2015-12-13,13,24.060,PHI,,BUF,W 23-20,,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,0,0,0.0,0,0
25,2015,2015-12-20,14,24.067,PHI,,ARI,L 17-40,,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,5,118,23.60,0,0,0,0.0,0,0
26,2015,2015-12-26,15,24.073,PHI,,WAS,L 24-38,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,65,32.50,0,0,0,0.0,0,0
27,2015,2016-01-03,16,24.081,PHI,@,NYG,W 35-30,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,0.0,0,0
28,2016,2016-09-11,1,24.333,PHI,,CLE,W 29-10,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
29,2016,2016-09-19,2,24.341,PHI,@,CHI,W 29-14,,1,1,-1,-1.00,0,100.0%,-1.00,1,0,0.00,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,0.0,0,0
30,2016,2016-09-25,3,24.347,PHI,,PIT,W 34-3,,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,0.0,0,0
31,2016,2016-10-09,4,24.361,PHI,@,DET,L 23-24,,3,3,5,1.67,1,100.0%,1.67,2,10,5.00,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,6,0.0,0,0
32,2016,2016-10-16,5,25.002,PHI,@,WAS,L 20-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,0.0,0,0
33,2016,2016-10-23,6,25.009,PHI,,MIN,W 21-10,,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,98,98.00,1,1,6,0.0,0,0
34,2016,2016-10-30,7,25.016,PHI,@,DAL,L 23-29,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,62,31.00,0,0,0,0.0,0,0
35,2016,2016-12-11,13,25.058,TAM,,NOR,W 16-11,,2,1,17,17.00,0,50.0%,8.50,1,5,5.00,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0.0,0,0
36,2016,2016-12-18,14,25.065,TAM,@,DAL,L 20-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,0,0,0.0,0,0
