ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1982,1982-09-13,1,22.301,PIT,@,DAL,W 36-28,0,0,,0,1,10,10.00,0,0.0,1,12,0
2,1982,1982-09-19,2,22.307,PIT,,CIN,W 26-20,0,0,,0,1,8,8.00,0,0.0,0,0,0
3,1982,1982-11-21,3,23.005,PIT,@,HOU,W 24-10,0,0,,0,6,61,10.17,0,0.0,0,0,0
4,1982,1982-11-28,4,23.012,PIT,@,SEA,L 0-16,0,0,,0,2,15,7.50,0,0.0,0,0,0
5,1982,1982-12-05,5,23.019,PIT,,KAN,W 35-14,0,0,,0,3,48,16.00,0,0.0,0,0,0
6,1983,1983-09-04,1,23.292,PIT,,DEN,L 10-14,,,,,0,0,,0,,,,
7,1983,1983-09-11,2,23.299,PIT,@,GNB,W 25-21,0,0,,0,3,29,9.67,0,0.0,0,0,0
8,1983,1983-09-25,4,23.313,PIT,,NWE,L 23-28,,,,,0,0,,0,,,,
9,1983,1983-10-02,5,23.320,PIT,,HOU,W 17-10,0,0,,0,0,0,,0,0.0,1,31,0
10,1983,1983-10-10,6,23.328,PIT,@,CIN,W 24-14,,,,,0,0,,0,,,,
11,1983,1983-10-16,7,23.334,PIT,,CLE,W 44-17,0,0,,0,0,0,,0,0.0,1,9,0
12,1983,1983-10-23,8,23.341,PIT,@,SEA,W 27-21,,,,,0,0,,0,,,,
13,1983,1983-10-30,9,23.348,PIT,,TAM,W 17-12,,,,,0,0,,0,,,,
14,1983,1983-11-06,10,23.355,PIT,,SDG,W 26-3,0,0,,0,0,0,,0,0.0,1,4,0
15,1983,1983-11-13,11,23.362,PIT,@,BAL,W 24-13,0,0,,0,0,0,,0,0.0,1,0,0
16,1983,1983-11-20,12,24.004,PIT,,MIN,L 14-17,0,0,,0,0,0,,0,0.0,1,9,0
17,1983,1983-11-24,13,24.008,PIT,@,DET,L 3-45,0,0,,0,2,17,8.50,0,0.0,0,0,0
18,1983,1983-12-04,14,24.018,PIT,,CIN,L 10-23,,,,,0,0,,0,,,,
19,1983,1983-12-10,15,24.024,PIT,@,NYJ,W 34-7,,,,,0,0,,0,,,,
20,1983,1983-12-18,16,24.032,PIT,@,CLE,L 17-30,,,,,0,0,,0,,,,
21,1984,1984-09-02,1,24.291,PIT,,KAN,L 27-37,,,,,0,0,,0,,,,
22,1984,1984-09-06,2,24.295,PIT,@,NYJ,W 23-17,0,0,,0,0,0,,0,0.0,1,0,0
23,1984,1984-09-16,3,24.305,PIT,,RAM,W 24-14,0,0,,0,0,0,,0,0.0,1,0,0
24,1984,1984-09-23,4,24.312,PIT,@,CLE,L 10-20,,,,,0,0,,0,,,,
25,1984,1984-10-01,5,24.320,PIT,,CIN,W 38-17,0,0,,0,2,22,11.00,0,0.0,0,0,0
26,1984,1984-10-07,6,24.326,PIT,,MIA,L 7-31,0,0,,0,3,15,5.00,0,0.0,0,0,0
27,1984,1984-10-14,7,24.333,PIT,@,SFO,W 20-17,0,0,,0,1,3,3.00,0,0.0,0,0,0
28,1984,1984-10-28,9,24.347,PIT,,ATL,W 35-10,,,,,0,0,,0,,,,
29,1984,1984-11-04,10,24.354,PIT,,HOU,W 35-7,,,,,0,0,,0,,,,
30,1984,1984-11-11,11,24.361,PIT,@,CIN,L 20-22,,,,,0,0,,0,,,,
31,1984,1984-11-19,12,25.003,PIT,@,NOR,L 24-27,,,,,0,0,,0,,,,
32,1984,1984-11-25,13,25.009,PIT,,SDG,W 52-24,,,,,0,0,,0,,,,
33,1984,1984-12-02,14,25.016,PIT,@,HOU,L 20-23,,,,,0,0,,0,,,,
34,1984,1984-12-09,15,25.023,PIT,,CLE,W 23-20,,,,,0,0,,0,,,,
35,1984,1984-12-16,16,25.030,PIT,@,RAI,W 13-7,,,,,0,0,,0,,,,
36,1985,1985-09-08,1,25.296,PIT,,IND,W 45-3,0,0,,0,4,23,5.75,0,0.0,0,0,0
37,1985,1985-09-16,2,25.304,PIT,@,CLE,L 7-17,0,0,,0,2,3,1.50,0,0.0,0,0,0
38,1985,1985-09-22,3,25.310,PIT,,HOU,W 20-0,0,0,,0,3,-4,-1.33,0,0.0,0,0,0
39,1985,1985-09-30,4,25.318,PIT,,CIN,L 24-37,0,0,,0,2,14,7.00,0,0.0,0,0,0
40,1985,1985-10-06,5,25.324,PIT,@,MIA,L 20-24,,,,,0,0,,0,,,,
41,1985,1985-10-13,6,25.331,PIT,@,DAL,L 13-27,0,0,,0,2,10,5.00,0,0.0,0,0,0
42,1985,1985-10-20,7,25.338,PIT,,STL,W 23-10,0,0,,0,0,0,,0,1.0,0,0,0
43,1985,1985-10-27,8,25.345,PIT,@,CIN,L 21-26,,,,,0,0,,0,,,,
44,1985,1985-11-03,9,25.352,PIT,,CLE,W 10-9,,,,,0,0,,0,,,,
45,1985,1985-11-10,10,25.359,PIT,@,KAN,W 36-28,,,,,0,0,,0,,,,
46,1985,1985-11-17,11,26.001,PIT,@,HOU,W 30-7,,,,,0,0,,0,,,,
47,1985,1985-11-24,12,26.008,PIT,,WAS,L 23-30,,,,,0,0,,0,,,,
48,1985,1985-12-01,13,26.015,PIT,,DEN,L 23-31,,,,,0,0,,0,,,,
49,1985,1985-12-08,14,26.022,PIT,@,SDG,L 44-54,,,,,0,0,,0,,,,
50,1985,1985-12-15,15,26.029,PIT,,BUF,W 30-24,,,,,0,0,,0,,,,
51,1985,1985-12-21,16,26.035,PIT,@,NYG,L 10-28,,,,,0,0,,0,,,,
52,1986,1986-09-07,1,26.295,PIT,@,SEA,L 0-30,0,0,,0,3,19,6.33,0,0.0,0,0,0
53,1986,1986-09-15,2,26.303,PIT,,DEN,L 10-21,0,0,,0,2,19,9.50,0,0.0,0,0,0
54,1986,1986-09-21,3,26.309,PIT,@,MIN,L 7-31,0,0,,0,0,0,,0,,,,
55,1986,1986-09-28,4,26.316,PIT,@,HOU,W 22-16,0,0,,0,2,46,23.00,0,0.0,1,0,0
56,1986,1986-10-05,5,26.323,PIT,,CLE,L 24-27,0,0,,0,1,11,11.00,0,0.0,0,0,0
57,1986,1986-10-13,6,26.331,PIT,@,CIN,L 22-24,1,17,17.00,0,1,4,4.00,0,0.0,0,0,0
58,1986,1986-10-19,7,26.337,PIT,,NWE,L 0-34,0,0,,0,4,25,6.25,0,0.0,0,0,0
