ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1992,1992-09-13,2,25.065,SDG,@,DEN,L 13-21,,0,0,,0,0.0%,,,,,,,,,
2,1992,1992-09-20,3,25.072,SDG,,PIT,L 6-23,,0,0,,0,0.0%,,,,,,,,,
3,1992,1992-09-27,4,25.079,SDG,@,HOU,L 0-27,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0
4,1992,1992-10-04,5,25.086,SDG,,SEA,W 17-6,1,0,0,,0,0.0%,0.00,,,,,,,,
5,1992,1992-10-18,6,25.100,SDG,@,IND,W 34-14,,0,0,,0,0.0%,,,,,,,,,
6,1992,1992-10-25,7,25.107,SDG,,DEN,W 24-21,,0,0,,0,0.0%,,,,,,,,,
7,1992,1992-11-01,8,25.114,SDG,,IND,W 26-0,,0,0,,0,0.0%,,,,,,,,,
8,1992,1992-11-08,9,25.121,SDG,@,KAN,L 14-16,,0,0,,0,0.0%,,,,,,,,,
9,1992,1992-11-15,10,25.128,SDG,@,CLE,W 14-13,,0,0,,0,0.0%,,,,,,,,,
10,1993,1993-09-05,1,26.057,TAM,,KAN,L 3-27,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0
11,1993,1993-09-12,2,26.064,TAM,@,NYG,L 7-23,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0
12,1993,1993-09-26,3,26.078,TAM,@,CHI,L 17-47,4,2,22,11.00,0,50.0%,5.50,1,0,0.00,0,2,11,5.50,0
13,1993,1993-10-03,4,26.085,TAM,,DET,W 27-10,1,0,0,,0,0.0%,0.00,0,0,,0,3,8,2.67,0
14,1993,1993-10-10,5,26.092,TAM,@,MIN,L 0-15,3,0,0,,0,0.0%,0.00,3,57,19.00,0,1,13,13.00,0
