ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-16,2,22.091,NYG,,GNB,L 13-35,,,,,,,,,,,,,,,
2,2007,2007-10-28,8,22.133,NYG,@,MIA,W 13-10,,,,,,,,,,,,,,,
3,2007,2007-11-11,9,22.147,NYG,,DAL,L 20-31,,,,,,,,,,,,,,,
4,2007,2007-11-25,11,22.161,NYG,,MIN,L 17-41,,,,,,,,,,,,,,,
5,2007,2007-12-02,12,22.168,NYG,@,CHI,W 21-16,,,,,,,,,,,,,,,
6,2007,2007-12-09,13,22.175,NYG,@,PHI,W 16-13,*,,,,,,,,,,,,,,
7,2007,2007-12-16,14,22.182,NYG,,WAS,L 10-22,*,,,,,,,,,,,,,,
8,2007,2007-12-23,15,22.189,NYG,@,BUF,W 38-21,,,,,,,,,,,,,,,
9,2007,2007-12-29,16,22.195,NYG,,NWE,L 35-38,,,,,,,,,,,,,,,
10,2009,2009-09-27,3,24.102,STL,,GNB,L 17-36,,0,0,,0,0,0,,0,0.0,6,1,0,0,0
11,2009,2009-10-04,4,24.109,STL,@,SFO,L 0-35,*,0,0,,0,0,0,,0,0.0,1,0,0,0,0
12,2009,2009-10-11,5,24.116,STL,,MIN,L 10-38,*,0,0,,0,0,0,,0,1.0,7,0,0,0,0
13,2009,2009-10-18,6,24.123,STL,@,JAX,L 20-23,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
14,2009,2009-10-25,7,24.130,STL,,IND,L 6-42,*,0,0,,0,0,0,,0,0.0,3,1,0,0,0
15,2009,2009-11-01,8,24.137,STL,@,DET,W 17-10,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
16,2009,2009-11-15,9,24.151,STL,,NOR,L 23-28,,,,,,,,,,,,,,,
17,2009,2009-11-22,10,24.158,STL,,ARI,L 13-21,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
18,2009,2009-11-29,11,24.165,STL,,SEA,L 17-27,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
19,2009,2009-12-06,12,24.172,STL,@,CHI,L 9-17,,0,0,,0,0,0,,0,0.0,3,0,0,0,0
20,2009,2009-12-13,13,24.179,STL,@,TEN,L 7-47,*,0,0,,0,0,0,,0,0.0,5,1,0,0,0
21,2009,2009-12-20,14,24.186,STL,,HOU,L 13-16,*,0,0,,0,0,0,,0,0.0,6,0,0,0,0
22,2009,2009-12-27,15,24.193,STL,@,ARI,L 10-31,*,0,0,,0,0,0,,0,0.0,6,3,0,0,0
23,2009,2010-01-03,16,24.200,STL,,SFO,L 6-28,*,0,0,,0,0,0,,0,1.0,3,0,0,0,0
24,2010,2010-09-12,1,25.087,STL,,ARI,L 13-17,*,0,0,,0,0,0,,0,0.0,3,0,0,0,0
25,2010,2010-09-19,2,25.094,STL,@,OAK,L 14-16,*,0,0,,0,0,0,,0,0.0,7,1,0,0,0
26,2010,2010-10-03,4,25.108,STL,,SEA,W 20-3,*,0,0,,0,0,0,,0,0.0,6,0,0,0,0
27,2010,2010-10-10,5,25.115,STL,@,DET,L 6-44,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
28,2010,2010-10-17,6,25.122,STL,,SDG,W 20-17,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
29,2010,2010-10-24,7,25.129,STL,@,TAM,L 17-18,,0,0,,0,0,0,,0,0.0,2,1,0,0,0
30,2010,2010-10-31,8,25.136,STL,,CAR,W 20-10,*,0,0,,0,0,0,,0,0.0,5,3,0,0,0
31,2010,2010-11-14,9,25.150,STL,@,SFO,L 20-23,*,0,0,,0,0,0,,0,0.0,10,3,0,0,0
32,2010,2010-11-21,10,25.157,STL,,ATL,L 17-34,*,0,0,,0,0,0,,0,0.0,4,0,0,0,0
33,2010,2010-11-28,11,25.164,STL,@,DEN,W 36-33,*,0,0,,0,0,0,,0,0.0,6,0,0,0,0
34,2010,2010-12-05,12,25.171,STL,@,ARI,W 19-6,*,0,0,,0,0,0,,0,1.0,7,0,1,23,0
35,2010,2010-12-12,13,25.178,STL,@,NOR,L 13-31,*,0,0,,0,0,0,,0,0.0,9,0,1,0,0
36,2010,2010-12-19,14,25.185,STL,,KAN,L 13-27,*,0,0,,0,0,0,,0,0.0,7,0,0,0,0
37,2010,2010-12-26,15,25.192,STL,,SFO,W 25-17,*,0,0,,0,0,0,,0,0.0,2,1,0,0,0
38,2010,2011-01-02,16,25.199,STL,@,SEA,L 6-16,*,0,0,,0,0,0,,0,0.0,5,1,0,0,0
