ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-10-10,4,22.197,BAL,,DET,W 31-7,2,-1,-0.50,0,1,5,5.00,0,0,0,,0,0,0,0,0,0
2,1965,1965-10-17,5,22.204,BAL,@,WAS,W 38-7,2,-2,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
3,1965,1965-11-07,8,22.225,BAL,@,CHI,W 26-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
4,1965,1965-11-14,9,22.232,BAL,@,MIN,W 41-21,2,4,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
5,1965,1965-12-05,12,22.253,BAL,,CHI,L 0-13,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
6,1966,1966-10-09,4,23.196,BAL,@,CHI,L 17-27,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
7,1966,1966-10-16,5,23.203,BAL,,DET,W 45-14,0,0,,0,0,0,,0,1,34,34.00,0,0,0,0,0,0
8,1966,1966-10-23,6,23.210,BAL,,MIN,W 20-17,0,0,,0,0,0,,0,1,20,20.00,0,0,0,0,0,0
9,1967,1967-09-17,1,24.174,BAL,,ATL,W 38-31,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
10,1968,1968-09-15,1,25.172,BAL,,SFO,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
11,1968,1968-12-15,14,25.263,BAL,@,RAM,W 28-24,0,0,,0,0,0,,0,0,0,,0,1,6,1,38,1
12,1970,1970-09-20,1,27.177,BAL,@,SDG,W 16-14,,,,,,,,,,,,,,,,,
13,1970,1970-09-28,2,27.185,BAL,,KAN,L 24-44,,,,,,,,,,,,,,,,,
14,1970,1970-10-04,3,27.191,BAL,@,BOS,W 14-6,,,,,,,,,,,,,,,,,
15,1970,1970-10-11,4,27.198,BAL,@,HOU,W 24-20,,,,,,,,,,,,,,,,,
16,1970,1970-10-18,5,27.205,BAL,@,NYJ,W 29-22,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
17,1970,1970-10-25,6,27.212,BAL,,BOS,W 27-3,,,,,,,,,,,,,,,,,
18,1970,1970-11-01,7,27.219,BAL,,MIA,W 35-0,0,0,,0,0,0,,0,0,0,,0,0,0,2,28,0
19,1970,1970-11-09,8,27.227,BAL,@,GNB,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,15,0
20,1970,1970-11-15,9,27.233,BAL,,BUF,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
21,1970,1970-11-22,10,27.240,BAL,@,MIA,L 17-34,,,,,,,,,,,,,,,,,
22,1970,1970-11-29,11,27.247,BAL,,CHI,W 21-20,,,,,,,,,,,,,,,,,
23,1970,1970-12-06,12,27.254,BAL,,PHI,W 29-10,,,,,,,,,,,,,,,,,
24,1970,1970-12-13,13,27.261,BAL,@,BUF,W 20-14,,,,,,,,,,,,,,,,,
25,1970,1970-12-19,14,27.267,BAL,,NYJ,W 35-20,,,,,,,,,,,,,,,,,
26,1971,1971-09-19,1,28.176,BAL,,NYJ,W 22-0,,,,,,,,,,,,,,,,,
27,1971,1971-09-26,2,28.183,BAL,,CLE,L 13-14,,,,,,,,,,,,,,,,,
28,1971,1971-10-10,4,28.197,BAL,@,BUF,W 43-0,0,0,,0,0,0,,0,0,0,,0,0,0,2,37,0
29,1971,1971-10-17,5,28.204,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,,,,
30,1971,1971-10-25,6,28.212,BAL,@,MIN,L 3-10,,,,,,,,,,,,,,,,,
31,1971,1971-10-31,7,28.218,BAL,,PIT,W 34-21,,,,,,,,,,,,,,,,,
32,1971,1971-11-08,8,28.226,BAL,,RAM,W 24-17,,,,,,,,,,,,,,,,,
33,1971,1971-11-14,9,28.232,BAL,@,NYJ,W 14-13,,,,,,,,,,,,,,,,,
34,1971,1971-11-21,10,28.239,BAL,@,MIA,L 14-17,,,,,,,,,,,,,,,,,
35,1971,1971-11-28,11,28.246,BAL,@,OAK,W 37-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,7,0
36,1971,1971-12-05,12,28.253,BAL,,BUF,W 24-0,,,,,,,,,,,,,,,,,
37,1971,1971-12-11,13,28.259,BAL,,MIA,W 14-3,,,,,,,,,,,,,,,,,
38,1971,1971-12-19,14,28.267,BAL,,NWE,L 17-21,,,,,,,,,,,,,,,,,
39,1972,1972-09-17,1,29.174,BAL,,STL,L 3-10,,,,,,,,,,,,,,,,,
40,1972,1972-09-24,2,29.181,BAL,,NYJ,L 34-44,,,,,,,,,,,,,,,,,
41,1972,1972-10-01,3,29.188,BAL,@,BUF,W 17-0,,,,,,,,,,,,,,,,,
42,1972,1972-10-08,4,29.195,BAL,,SDG,L 20-23,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
43,1972,1972-10-15,5,29.202,BAL,,DAL,L 0-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,33,0
44,1972,1972-10-22,6,29.209,BAL,@,NYJ,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,19,0
