ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1976,1976-09-12,1,23.105,RAM,@,ATL,W 30-14,0,0,,0,1,26,26.00,0,0,0,,0,0,0
2,1976,1976-09-19,2,23.112,RAM,@,MIN,T 10-10,0,0,,0,2,33,16.50,0,0,0,,0,0,0
3,1976,1976-09-26,3,23.119,RAM,,NYG,W 24-10,0,0,,0,1,18,18.00,0,1,15,15.00,0,0,0
4,1976,1976-10-03,4,23.126,RAM,@,MIA,W 31-28,0,0,,0,3,59,19.67,0,1,0,0.00,0,0,0
5,1976,1976-10-11,5,23.134,RAM,,SFO,L 0-16,0,0,,0,0,0,,0,2,31,15.50,0,0,0
6,1976,1976-10-17,6,23.140,RAM,,CHI,W 20-12,,,,,,,,,,,,,,
7,1976,1976-10-24,7,23.147,RAM,@,NOR,W 16-10,,,,,,,,,,,,,,
8,1976,1976-10-31,8,23.154,RAM,,SEA,W 45-6,,,,,,,,,,,,,,
9,1976,1976-11-08,9,23.162,RAM,@,CIN,L 12-20,,,,,,,,,,,,,,
10,1976,1976-11-14,10,23.168,RAM,,STL,L 28-30,,,,,,,,,,,,,,
11,1976,1976-11-21,11,23.175,RAM,@,SFO,W 23-3,,,,,,,,,,,,,,
12,1976,1976-11-28,12,23.182,RAM,,NOR,W 33-14,1,3,3.00,0,0,0,,0,0,0,,0,0,0
13,1976,1976-12-04,13,23.188,RAM,,ATL,W 59-0,2,102,51.00,1,0,0,,0,0,0,,0,1,6
14,1976,1976-12-11,14,23.195,RAM,@,DET,W 20-17,,,,,,,,,,,,,,
15,1977,1977-09-18,1,24.111,RAM,@,ATL,L 6-17,1,16,16.00,0,0,0,,0,0,0,,0,0,0
16,1977,1977-09-25,2,24.118,RAM,,PHI,W 20-0,,,,,,,,,,,,,,
17,1977,1977-10-02,3,24.125,RAM,,SFO,W 34-14,1,32,32.00,0,0,0,,0,0,0,,0,0,0
18,1977,1977-10-10,4,24.133,RAM,@,CHI,L 23-24,2,41,20.50,1,0,0,,0,0,0,,0,1,6
19,1977,1977-10-16,5,24.139,RAM,,NOR,W 14-7,,,,,,,,,,,,,,
20,1977,1977-10-24,6,24.147,RAM,,MIN,W 35-3,,,,,,,,,,,,,,
21,1977,1977-10-30,7,24.153,RAM,@,NOR,L 26-27,1,15,15.00,0,0,0,,0,0,0,,0,0,0
22,1977,1977-11-06,8,24.160,RAM,,TAM,W 31-0,,,,,,,,,,,,,,
23,1977,1977-11-13,9,24.167,RAM,@,GNB,W 24-6,,,,,,,,,,,,,,
