ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.313,HOU,@,MIA,W 21-20,,,,,
2,2003,2003-09-28,4,23.334,HOU,,JAX,W 24-20,*,,,,
3,2003,2003-10-12,5,23.348,HOU,@,TEN,L 17-38,*,,,,
4,2003,2003-10-19,6,23.355,HOU,,NYJ,L 14-19,,1.0,0,0,0
5,2003,2003-10-26,7,23.362,HOU,@,IND,L 21-30,*,,,,
6,2003,2003-11-02,8,24.004,HOU,,CAR,W 14-10,,,,,
7,2003,2003-11-09,9,24.011,HOU,@,CIN,L 27-34,*,,,,
8,2003,2003-12-14,14,24.046,HOU,@,TAM,L 3-16,,,,,
9,2003,2003-12-21,15,24.053,HOU,,TEN,L 24-27,,,,,
10,2003,2003-12-28,16,24.060,HOU,,IND,L 17-20,,,,,
11,2004,2004-09-12,1,24.319,HOU,,SDG,L 20-27,,,,,
12,2004,2004-09-19,2,24.326,HOU,@,DET,L 16-28,,,,,
13,2004,2004-09-26,3,24.333,HOU,@,KAN,W 24-21,,1.0,0,0,0
14,2004,2004-10-03,4,24.340,HOU,,OAK,W 30-17,,,,,
15,2004,2004-10-10,5,24.347,HOU,,MIN,L 28-34,,,,,
16,2004,2004-10-17,6,24.354,HOU,@,TEN,W 20-10,,,,,
17,2004,2004-10-31,7,25.002,HOU,,JAX,W 20-6,,,,,
18,2004,2004-11-07,8,25.009,HOU,@,DEN,L 13-31,,,,,
19,2004,2004-11-14,9,25.016,HOU,@,IND,L 14-49,,0.0,1,20,0
20,2004,2004-11-28,11,25.030,HOU,,TEN,W 31-21,,1.0,0,0,0
21,2004,2004-12-05,12,25.037,HOU,@,NYJ,L 7-29,,,,,
22,2004,2004-12-12,13,25.044,HOU,,IND,L 14-23,*,,,,
23,2004,2004-12-19,14,25.051,HOU,@,CHI,W 24-5,,,,,
24,2004,2004-12-26,15,25.058,HOU,@,JAX,W 21-0,,,,,
25,2005,2005-09-11,1,25.317,HOU,@,BUF,L 7-22,*,,,,
26,2005,2005-09-18,2,25.324,HOU,,PIT,L 7-27,*,1.0,0,0,0
27,2005,2005-10-02,3,25.338,HOU,@,CIN,L 10-16,*,,,,
28,2005,2005-10-09,4,25.345,HOU,,TEN,L 20-34,*,,,,
29,2005,2005-10-16,5,25.352,HOU,@,SEA,L 10-42,*,1.0,0,0,0
30,2005,2005-10-23,6,25.359,HOU,,IND,L 20-38,*,,,,
31,2005,2005-10-30,7,26.001,HOU,,CLE,W 19-16,*,,,,
32,2005,2005-11-06,8,26.008,HOU,@,JAX,L 14-21,*,,,,
33,2005,2005-11-13,9,26.015,HOU,@,IND,L 17-31,*,1.0,0,0,0
34,2005,2005-11-20,10,26.022,HOU,,KAN,L 17-45,*,,,,
35,2005,2005-11-27,11,26.029,HOU,,STL,L 27-33,*,,,,
36,2005,2005-12-04,12,26.036,HOU,@,BAL,L 15-16,*,1.0,0,0,0
37,2005,2005-12-11,13,26.043,HOU,@,TEN,L 10-13,*,,,,
38,2005,2005-12-18,14,26.050,HOU,,ARI,W 30-19,*,1.0,0,0,0
39,2005,2005-12-24,15,26.056,HOU,,JAX,L 20-38,*,,,,
40,2005,2006-01-01,16,26.064,HOU,@,SFO,L 17-20,*,1.0,0,0,0
41,2006,2006-09-10,1,26.316,HOU,,PHI,L 10-24,,,,,
42,2006,2006-09-17,2,26.323,HOU,@,IND,L 24-43,,,,,
43,2006,2006-10-22,6,26.358,HOU,,JAX,W 27-7,,,,,
44,2006,2006-10-29,7,27.000,HOU,@,TEN,L 22-28,,,,,
45,2006,2006-11-05,8,27.007,HOU,@,NYG,L 10-14,,,,,
46,2006,2006-11-12,9,27.014,HOU,@,JAX,W 13-10,,,,,
47,2006,2006-12-03,12,27.035,HOU,@,OAK,W 23-14,,,,,
48,2006,2006-12-10,13,27.042,HOU,,TEN,L 20-26,,1.0,0,0,0
49,2006,2006-12-17,14,27.049,HOU,@,NWE,L 7-40,,,,,
50,2006,2006-12-24,15,27.056,HOU,,IND,W 27-24,*,,,,
51,2006,2006-12-31,16,27.063,HOU,,CLE,W 14-6,*,,,,
52,2007,2007-09-09,1,27.315,CLE,,PIT,L 7-34,*,0.5,0,0,0
53,2007,2007-09-16,2,27.322,CLE,,CIN,W 51-45,*,,,,
54,2007,2007-09-23,3,27.329,CLE,@,OAK,L 24-26,*,,,,
55,2007,2007-09-30,4,27.336,CLE,,BAL,W 27-13,,,,,
56,2007,2007-10-07,5,27.343,CLE,@,NWE,L 17-34,,,,,
57,2007,2007-10-14,6,27.350,CLE,,MIA,W 41-31,,1.0,0,0,0
58,2007,2007-10-28,7,27.364,CLE,@,STL,W 27-20,,,,,
59,2007,2007-11-04,8,28.006,CLE,,SEA,W 33-30,,,,,
60,2007,2007-11-11,9,28.013,CLE,@,PIT,L 28-31,,1.0,0,0,0
61,2007,2007-11-18,10,28.020,CLE,@,BAL,W 33-30,,,,,
62,2007,2007-11-25,11,28.027,CLE,,HOU,W 27-17,,1.0,0,0,0
63,2007,2007-12-02,12,28.034,CLE,@,ARI,L 21-27,,,,,
64,2007,2007-12-09,13,28.041,CLE,@,NYJ,W 24-18,*,0.5,0,0,0
65,2007,2007-12-23,15,28.055,CLE,@,CIN,L 14-19,*,,,,
