ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-09-04,1,22.361,DEN,@,PIT,W 14-10,1,9,9.00,0,1,42,42.00,0,4,32,8.00,0,0,0
2,1983,1983-09-11,2,23.003,DEN,@,BAL,W 17-10,0,0,,0,0,0,,0,3,55,18.33,0,0,0
3,1983,1983-09-18,3,23.010,DEN,,PHI,L 10-13,0,0,,0,1,23,23.00,0,2,24,12.00,0,0,0
4,1983,1983-09-25,4,23.017,DEN,,RAI,L 7-22,1,10,10.00,0,0,0,,0,2,73,36.50,1,1,6
5,1983,1983-10-02,5,23.024,DEN,@,CHI,L 14-31,2,22,11.00,0,2,27,13.50,0,1,2,2.00,0,0,0
6,1983,1983-10-09,6,23.031,DEN,@,HOU,W 26-14,0,0,,0,2,44,22.00,0,1,2,2.00,0,0,0
7,1983,1983-10-16,7,23.038,DEN,,CIN,W 24-17,0,0,,0,2,58,29.00,0,2,13,6.50,0,0,0
8,1983,1983-10-23,8,23.045,DEN,,SDG,W 14-6,2,34,17.00,0,0,0,,0,3,28,9.33,0,0,0
9,1983,1983-10-30,9,23.052,DEN,,KAN,W 27-24,1,8,8.00,0,1,26,26.00,0,6,67,11.17,0,0,0
10,1983,1983-11-06,10,23.059,DEN,@,SEA,L 19-27,1,19,19.00,0,1,20,20.00,0,2,1,0.50,0,0,0
11,1983,1983-11-13,11,23.066,DEN,@,RAI,L 20-22,0,0,,0,5,90,18.00,0,2,1,0.50,0,0,0
12,1983,1983-11-20,12,23.073,DEN,,SEA,W 38-27,0,0,,0,2,25,12.50,0,0,0,,0,0,0
13,1983,1983-11-27,13,23.080,DEN,@,SDG,L 7-31,0,0,,0,5,112,22.40,0,2,15,7.50,0,0,0
14,1983,1983-12-04,14,23.087,DEN,,CLE,W 27-6,0,0,,0,0,0,,0,0,0,,0,,
15,1983,1983-12-11,15,23.094,DEN,,BAL,W 21-19,3,36,12.00,0,1,22,22.00,0,2,29,14.50,0,0,0
16,1983,1983-12-18,16,23.101,DEN,@,KAN,L 17-48,1,44,44.00,0,5,84,16.80,0,1,26,26.00,0,0,0
17,1984,1984-09-02,1,23.360,DEN,,CIN,W 20-17,0,0,,0,1,22,22.00,0,2,17,8.50,0,0,0
18,1984,1984-09-09,2,24.001,DEN,@,CHI,L 0-27,0,0,,0,3,65,21.67,0,4,27,6.75,0,0,0
19,1984,1984-09-16,3,24.008,DEN,@,CLE,W 24-14,0,0,,0,3,85,28.33,0,2,13,6.50,0,0,0
20,1984,1984-09-23,4,24.015,DEN,,KAN,W 21-0,0,0,,0,0,0,,0,4,22,5.50,0,0,0
21,1984,1984-09-30,5,24.022,DEN,,RAI,W 16-13,,,,,0,0,,0,0,0,,0,,
22,1984,1984-10-07,6,24.029,DEN,@,DET,W 28-7,0,0,,0,1,19,19.00,0,0,0,,0,0,0
23,1984,1984-10-15,7,24.037,DEN,,GNB,W 17-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0
24,1984,1984-10-21,8,24.043,DEN,@,BUF,W 37-7,0,0,,0,0,0,,0,3,16,5.33,0,0,0
25,1984,1984-10-28,9,24.050,DEN,@,RAI,W 22-19,0,0,,0,3,53,17.67,0,2,16,8.00,0,0,0
26,1984,1984-11-04,10,24.057,DEN,,NWE,W 26-19,0,0,,0,3,57,19.00,0,2,7,3.50,0,0,0
27,1984,1984-11-11,11,24.064,DEN,@,SDG,W 16-13,0,0,,0,3,48,16.00,0,0,0,,0,0,0
28,1984,1984-11-18,12,24.071,DEN,,MIN,W 42-21,0,0,,0,1,2,2.00,0,0,0,,0,0,0
29,1984,1984-12-09,15,24.092,TAM,,ATL,W 23-6,,,,,,,,,0,0,,0,,
30,1984,1984-12-16,16,24.099,TAM,,NYJ,W 41-21,0,0,,0,0,0,,0,1,7,7.00,0,0,0
