ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.179,SEA,,STL,W 28-0,,,,,,,0.0%,,,,,,,,,,,,
2,2009,2009-09-20,2,22.186,SEA,@,SFO,L 10-23,,,,,,,0.0%,,,,,,,,,,,,
3,2009,2009-09-27,3,22.193,SEA,,CHI,L 19-25,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0.0,0,0
4,2010,2010-09-12,1,23.178,SEA,,SFO,W 31-6,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0.0,0,0
5,2010,2010-09-26,3,23.192,SEA,,SDG,W 27-20,,,,,,,0.0%,,,,,,,,,,,,
6,2010,2010-10-03,4,23.199,SEA,@,STL,L 3-20,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0.0,0,0
7,2010,2010-10-17,5,23.213,SEA,@,CHI,W 23-20,,,,,,,0.0%,,,,,,,,,,,,
8,2010,2010-10-24,6,23.220,SEA,,ARI,W 22-10,,1,,,,,0.0%,,,,,,,,,,,,
9,2010,2010-10-31,7,23.227,SEA,@,OAK,L 3-33,,,,,,,0.0%,,,,,,,,,,,,
10,2010,2010-11-07,8,23.234,SEA,,NYG,L 7-41,,0,0,0,,0,0.0%,,0,0,,0,2,21,10.50,0,0.0,0,1
11,2010,2010-11-14,9,23.241,SEA,@,ARI,W 36-18,,,,,,,0.0%,,,,,,,,,,,,
12,2010,2010-11-21,10,23.248,SEA,@,NOR,L 19-34,,0,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0.0,0,0
13,2010,2010-11-28,11,23.255,SEA,,KAN,L 24-42,,2,0,0,,0,0.0%,0.00,0,0,,0,1,30,30.00,0,0.0,0,0
14,2010,2010-12-05,12,23.262,SEA,,CAR,W 31-14,,4,3,69,23.00,0,75.0%,17.25,0,0,,0,0,0,,0,0.0,0,0
15,2010,2010-12-12,13,23.269,SEA,@,SFO,L 21-40,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0.0,0,0
16,2010,2010-12-19,14,23.276,SEA,,ATL,L 18-34,*,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0.0,0,0
17,2010,2010-12-26,15,23.283,SEA,@,TAM,L 15-38,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0.0,0,0
18,2010,2011-01-02,16,23.290,SEA,,STL,W 16-6,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0.0,0,0
19,2011,2011-10-23,6,24.219,SEA,@,CLE,L 3-6,*,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0.0,0,0
20,2011,2011-10-30,7,24.226,SEA,,CIN,L 12-34,,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0.0,0,0
21,2011,2011-11-20,10,24.247,SEA,@,STL,W 24-7,,,,,,,0.0%,,,,,,,,,,,,
22,2011,2011-11-27,11,24.254,SEA,,WAS,L 17-23,,,,,,,0.0%,,,,,,,,,,,,
23,2011,2011-12-01,12,24.258,SEA,,PHI,W 31-14,*,,,,,,0.0%,,,,,,,,,,,,
24,2011,2011-12-12,13,24.269,SEA,,STL,W 30-13,*,1,0,0,,0,0.0%,0.00,1,1,1.00,0,0,0,,0,0.0,0,0
25,2011,2011-12-18,14,24.275,SEA,@,CHI,W 38-14,*,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0.0,0,0
26,2011,2011-12-24,15,24.281,SEA,,SFO,L 17-19,,,,,,,0.0%,,,,,,,,,,,,
27,2011,2012-01-01,16,24.289,SEA,@,ARI,L 20-23,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0.0,0,0
