ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-23,3,25.236,BOS,,BUF,L 0-13,2,50,25.00,0,0,0,,0,1,24,24.00,0,1,21,21.00,0,0,0,0,0,0
2,1960,1960-10-08,4,25.251,BOS,@,LAC,W 35-0,0,0,,0,0,0,,0,1,33,33.00,0,0,0,,0,0,0,0,0,0
3,1960,1960-10-23,6,25.266,BOS,@,DEN,L 24-31,1,2,2.00,0,3,0,0.00,0,1,24,24.00,0,0,0,,0,0,0,0,0,0
4,1960,1960-10-28,7,25.271,BOS,,LAC,L 16-45,6,80,13.33,1,3,-4,-1.33,0,4,65,16.25,0,0,0,,0,1,6,0,0,0
5,1961,1961-09-09,1,26.221,BOS,,NYT,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,37,0
6,1961,1961-09-16,2,26.228,BOS,,DEN,W 45-17,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0,0,0
7,1961,1961-10-07,5,26.249,BOS,,SDG,L 27-38,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
8,1964,1964-09-27,3,29.240,CLE,@,PHI,W 28-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0
9,1964,1964-11-15,10,29.289,CLE,,DET,W 37-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,2,65,1
10,1964,1964-11-29,12,29.303,CLE,,PHI,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
11,1965,1965-12-05,12,30.308,CLE,,WAS,W 24-16,,,,,,,,,,,,,,,,,,,0,2,0
12,1966,1966-09-11,1,31.223,CLE,@,WAS,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
