ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-23,1,22.187,RAM,,STL,L 21-43,0,0,1,11,0
2,1960,1960-10-09,3,22.203,RAM,@,CHI,L 27-34,0,0,1,73,0
3,1960,1960-10-23,5,22.217,RAM,,CHI,T 24-24,0,0,1,0,0
4,1960,1960-10-30,6,22.224,RAM,,DET,W 48-35,1,6,1,12,1
5,1960,1960-11-20,9,22.245,RAM,@,GNB,W 33-31,0,0,1,21,0
6,1961,1961-09-17,1,23.181,RAM,@,BAL,L 24-27,0,0,1,0,0
7,1961,1961-10-01,3,23.195,RAM,,PIT,W 24-14,0,0,2,16,0
8,1961,1961-11-26,11,23.251,RAM,@,CHI,L 24-28,0,0,1,0,0
9,1961,1961-12-17,14,23.272,RAM,,GNB,L 17-24,0,0,1,13,0
10,1962,1962-11-25,11,24.250,RAM,@,MIN,T 24-24,0,0,2,50,0
11,1962,1962-12-09,13,24.264,RAM,@,CHI,L 14-30,0,0,1,0,0
12,1963,1963-09-21,2,25.185,RAM,,WAS,L 14-37,0,0,1,45,0
