ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-10-28,7,22.206,NYG,@,STL,L 27-35,,,,,,,,
2,1973,1973-11-25,11,22.234,NYG,@,PHI,L 16-20,,,,,,,,
3,1973,1973-12-02,12,22.241,NYG,@,WAS,L 24-27,,,,,,,,
4,1973,1973-12-10,13,22.249,NYG,@,RAM,L 6-40,,,,,,,,
5,1973,1973-12-16,14,22.255,NYG,,MIN,L 7-31,,,,,,,,
6,1974,1974-09-15,1,23.163,NYG,,WAS,L 10-13,0,0,,0,0.0,1,9,0
7,1974,1974-09-22,2,23.170,NYG,,NWE,L 20-28,,,,,,,,
8,1974,1974-09-29,3,23.177,NYG,@,DAL,W 14-6,,,,,,,,
9,1974,1974-10-13,5,23.191,NYG,@,PHI,L 7-35,,,,,,,,
10,1974,1974-10-20,6,23.198,NYG,@,WAS,L 3-24,,,,,,,,
11,1974,1974-10-27,7,23.205,NYG,,DAL,L 7-21,,,,,,,,
12,1974,1974-11-03,8,23.212,NYG,@,KAN,W 33-27,,,,,,,,
13,1974,1974-11-10,9,23.219,NYG,,NYJ,L 20-26,,,,,,,,
14,1974,1974-11-17,10,23.226,NYG,@,DET,L 19-20,0,0,,0,0.0,1,13,0
15,1974,1974-12-01,12,23.240,NYG,@,CHI,L 13-16,,,,,,,,
16,1974,1974-12-08,13,23.247,NYG,,PHI,L 7-20,,,,,,,,
17,1974,1974-12-15,14,23.254,NYG,@,STL,L 14-26,,,,,,,,
18,1975,1975-09-21,1,24.169,NYG,@,PHI,W 23-14,,,,,,,,
19,1975,1975-09-28,2,24.176,NYG,@,WAS,L 13-49,0,0,,0,0.0,1,3,0
20,1975,1975-10-05,3,24.183,NYG,@,STL,L 14-26,,,,,,,,
21,1975,1975-10-12,4,24.190,NYG,,DAL,L 7-13,,,,,,,,
22,1975,1975-10-20,5,24.198,NYG,@,BUF,W 17-14,,,,,,,,
23,1975,1975-10-25,6,24.203,NYG,,STL,L 13-20,,,,,,,,
24,1975,1975-11-01,7,24.210,NYG,,SDG,W 35-24,,,,,,,,
25,1975,1975-11-09,8,24.218,NYG,,WAS,L 13-21,0,0,,0,0.0,1,5,0
26,1975,1975-11-16,9,24.225,NYG,,PHI,L 10-13,,,,,,,,
27,1975,1975-11-23,10,24.232,NYG,@,GNB,L 14-40,,,,,,,,
