ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-10-01,4,23.146,TEN,,NYG,W 28-14,,,,,,,0.0%,,,,,
2,2000,2000-10-08,5,23.153,TEN,@,CIN,W 23-14,,0,,,,,0.0%,,,,,
3,2000,2000-10-16,6,23.161,TEN,,JAX,W 27-13,,0,0,0,,0,0.0%,,1,27,27.00,0
4,2000,2000-10-22,7,23.167,TEN,@,BAL,W 14-6,,,,,,,0.0%,,,,,
5,2000,2000-10-30,8,23.175,TEN,@,WAS,W 27-21,,0,,,,,0.0%,,,,,
6,2000,2000-11-05,9,23.181,TEN,,PIT,W 9-7,,,,,,,0.0%,,,,,
7,2000,2000-11-12,10,23.188,TEN,,BAL,L 23-24,,0,0,0,,0,0.0%,,1,27,27.00,0
8,2000,2000-11-19,11,23.195,TEN,,CLE,W 24-10,,0,,,,,0.0%,,,,,
9,2000,2000-11-26,12,23.202,TEN,@,JAX,L 13-16,,0,,,,,0.0%,,,,,
10,2000,2000-12-03,13,23.209,TEN,@,PHI,W 15-13,,,,,,,0.0%,,,,,
11,2000,2000-12-10,14,23.216,TEN,,CIN,W 35-3,,0,,,,,0.0%,,,,,
12,2000,2000-12-17,15,23.223,TEN,@,CLE,W 24-0,,,,,,,0.0%,,,,,
13,2000,2000-12-25,16,23.231,TEN,,DAL,W 31-0,,,,,,,0.0%,,,,,
14,2001,2001-09-09,1,24.124,TEN,,MIA,L 23-31,,,,,,,0.0%,,,,,
15,2001,2001-09-23,2,24.138,TEN,@,JAX,L 6-13,,2,1,19,19.00,0,50.0%,9.50,0,11,,0
16,2001,2001-10-07,3,24.152,TEN,@,BAL,L 7-26,,0,0,0,,0,0.0%,,6,136,22.67,0
17,2001,2001-10-14,4,24.159,TEN,,TAM,W 31-28,,0,0,0,,0,0.0%,,1,18,18.00,0
18,2001,2001-10-21,5,24.166,TEN,@,DET,W 27-24,,1,0,0,,0,0.0%,0.00,4,86,21.50,0
19,2001,2001-10-29,6,24.174,TEN,@,PIT,L 7-34,,,,,,,0.0%,,,,,
20,2001,2001-11-04,7,24.180,TEN,,JAX,W 28-24,,0,,,,,0.0%,,,,,
21,2001,2001-11-12,8,24.188,TEN,,BAL,L 10-16,,,,,,,0.0%,,,,,
22,2001,2001-11-18,9,24.194,TEN,@,CIN,W 20-7,,,,,,,0.0%,,,,,
23,2001,2001-11-25,10,24.201,TEN,,PIT,L 24-34,,,,,,,0.0%,,,,,
24,2001,2001-12-02,11,24.208,TEN,@,CLE,W 31-15,,,,,,,0.0%,,,,,
25,2001,2001-12-09,12,24.215,TEN,@,MIN,L 24-42,,1,,,,,0.0%,,,,,
26,2001,2001-12-16,13,24.222,TEN,,GNB,W 26-20,,,,,,,0.0%,,,,,
27,2001,2001-12-22,14,24.228,TEN,@,OAK,W 13-10,,,,,,,0.0%,,,,,
28,2001,2001-12-30,15,24.236,TEN,,CLE,L 38-41,,,,,,,0.0%,,,,,
29,2001,2002-01-06,16,24.243,TEN,,CIN,L 21-23,,,,,,,0.0%,,,,,
