ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2014,2014-10-05,5,23.335,SDG,,NYJ,W 31-0,,0,0,,0,0,0,,0,0.0,2,1
2,2014,2014-10-12,6,23.342,SDG,@,OAK,W 31-28,,,,,,,,,,,,
3,2014,2014-10-19,7,23.349,SDG,,KAN,L 20-23,,0,0,,0,0,0,,0,0.0,0,0
4,2014,2014-10-23,8,23.353,SDG,@,DEN,L 21-35,,0,0,,0,0,0,,0,0.0,1,0
5,2014,2014-11-02,9,23.363,SDG,@,MIA,L 0-37,*,4,116,29.00,0,0,0,,0,0.0,6,1
6,2014,2014-11-16,10,24.012,SDG,,OAK,W 13-6,,1,25,25.00,0,0,0,,0,0.0,0,0
7,2014,2014-11-23,11,24.019,SDG,,STL,W 27-24,,2,43,21.50,0,0,0,,0,0.0,1,0
8,2014,2014-11-30,12,24.026,SDG,@,BAL,W 34-33,,2,48,24.00,0,0,0,,0,0.0,0,0
9,2014,2014-12-07,13,24.033,SDG,,NWE,L 14-23,,1,25,25.00,0,0,0,,0,0.0,1,0
10,2014,2014-12-14,14,24.040,SDG,,DEN,L 10-22,,2,47,23.50,0,0,0,,0,0.0,0,0
11,2014,2014-12-20,15,24.046,SDG,@,SFO,W 38-35,,4,106,26.50,0,0,0,,0,0.0,0,0
12,2014,2014-12-28,16,24.054,SDG,@,KAN,L 7-19,,3,66,22.00,0,1,4,4.00,0,0.0,2,0
13,2015,2015-11-08,9,25.004,SFO,,ATL,W 17-16,,0,0,,0,0,0,,0,0.0,1,0
14,2015,2015-11-22,10,25.018,SFO,@,SEA,L 13-29,,0,0,,0,0,0,,0,0.0,0,0
15,2015,2016-01-03,16,25.060,SFO,,STL,W 19-16,,0,0,,0,0,0,,0,0.0,0,0
16,2016,2016-09-18,2,25.319,SFO,@,CAR,L 27-46,,2,49,24.50,0,0,0,,0,0.0,0,1
17,2016,2016-09-25,3,25.326,SFO,@,SEA,L 18-37,*,1,26,26.00,0,0,0,,0,0.0,0,0
18,2016,2016-10-02,4,25.333,SFO,,DAL,L 17-24,,1,23,23.00,0,0,0,,0,0.5,0,1
19,2016,2016-10-06,5,25.337,SFO,,ARI,L 21-33,,2,31,15.50,0,0,0,,0,0.0,0,0
