ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,23.134,SDG,@,HOU,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,4,102,25.50,0,0,0,,0,,,,,,,,0,0,0.0,,
2,2004,2004-09-26,3,23.148,MIA,,PIT,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,3,66,22.00,0,2,20,10.00,0,,,,,,,,0,0,0.0,,
3,2004,2004-10-03,4,23.155,MIA,,NYJ,L 9-17,,0,0,0,,0,0.0%,,0,0,,0,4,90,22.50,0,1,8,8.00,0,,,,,,,,0,0,0.0,,
4,2004,2004-10-10,5,23.162,MIA,@,NWE,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,5,101,20.20,0,5,41,8.20,0,1,1,100.0,1,1,100.0,,0,4,0.0,,
5,2004,2004-10-17,6,23.169,MIA,@,BUF,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,4,80,20.00,0,1,5,5.00,0,,,,,,,,0,0,0.0,,
6,2004,2004-10-24,7,23.176,MIA,,STL,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,3,40,13.33,0,4,31,7.75,0,,,,,,,,0,0,0.0,,
7,2004,2004-11-01,8,23.184,MIA,@,NYJ,L 14-41,,0,0,0,,0,0.0%,,0,0,,0,6,117,19.50,0,2,9,4.50,0,,,,,,,,0,0,0.0,,
8,2004,2004-11-07,9,23.190,MIA,,ARI,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,4,33,8.25,0,,,,,,,,0,0,0.0,,
9,2004,2004-11-21,10,23.204,MIA,@,SEA,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,4,91,22.75,0,3,33,11.00,0,,,,,,,,0,0,0.0,,
10,2004,2004-11-28,11,23.211,MIA,@,SFO,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,2,31,15.50,0,5,72,14.40,0,,,,,,,,0,0,0.0,,
11,2004,2004-12-05,12,23.218,MIA,,BUF,L 32-42,,0,0,0,,0,0.0%,,0,0,,0,6,158,26.33,0,6,51,8.50,0,,,,,,,,0,0,0.0,,
12,2004,2004-12-12,13,23.225,MIA,@,DEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,4,97,24.25,0,2,9,4.50,0,,,,,,,,0,0,0.0,,
13,2004,2004-12-20,14,23.233,MIA,,NWE,W 29-28,,0,0,0,,0,0.0%,,0,0,,0,5,139,27.80,0,2,87,43.50,0,,,,,,,,0,0,0.0,,
14,2004,2004-12-26,15,23.239,MIA,,CLE,W 10-7,,0,0,0,,0,0.0%,,0,0,,0,2,48,24.00,0,3,37,12.33,0,,,,,,,,0,0,0.0,,
15,2004,2005-01-02,16,23.246,MIA,@,BAL,L 23-30,,0,0,0,,0,0.0%,,0,0,,0,7,210,30.00,1,3,28,9.33,0,,,,,,,,1,6,0.0,,
16,2005,2005-09-11,1,24.133,MIA,,DEN,W 34-10,,4,4,60,15.00,0,100.0%,15.00,0,0,,0,2,51,25.50,0,4,64,16.00,0,,,,,,,,0,0,0.0,,
17,2005,2005-09-18,2,24.140,MIA,@,NYJ,L 7-17,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,4,73,18.25,0,5,26,5.20,0,,,,,,,,0,0,0.0,,
18,2005,2005-09-25,3,24.147,MIA,,CAR,W 27-24,,1,0,0,,0,0.0%,0.00,1,5,5.00,0,4,80,20.00,0,1,4,4.00,0,,,,,,,,0,0,0.0,,
19,2005,2005-10-09,4,24.161,MIA,@,BUF,L 14-20,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,4,93,23.25,0,5,33,6.60,0,,,,,,,,0,0,0.0,,
20,2005,2005-10-16,5,24.168,MIA,@,TAM,L 13-27,,4,3,97,32.33,0,75.0%,24.25,0,0,,0,6,130,21.67,0,4,70,17.50,0,,,,,,,,0,0,0.0,,
21,2005,2005-10-21,6,24.173,MIA,,KAN,L 20-30,,4,2,41,20.50,0,50.0%,10.25,0,0,,0,7,162,23.14,0,2,55,27.50,0,,,,,,,,0,0,0.0,,
22,2005,2005-10-30,7,24.182,MIA,@,NOR,W 21-6,,5,3,17,5.67,0,60.0%,3.40,0,0,,0,4,67,16.75,0,1,11,11.00,0,,,,,,,,0,0,0.0,,
23,2005,2005-11-06,8,24.189,MIA,,ATL,L 10-17,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,3,56,18.67,0,1,0,0.00,0,,,,,,,,0,0,0.0,,
24,2005,2005-11-13,9,24.196,MIA,,NWE,L 16-23,,4,2,61,30.50,0,50.0%,15.25,0,0,,0,4,112,28.00,0,3,13,4.33,0,,,,,,,,0,0,0.0,,
25,2005,2005-11-20,10,24.203,MIA,@,CLE,L 0-22,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,4,79,19.75,0,2,23,11.50,0,,,,,,,,0,0,0.0,,
26,2005,2005-11-27,11,24.210,MIA,@,OAK,W 33-21,*,1,1,16,16.00,0,100.0%,16.00,0,0,,0,5,141,28.20,0,0,0,,0,,,,,,,,0,0,0.0,,
