ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
19,1979,1979-10-14,7,24.061,HOU,@,BAL,W 28-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1979,1979-10-21,8,24.068,HOU,@,SEA,L 14-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1979,1979-10-28,9,24.075,HOU,,NYJ,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1979,1979-11-05,10,24.083,HOU,@,MIA,W 9-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1979,1979-11-11,11,24.089,HOU,,OAK,W 31-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1979,1979-11-18,12,24.096,HOU,,CIN,W 42-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1979,1979-11-22,13,24.100,HOU,@,DAL,W 30-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1979,1979-12-02,14,24.110,HOU,@,CLE,L 7-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1979,1979-12-10,15,24.118,HOU,,PIT,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1979,1979-12-16,16,24.124,HOU,,PHI,L 20-26,,0,0,,0,0,0,,0,0,,,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
29,1980,1980-11-23,12,25.101,HOU,@,NYJ,L 28-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1980,1980-11-30,13,25.108,HOU,,CLE,L 14-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1980,1980-12-04,14,25.112,HOU,,PIT,W 6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1980,1980-12-21,16,25.129,NOR,,NWE,L 27-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1981,1981-09-06,1,26.023,NOR,@,ATL,L 0-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,4,4.00,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0,0,,0
34,1981,1981-09-13,2,26.030,NOR,,RAM,W 23-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,
35,1981,1981-09-20,3,26.037,NOR,@,NYG,L 7-20,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,
36,1981,1981-09-27,4,26.044,NOR,@,SFO,L 14-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,
37,1981,1981-10-04,5,26.051,NOR,,PIT,L 6-20,,0,0,,0,0,0,,0,,,,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
38,1981,1981-10-11,6,26.058,NOR,,PHI,L 14-31,,0,0,,0,0,0,,0,,,,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
39,1981,1981-10-18,7,26.065,NOR,@,CLE,L 17-20,,0,0,,0,0,0,,0,,,,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
40,1981,1981-10-25,8,26.072,NOR,,CIN,W 17-7,,1,1,100.00,20,0,0,118.7,0,0,20.00,20.00,4,47,11.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
41,1981,1981-11-01,9,26.079,NOR,,ATL,L 10-41,,0,0,,0,0,0,,0,,,,4,85,21.25,1,1,-3,-3.00,0,0,0,,0,0,0,,0,1,6,0,0,,0
42,1981,1981-11-08,10,26.086,NOR,@,RAM,W 21-13,,0,0,,0,0,0,,0,,,,2,67,33.50,0,0,0,,0,0,0,,0,1,-12,-12.00,0,0,0,0,0,,0
43,1981,1981-11-15,11,26.093,NOR,@,MIN,L 10-20,,0,0,,0,0,0,,0,,,,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
44,1981,1981-11-22,12,26.100,NOR,@,HOU,W 27-24,,0,0,,0,0,0,,0,,,,1,35,35.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
45,1981,1981-11-29,13,26.107,NOR,,TAM,L 14-31,,0,0,,0,0,0,,0,,,,4,57,14.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
46,1981,1981-12-06,14,26.114,NOR,@,STL,L 3-30,,0,0,,0,0,0,,0,,,,2,22,11.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
47,1981,1981-12-13,15,26.121,NOR,,GNB,L 7-35,,0,0,,0,0,0,,0,,,,3,67,22.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
48,1981,1981-12-20,16,26.128,NOR,,SFO,L 17-21,,0,0,,0,0,0,,0,,,,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
49,1982,1982-09-12,1,27.029,NOR,,STL,L 7-21,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,,,,
50,1982,1982-09-19,2,27.036,NOR,@,CHI,W 10-0,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,,,,
51,1982,1982-11-21,3,27.099,NOR,,KAN,W 27-17,,1,1,100.00,15,1,0,158.3,0,0,15.00,35.00,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
52,1982,1982-11-28,4,27.106,NOR,@,SFO,W 23-20,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,,,,
53,1982,1982-12-05,5,27.113,NOR,,TAM,L 10-13,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,,,,
54,1982,1982-12-12,6,27.120,NOR,@,ATL,L 0-35,,4,14,28.57,13,0,0,39.6,2,15,0.93,0.93,0,0,,0,2,8,4.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
55,1982,1982-12-19,7,27.127,NOR,@,DAL,L 7-21,,4,10,40.00,54,0,1,18.3,1,7,5.40,0.90,0,0,,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
56,1982,1982-12-26,8,27.134,NOR,,WAS,L 10-27,*,9,24,37.50,104,0,1,34.0,5,27,4.33,2.46,0,0,,0,4,31,7.75,0,0,0,,0,0,0,,0,0,0,0,0,,0
57,1982,1983-01-02,9,27.141,NOR,,ATL,W 35-6,,0,0,,0,0,0,,0,,,,0,0,,0,2,-2,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
58,1983,1983-09-04,1,28.021,NOR,,STL,W 28-17,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
59,1983,1983-09-11,2,28.028,NOR,@,RAM,L 27-30,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
60,1983,1983-09-18,3,28.035,NOR,,CHI,W 34-31,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
61,1983,1983-09-25,4,28.042,NOR,@,DAL,L 20-21,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
62,1983,1983-10-02,5,28.049,NOR,,MIA,W 17-7,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
63,1983,1983-10-09,6,28.056,NOR,@,ATL,W 19-17,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
64,1983,1983-10-16,7,28.063,NOR,,SFO,L 13-32,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
65,1983,1983-10-23,8,28.070,NOR,@,TAM,W 24-21,,0,0,,0,0,0,,,,,,0,0,,0,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
66,1983,1983-10-30,9,28.077,NOR,@,BUF,L 21-27,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
67,1983,1983-11-06,10,28.084,NOR,,ATL,W 27-10,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
68,1983,1983-11-13,11,28.091,NOR,@,SFO,L 0-27,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
69,1983,1983-11-21,12,28.099,NOR,,NYJ,L 28-31,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
70,1983,1983-11-27,13,28.105,NOR,,MIN,W 17-16,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
71,1983,1983-12-04,14,28.112,NOR,@,NWE,L 0-7,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
72,1983,1983-12-11,15,28.119,NOR,@,PHI,W 20-17,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
73,1983,1983-12-18,16,28.126,NOR,,RAM,L 24-26,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,4,144,36.00,0
74,1984,1984-09-02,1,29.019,NOR,,ATL,L 28-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1984,1984-09-09,2,29.026,NOR,,TAM,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1984,1984-09-16,3,29.033,NOR,@,SFO,L 20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1984,1984-09-23,4,29.040,NOR,,STL,W 34-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1984,1984-09-30,5,29.047,NOR,@,HOU,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1984,1984-10-07,6,29.054,NOR,@,CHI,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1984,1984-10-14,7,29.061,NOR,,RAM,L 10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1984,1984-10-21,8,29.068,NOR,@,DAL,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1984,1984-10-28,9,29.075,NOR,@,CLE,W 16-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1984,1984-11-04,10,29.082,NOR,,GNB,L 13-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1984,1984-11-11,11,29.089,NOR,@,ATL,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1984,1984-11-19,12,29.097,NOR,,PIT,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1984,1984-11-25,13,29.103,NOR,,SFO,L 3-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1984,1984-12-02,14,29.110,NOR,@,RAM,L 21-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1984,1984-12-09,15,29.117,NOR,,CIN,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1984,1984-12-15,16,29.123,NOR,@,NYG,W 10-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1985,1985-09-08,1,30.025,NOR,,KAN,L 27-47,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
91,1985,1985-09-15,2,30.032,NOR,@,DEN,L 23-34,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
92,1985,1985-09-22,3,30.039,NOR,,TAM,W 20-13,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
93,1985,1985-09-29,4,30.046,NOR,@,SFO,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
94,1985,1985-10-06,5,30.053,NOR,,PHI,W 23-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
95,1985,1985-10-13,6,30.060,NOR,@,RAI,L 13-23,,0,0,,0,0,0,,0,,,,1,39,39.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
96,1985,1985-10-20,7,30.067,NOR,@,ATL,L 24-31,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
97,1985,1985-10-27,8,30.074,NOR,,NYG,L 13-21,,0,0,,0,0,0,,0,,,,1,10,10.00,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
98,1985,1985-11-03,9,30.081,NOR,@,RAM,L 10-28,,0,0,,0,0,0,,0,,,,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
99,1985,1985-11-10,10,30.088,NOR,,SEA,L 3-27,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
100,1985,1985-11-17,11,30.095,NOR,@,GNB,L 14-38,,1,1,100.00,7,1,0,135.4,0,0,7.00,27.00,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
101,1985,1985-11-24,12,30.102,NOR,@,MIN,W 30-23,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
102,1985,1985-12-01,13,30.109,NOR,,RAM,W 29-3,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
103,1985,1985-12-08,14,30.116,NOR,@,STL,L 16-28,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
104,1985,1985-12-15,15,30.123,NOR,,SFO,L 19-31,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
105,1985,1985-12-22,16,30.130,NOR,,ATL,L 10-16,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,,0,,,,,0,,,,,
106,1987,1987-10-04,3,32.051,PHI,,CHI,L 3-35,,7,14,50.00,70,0,0,64.6,10,62,5.00,5.00,0,0,,0,3,-8,-2.67,0,0,0,,0,0,0,,0,0,0,2,61,30.50,1
107,1987,1987-10-11,4,32.058,PHI,@,DAL,L 22-41,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
108,1987,1987-10-18,5,32.065,PHI,@,GNB,L 10-16,,0,0,,0,0,0,,0,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,
