ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-10-01,5,23.048,HOU,@,CLE,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1978,1978-10-08,6,23.055,HOU,@,OAK,L 17-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1978,1978-10-15,7,23.062,HOU,,BUF,W 17-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,24,8.00,0,0,0,0,0,,0
4,1978,1978-10-23,8,23.070,HOU,@,PIT,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1978,1978-10-29,9,23.076,HOU,@,CIN,L 13-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1978,1978-11-05,10,23.083,HOU,,CLE,W 14-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,1,0.33,0,0,0,0,0,,0
7,1978,1978-11-12,11,23.090,HOU,@,NWE,W 26-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1978,1978-11-20,12,23.098,HOU,,MIA,W 35-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,3,26,8.67,0,0,0,0,0,,0
9,1978,1978-11-26,13,23.104,HOU,,CIN,W 17-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,4,81,20.25,0,0,0,0,0,,0
10,1978,1978-12-03,14,23.111,HOU,,PIT,L 3-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1978,1978-12-10,15,23.118,HOU,@,NOR,W 17-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1978,1978-12-17,16,23.125,HOU,,SDG,L 24-45,,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
13,1979,1979-09-02,1,24.019,HOU,@,WAS,W 29-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,9,9.00,0,1,0,0.00,0,0,0,0,0,,0
14,1979,1979-09-09,2,24.026,HOU,@,PIT,L 7-38,,0,0,,0,0,0,,0,0,,,1,9,9.00,1,0,0,,0,1,13,13.00,0,0,0,,0,1,6,0,0,,0
15,1979,1979-09-16,3,24.033,HOU,,KAN,W 20-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,,0
16,1979,1979-09-23,4,24.040,HOU,@,CIN,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1979,1979-09-30,5,24.047,HOU,,CLE,W 31-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1979,1979-10-07,6,24.054,HOU,,STL,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
