ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2017,2017-09-10,1,22.046,CHI,,ATL,L 17-23,,5,66,13.20,0,12,8,47,5.88,1,66.7%,3.92,0,0,,0,0,0,,0,0,,,0,0,,0,3,45,15.00,0,1,6
2,2017,2017-09-17,2,22.053,CHI,@,TAM,L 7-29,*,7,13,1.86,0,9,8,55,6.88,0,88.9%,6.11,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0
3,2017,2017-09-24,3,22.060,CHI,,PIT,W 23-17,,12,78,6.50,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0
4,2017,2017-09-28,4,22.064,CHI,@,GNB,L 14-35,,6,24,4.00,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0
5,2017,2017-10-09,5,22.075,CHI,,MIN,L 17-20,,6,13,2.17,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,0,0,,0,0,,,1,14,14.00,0,4,25,6.25,0,0,0
6,2017,2017-10-15,6,22.081,CHI,@,BAL,W 27-24,,14,32,2.29,0,3,1,14,14.00,0,33.3%,4.67,1,1,100.00,21,1,0,158.3,0,0,21.00,41.00,3,67,22.33,0,2,37,18.50,0,0,0
7,2017,2017-10-22,7,22.088,CHI,,CAR,W 17-3,,0,0,,0,3,1,70,70.00,0,33.3%,23.33,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,6.00,0,0,0
8,2017,2017-10-29,8,22.095,CHI,@,NOR,L 12-20,,4,2,0.50,1,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,1,46,46.00,0,1,-1,-1.00,0,1,6
9,2017,2017-11-12,9,22.109,CHI,,GNB,L 16-23,,1,1,1.00,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,,,4,95,23.75,0,1,8,8.00,0,0,0
10,2017,2017-11-19,10,22.116,CHI,,DET,L 24-27,*,9,44,4.89,1,6,4,15,3.75,0,66.7%,2.50,0,0,,0,0,0,,0,0,,,5,120,24.00,0,2,12,6.00,0,1,6
11,2017,2017-11-26,11,22.123,CHI,@,PHI,L 3-31,,2,-11,-5.50,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,0,0
12,2017,2017-12-03,12,22.130,CHI,,SFO,L 14-15,*,2,5,2.50,0,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,0,0,,,1,2,2.00,0,2,68,34.00,1,1,6
13,2017,2017-12-10,13,22.137,CHI,@,CIN,W 33-7,,12,80,6.67,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,2,39,19.50,0,2,7,3.50,0,0,0
14,2017,2017-12-16,14,22.143,CHI,@,DET,L 10-20,*,2,1,0.50,0,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,,,3,62,20.67,0,1,2,2.00,0,0,0
15,2017,2017-12-24,15,22.151,CHI,,CLE,W 20-3,,2,9,4.50,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,3,27,9.00,0,0,0
16,2017,2017-12-31,16,22.158,CHI,@,MIN,L 10-23,,3,13,4.33,0,8,6,14,2.33,0,75.0%,1.75,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,67,22.33,0,1,13,13.00,0,0,0
17,2018,2018-09-09,1,23.045,CHI,@,GNB,L 23-24,*,5,25,5.00,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,45,22.50,0,0,0
18,2018,2018-09-17,2,23.053,CHI,,SEA,W 24-17,,4,8,2.00,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,4,58,14.50,0,0,0
19,2018,2018-09-23,3,23.059,CHI,@,ARI,W 16-14,*,5,53,10.60,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,0,0
