ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-11-10,10,22.072,CHI,,DET,W 24-3,0,0,,0,1,11,11.00,0,0,0
2,1985,1985-11-17,11,22.079,CHI,@,DAL,W 44-0,0,0,,0,5,23,4.60,0,0,0
3,1985,1985-11-24,12,22.086,CHI,,ATL,W 36-0,0,0,,0,2,14,7.00,0,0,0
4,1985,1985-12-02,13,22.094,CHI,@,MIA,L 24-38,0,0,,0,2,22,11.00,0,0,0
5,1985,1985-12-08,14,22.100,CHI,,IND,W 17-10,0,0,,0,3,40,13.33,0,0,0
6,1985,1985-12-14,15,22.106,CHI,@,NYJ,W 19-6,0,0,,0,3,25,8.33,0,0,0
7,1985,1985-12-22,16,22.114,CHI,@,DET,W 37-17,0,0,,0,1,23,23.00,0,0,0
8,1986,1986-09-07,1,23.008,CHI,,CLE,W 41-31,0,0,,0,,,,,,
9,1986,1986-09-14,2,23.015,CHI,,PHI,W 13-10,0,0,,0,,,,,,
10,1986,1986-09-22,3,23.023,CHI,@,GNB,W 25-12,2,51,25.50,1,0,0,,0,1,6
11,1986,1986-09-28,4,23.029,CHI,@,CIN,W 44-7,1,12,12.00,0,0,0,,0,0,0
12,1986,1986-10-05,5,23.036,CHI,,MIN,W 23-0,6,157,26.17,1,0,0,,0,1,6
13,1986,1986-10-12,6,23.043,CHI,@,HOU,W 20-7,2,47,23.50,0,0,0,,0,0,0
14,1986,1986-10-19,7,23.050,CHI,@,MIN,L 7-23,4,51,12.75,0,0,0,,0,0,0
15,1986,1986-10-26,8,23.057,CHI,,DET,W 13-7,2,27,13.50,0,0,0,,0,0,0
16,1986,1986-11-03,9,23.065,CHI,,RAM,L 17-20,3,34,11.33,0,0,0,,0,0,0
17,1986,1986-11-09,10,23.071,CHI,@,TAM,W 23-3,1,19,19.00,0,0,0,,0,0,0
18,1986,1986-11-16,11,23.078,CHI,@,ATL,W 13-10,0,0,,0,,,,,,
19,1986,1986-11-23,12,23.085,CHI,,GNB,W 12-10,0,0,,0,,,,,,
20,1986,1986-11-30,13,23.092,CHI,,PIT,W 13-10,2,32,16.00,0,0,0,,0,0,0
21,1986,1986-12-07,14,23.099,CHI,,TAM,W 48-14,0,0,,0,,,,,,
22,1986,1986-12-15,15,23.107,CHI,@,DET,W 16-13,0,0,,0,,,,,,
23,1986,1986-12-21,16,23.113,CHI,@,DAL,W 24-10,0,0,,0,,,,,,
24,1987,1987-09-14,1,24.015,CHI,,NYG,W 34-19,,,,,,,,,,
25,1987,1987-09-20,2,24.021,CHI,,TAM,W 20-3,,,,,,,,,,
26,1987,1987-11-08,8,24.070,CHI,@,GNB,W 26-24,,,,,,,,,,
27,1987,1987-11-16,9,24.078,CHI,@,DEN,L 29-31,,,,,,,,,,
28,1987,1987-11-29,11,24.091,CHI,,GNB,W 23-10,,,,,,,,,,
29,1987,1987-12-06,12,24.098,CHI,@,MIN,W 30-24,,,,,,,,,,
30,1987,1987-12-14,13,24.106,CHI,@,SFO,L 0-41,,,,,,,,,,
31,1987,1987-12-27,15,24.119,CHI,@,RAI,W 6-3,,,,,,,,,,
