ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1970,1970-09-20,1,22.076,KAN,@,MIN,L 10-27,0,0,,0,1,12,12.00,0
2,1970,1970-09-28,2,22.084,KAN,@,BAL,W 44-24,,,,,,,,
3,1970,1970-10-04,3,22.090,KAN,@,DEN,L 13-26,,,,,,,,
4,1970,1970-10-11,4,22.097,KAN,,BOS,W 23-10,,,,,,,,
5,1970,1970-10-18,5,22.104,KAN,@,CIN,W 27-19,,,,,,,,
6,1970,1970-10-25,6,22.111,KAN,,DAL,L 16-27,,,,,,,,
7,1970,1970-11-01,7,22.118,KAN,,OAK,T 17-17,,,,,,,,
8,1970,1970-11-08,8,22.125,KAN,,HOU,W 24-9,,,,,,,,
9,1970,1970-11-15,9,22.132,KAN,@,PIT,W 31-14,,,,,,,,
10,1970,1970-11-22,10,22.139,KAN,,STL,T 6-6,,,,,,,,
11,1970,1970-11-29,11,22.146,KAN,,SDG,W 26-14,,,,,,,,
12,1970,1970-12-06,12,22.153,KAN,,DEN,W 16-0,,,,,,,,
13,1970,1970-12-12,13,22.159,KAN,@,OAK,L 6-20,,,,,,,,
14,1970,1970-12-20,14,22.167,KAN,@,SDG,L 13-31,,,,,,,,
15,1971,1971-09-19,1,23.075,KAN,@,SDG,L 14-21,,,,,,,,
16,1971,1971-09-26,2,23.082,KAN,@,HOU,W 20-16,,,,,,,,
17,1971,1971-10-03,3,23.089,KAN,@,DEN,W 16-3,,,,,,,,
18,1971,1971-10-10,4,23.096,KAN,,SDG,W 31-10,,,,,,,,
19,1971,1971-10-18,5,23.104,KAN,,PIT,W 38-16,,,,,,,,
20,1971,1971-10-24,6,23.110,KAN,,WAS,W 27-20,,,,,,,,
21,1971,1971-10-31,7,23.117,KAN,@,OAK,T 20-20,,,,,,,,
22,1971,1971-11-07,8,23.124,KAN,@,NYJ,L 10-13,,,,,,,,
23,1971,1971-11-14,9,23.131,KAN,,CLE,W 13-7,,,,,,,,
24,1971,1971-11-21,10,23.138,KAN,,DEN,W 28-10,,,,,,,,
25,1971,1971-11-25,11,23.142,KAN,@,DET,L 21-32,,,,,,,,
26,1971,1971-12-06,12,23.153,KAN,@,SFO,W 26-17,1,12,12.00,0,0,0,,0
27,1971,1971-12-12,13,23.159,KAN,,OAK,W 16-14,,,,,,,,
28,1971,1971-12-19,14,23.166,KAN,,BUF,W 22-9,,,,,,,,
29,1972,1972-09-17,1,24.073,KAN,,MIA,L 10-20,,,,,,,,
30,1972,1972-09-25,2,24.081,KAN,@,NOR,W 20-17,,,,,,,,
31,1972,1972-10-01,3,24.087,KAN,@,DEN,W 45-24,,,,,,,,
32,1972,1972-10-08,4,24.094,KAN,@,CLE,W 31-7,,,,,,,,
33,1972,1972-10-15,5,24.101,KAN,,CIN,L 16-23,,,,,,,,
34,1972,1972-10-22,6,24.108,KAN,,PHI,L 20-21,,,,,,,,
35,1972,1972-10-29,7,24.115,KAN,@,SDG,W 26-14,,,,,,,,
36,1972,1972-11-05,8,24.122,KAN,,OAK,W 27-14,,,,,,,,
37,1972,1972-11-12,9,24.129,KAN,@,PIT,L 7-16,,,,,,,,
38,1972,1972-11-19,10,24.136,KAN,,SDG,L 17-27,,,,,,,,
39,1972,1972-11-26,11,24.143,KAN,@,OAK,L 3-26,,,,,,,,
40,1972,1972-12-03,12,24.150,KAN,,DEN,W 24-21,,,,,,,,
41,1972,1972-12-10,13,24.157,KAN,,BAL,W 24-10,,,,,,,,
42,1972,1972-12-17,14,24.164,KAN,@,ATL,W 17-14,,,,,,,,
43,1974,1974-09-15,1,26.071,HOU,,SDG,W 21-14,,,,,,,,
44,1974,1974-09-22,2,26.078,HOU,@,CLE,L 7-20,,,,,,,,
45,1974,1974-09-29,3,26.085,HOU,,KAN,L 7-17,,,,,,,,
46,1974,1974-10-06,4,26.092,HOU,,PIT,L 7-13,,,,,,,,
47,1974,1974-10-13,5,26.099,HOU,@,MIN,L 10-51,,,,,,,,
48,1974,1974-10-20,6,26.106,HOU,,STL,L 27-31,,,,,,,,
49,1974,1974-10-27,7,26.113,HOU,@,CIN,W 34-21,,,,,,,,
50,1974,1974-11-03,8,26.120,HOU,@,NYJ,W 27-22,,,,,,,,
51,1974,1974-11-10,9,26.127,HOU,@,BUF,W 21-9,,,,,,,,
52,1974,1974-11-24,11,26.141,HOU,,DAL,L 0-10,,,,,,,,
53,1974,1974-12-01,12,26.148,HOU,@,PIT,W 13-10,,,,,,,,
