ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-11-29,12,26.261,PHI,@,GNB,L 16-24,,,,,,,,,,,0.0%,
2,1998,1998-12-03,13,26.265,PHI,,STL,W 17-14,,,,,,,,,,,0.0%,
3,1999,1999-09-12,1,27.183,PHI,,ARI,L 24-25,,,,,,,,,,,0.0%,
4,1999,1999-09-19,2,27.190,PHI,,TAM,L 5-19,,,,,,,,,,,0.0%,
5,1999,1999-09-26,3,27.197,PHI,@,BUF,L 0-26,,0,0,,0,6,4,2,0.50,0,66.7%,0.33
6,1999,1999-10-03,4,27.204,PHI,@,NYG,L 15-16,,1,5,5.00,0,1,1,6,6.00,0,100.0%,6.00
7,1999,1999-10-10,5,27.211,PHI,,DAL,W 13-10,,1,4,4.00,0,0,0,0,,0,0.0%,
8,1999,1999-10-17,6,27.218,PHI,@,CHI,W 20-16,,,,,,0,,,,,0.0%,
9,1999,1999-10-24,7,27.225,PHI,@,MIA,L 13-16,,,,,,,,,,,0.0%,
10,1999,1999-10-31,8,27.232,PHI,,NYG,L 17-23,,1,2,2.00,0,0,0,0,,0,0.0%,
11,1999,1999-11-07,9,27.239,PHI,@,CAR,L 7-33,,2,8,4.00,0,0,0,0,,0,0.0%,
12,1999,2000-01-02,16,27.295,PHI,,STL,W 38-31,,,,,,0,,,,,0.0%,
