ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-11-20,11,22.074,PIT,,MIA,W 16-13,,,,,,,0.0%,,,,,,,
2,1994,1994-12-24,16,22.108,PIT,@,SDG,L 34-37,,,,,,,0.0%,,,,,,,
3,1995,1995-10-29,8,23.052,CAR,@,NWE,W 20-17,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
4,1995,1995-11-05,9,23.059,CAR,@,SFO,W 13-7,,,0,0,,0,0.0%,,,,,,,
5,1995,1995-11-12,10,23.066,CAR,@,STL,L 17-28,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0
6,1995,1995-11-19,11,23.073,CAR,,ARI,W 27-7,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0
7,1995,1995-11-26,12,23.080,CAR,@,NOR,L 26-34,,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0
8,1995,1995-12-03,13,23.087,CAR,,IND,W 13-10,,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0
9,1995,1995-12-10,14,23.094,CAR,,SFO,L 10-31,,0,0,0,,0,0.0%,,,,,,,
10,1995,1995-12-17,15,23.101,CAR,,ATL,W 21-17,,2,0,0,,0,0.0%,0.00,,,,,,
11,1995,1995-12-24,16,23.108,CAR,@,WAS,L 17-20,,,0,0,,0,0.0%,,,,,,,
12,1996,1996-09-01,1,23.360,CAR,,ATL,W 29-6,,,,,,,0.0%,,,,,,,
13,1996,1996-09-08,2,24.001,CAR,@,NOR,W 22-20,,,,,,,0.0%,,,,,,,
14,1996,1996-09-22,3,24.015,CAR,,SFO,W 23-7,,,,,,,0.0%,,,,,,,
15,1996,1996-09-29,4,24.022,CAR,@,JAX,L 14-24,,,,,,,0.0%,,,,,,,
16,1996,1996-10-06,5,24.029,CAR,@,MIN,L 12-14,,,,,,,0.0%,,,,,,,
17,1996,1996-10-13,6,24.036,CAR,,STL,W 45-13,,,,,,,0.0%,,,,,,,
18,1996,1996-10-20,7,24.043,CAR,,NOR,W 19-7,,,,,,,0.0%,,,,,,,
